skip,climate,hz_cz,weather_file,ashrae_climate,codes_file
,CZ01,,CA_EUREKA_725940S_CZ2022.epw,CZ01,T24_2022_MFm.csv
,CZ02,,CA_NAPA-CO_724955S_CZ2022.epw,CZ02,T24_2022_MFm.csv
,CZ03,,CA_OAKLAND-METRO-AP_724930S_CZ2022.epw,CZ03,T24_2022_MFm.csv
,CZ04,,CA_SAN-JOSE-IAP_724945S_CZ2022.epw,CZ04,T24_2022_MFm.csv
,CZ05,,CA_SANTA-MARIA-PUBLIC-AP_723940S_CZ2022.epw,CZ05,T24_2022_MFm.csv
,CZ06,,CA_LOS-ANGELES-IAP_722950S_CZ2022.epw,CZ06,T24_2022_MFm.csv
,CZ07,,CA_SAN-DIEGO-LINDBERGH-FLD_722900S_CZ2022.epw,CZ07,T24_2022_MFm.csv
,CZ08,,CA_LONG-BEACH-DAUGHERTY-FLD_722970S_CZ2022.epw,CZ08,T24_2022_MFm.csv
,CZ09,,CA_LOS-ANGELES-DOWNTOWN-USC_722874S_CZ2022.epw,CZ09,T24_2022_MFm.csv
,CZ10,,CA_RIVERSIDE-MUNI_722869S_CZ2022.epw,CZ10,T24_2022_MFm.csv
,CZ11,,CA_RED-BLUFF-MUNI-AP_725910S_CZ2022.epw,CZ11,T24_2022_MFm.csv
,CZ12,,CA_STOCKTON-METRO-AP_724920S_CZ2022.epw,CZ12,T24_2022_MFm.csv
,CZ13,,CA_FRESNO-YOSEMITE-IAP_723890S_CZ2022.epw,CZ13,T24_2022_MFm.csv
,CZ14,,CA_DAGGETT-BARSTOW-AP_723815S_CZ2022.epw,CZ14,T24_2022_MFm.csv
,CZ15,,CA_EL-CENTRO-NAF_722810S_CZ2022.epw,CZ15,T24_2022_MFm.csv
,CZ16,,CA_BISHOP-AP_724800S_CZ2022.epw,CZ16,T24_2022_MFm.csv
