title: 2025 California Efficiency Standards,,,,,
# PRESCRIPTIVE ENVELOPE CRITERIA FOR  GUEST ROOMS OF HOTEL/MOTEL BUILDINGS,,,,,
# For opaque envelope: see Table 140.3-C,,,,,
table:   Opaque Envelope Requirements | Climate Zone 1,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,0,0.041,,NR Thermal Emittance and Aged Solar Reflectance
Roofs | Wood Framed and Other,0,0,0.028,,NR Thermal Emittance and Aged Solar Reflectance
Walls Above Grade | Metal Building,0,0,0.061,,Air Barrier - Required
Walls Above Grade | Metal Framed,0,0,0.069,,
Walls Above Grade | Mass Light,0,0,0.17,,
Walls Above Grade | Mass Heavy,0,0,0.16,,
Walls Above Grade | Wood Framed and Other,0,0,0.059,,
Floors | Mass,0,0,0.045,,
Floors | Other,0,0,0.034,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Appendix JA4-55 Table 4.4.7; Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,0,0.2,16,"Table 110.8-A; R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,0,0,0.5,,
Opaque Doors | Swinging,0,0,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 2,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,0,0.041,,"Steep-sloped: 0.75 Thermal Emittance, and 0.2 Aged Solar Reflectance. Low-sloped: NR."
Roofs | Wood Framed and Other,0,0,0.028,,"Steep-sloped: 0.75 Thermal Emittance, and 0.2 Aged Solar Reflectance. Low-sloped: NR."
Walls Above Grade | Metal Building,0,0,0.061,,Air Barrier - Required
Walls Above Grade | Metal Framed,0,0,0.069,,
Walls Above Grade | Mass Light,0,0,0.17,,
Walls Above Grade | Mass Heavy,0,0,0.16,,
Walls Above Grade | Wood Framed and Other,0,0,0.059,,
Floors | Mass,0,0,0.045,,
Floors | Other,0,0,0.034,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,0,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,0,0,1.45,,
Opaque Doors | Swinging,0,0,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 3,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,0,0.041,,"Steep-sloped: 0.75 Thermal Emittance, and 0.2 Aged Solar Reflectance. Low-sloped: NR."
Roofs | Wood Framed and Other,0,0,0.034,,"Steep-sloped: 0.75 Thermal Emittance, and 0.2 Aged Solar Reflectance. Low-sloped: NR."
Walls Above Grade | Metal Building,0,0,0.061,,Air Barrier - Required
Walls Above Grade | Metal Framed,0,0,0.069,,
Walls Above Grade | Mass Light,0,0,0.17,,
Walls Above Grade | Mass Heavy,0,0,0.16,,
Walls Above Grade | Wood Framed and Other,0,0,0.059,,
Floors | Mass,0,0,0.058,,
Floors | Other,0,0,0.039,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,0,0,1.45,,
Opaque Doors | Swinging,0,0,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 4,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,0,0.041,,"Steep-sloped: 0.75 Thermal Emittance, and 0.2 Aged Solar Reflectance. Low-sloped: NR."
Roofs | Wood Framed and Other,0,0,0.028,,"Steep-sloped: 0.75 Thermal Emittance, and 0.2 Aged Solar Reflectance. Low-sloped: NR."
Walls Above Grade | Metal Building,0,0,0.061,,Air Barrier - Required
Walls Above Grade | Metal Framed,0,0,0.069,,
Walls Above Grade | Mass Light,0,0,0.17,,
Walls Above Grade | Mass Heavy,0,0,0.184,,
Walls Above Grade | Wood Framed and Other,0,0,0.059,,
Floors | Mass,0,0,0.058,,
Floors | Other,0,0,0.039,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,0,0,1.45,,
Opaque Doors | Swinging,0,0,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 5,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,0,0.041,,"Steep-sloped: 0.75 Thermal Emittance, and 0.2 Aged Solar Reflectance. Low-sloped: NR."
Roofs | Wood Framed and Other,0,0,0.034,,"Steep-sloped: 0.75 Thermal Emittance, and 0.2 Aged Solar Reflectance. Low-sloped: NR."
Walls Above Grade | Metal Building,0,0,0.061,,Air Barrier - Required
Walls Above Grade | Metal Framed,0,0,0.069,,
Walls Above Grade | Mass Light,0,0,0.17,,
Walls Above Grade | Mass Heavy,0,0,0.211,,
Walls Above Grade | Wood Framed and Other,0,0,0.059,,
Floors | Mass,0,0,0.058,,
Floors | Other,0,0,0.039,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,0,0,1.45,,
Opaque Doors | Swinging,0,0,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 6,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,0,0.041,,"Steep-sloped: 0.75 Thermal Emittance, and 0.2 Aged Solar Reflectance. Low-sloped: NR."
Roofs | Wood Framed and Other,0,0,0.034,,"Steep-sloped: 0.75 Thermal Emittance, and 0.2 Aged Solar Reflectance. Low-sloped: NR."
Walls Above Grade | Metal Building,0,0,0.061,,Air Barrier - Required
Walls Above Grade | Metal Framed,0,0,0.069,,
Walls Above Grade | Mass Light,0,0,0.227,,
Walls Above Grade | Mass Heavy,0,0,0.69,,
Walls Above Grade | Wood Framed and Other,0,0,0.059,,
Floors | Mass,0,0,0.069,,
Floors | Other,0,0,0.039,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,0,0,1.45,,
Opaque Doors | Swinging,0,0,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 7,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,0,0.041,,"Steep-sloped: 0.75 Thermal Emittance, and 0.2 Aged Solar Reflectance. Low-sloped: NR."
