table:   Opaque Envelope Requirements | Climate Zone 1,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.060489775,0
Roofs | Metal Buildings,0,0,0.064469325,0
Roofs | Mass Heavy,0,0,0.07533441,0
Walls Above Grade | Wood Framed and Other,0,0,0.081897751,0
Walls Above Grade | Metal Framed,0,0,0.138781186,0
Walls Above Grade | Mass Heavy,0,0,0.222808793,0
Floor | Above Crawl Space,0,0,0.151084006,0
Floors | Mass,0,0,0.085647239,0
Floors | Other,0,0,0.046214724,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,0,0.2,16
Opaque Doors | Non-Swinging,0,0,0.583537832,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.120033426,0
Walls Above Grade | Mass Light,0,0,0.267075209,0
,,,,
table:   Opaque Envelope Requirements | Climate Zone 2,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.062458545,0
Roofs | Metal Buildings,0,0,0.066535043,0
Roofs | Mass Heavy,0,0,0.075666319,0
Walls Above Grade | Wood Framed and Other,0,0,0.085266858,0
Walls Above Grade | Metal Framed,0,0,0.14218218,0
Walls Above Grade | Mass Heavy,0,0,0.300159407,0
Floor | Above Crawl Space,0,0,0.154144943,0
Floors | Mass,0,0,0.095656865,0
Floors | Other,0,0,0.046364139,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,0,0.2,16
Opaque Doors | Non-Swinging,0,0,1.45,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.132228433,0
Walls Above Grade | Mass Light,0,0,0.323851762,0
,,,,
table:   Opaque Envelope Requirements | Climate Zone 3,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.0687133,0
Roofs | Metal Buildings,0,0,0.070198709,0
Roofs | Mass Heavy,0,0,0.076940635,0
Walls Above Grade | Wood Framed and Other,0,0,0.089076333,0
Walls Above Grade | Metal Framed,0,0,0.148605054,0
Walls Above Grade | Mass Heavy,0,0,0.283997823,0
Floor | Above Crawl Space,0,0,0.165896968,0
Floors | Mass,0,0,0.230688692,0
Floors | Other,0,0,0.069654049,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16
Opaque Doors | Non-Swinging,0,0,1.45,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.151221516,0
Walls Above Grade | Mass Light,0,0,0.360900901,0
,,,,
table:   Opaque Envelope Requirements | Climate Zone 4,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.062799016,0
Roofs | Metal Buildings,0,0,0.067394012,0
Roofs | Mass Heavy,0,0,0.075547277,0
Walls Above Grade | Wood Framed and Other,0,0,0.085617188,0
Walls Above Grade | Metal Framed,0,0,0.143502251,0
Walls Above Grade | Mass Heavy,0,0,0.291054119,0
Floor | Above Crawl Space,0,0,0.15304711,0
Floors | Mass,0,0,0.211977389,0
Floors | Other,0,0,0.067103737,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16
Opaque Doors | Non-Swinging,0,0,1.45,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.132508831,0
Walls Above Grade | Mass Light,0,0,0.321539108,0
,,,,
table:   Opaque Envelope Requirements | Climate Zone 5,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.064110287,0
Roofs | Metal Buildings,0,0,0.067444625,0
Roofs | Mass Heavy,0,0,0.07539159,0
Walls Above Grade | Wood Framed and Other,0,0,0.085634384,0
Walls Above Grade | Metal Framed,0,0,0.143382994,0
Walls Above Grade | Mass Heavy,0,0,0.293679564,0
Floor | Above Crawl Space,0,0,0.151611335,0
Floors | Mass,0,0,0.213140176,0
Floors | Other,0,0,0.067207831,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16
Opaque Doors | Non-Swinging,0,0,1.45,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.132787476,0
Walls Above Grade | Mass Light,0,0,0.322118912,0
,,,,
table:   Opaque Envelope Requirements | Climate Zone 6,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.066034955,0
Roofs | Metal Buildings,0,0,0.068208642,0
Roofs | Mass Heavy,0,0,0.073867718,0
Walls Above Grade | Wood Framed and Other,0,0,0.085848245,0
Walls Above Grade | Metal Framed,0,0,0.141799492,0
Walls Above Grade | Mass Heavy,0,0,0.331296175,0
Floor | Above Crawl Space,0,0,0.13755784,0
Floors | Mass,0,0,0.228469644,0
Floors | Other,0,0,0.068382305,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16
Opaque Doors | Non-Swinging,0,0,1.45,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.136016268,0
Walls Above Grade | Mass Light,0,0,0.350954502,0
,,,,
table:   Opaque Envelope Requirements | Climate Zone 7,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.059834309,0
Roofs | Metal Buildings,0,0,0.06445819,0
Roofs | Mass Heavy,0,0,0.072212224,0
Walls Above Grade | Wood Framed and Other,0,0,0.080888523,0
Walls Above Grade | Metal Framed,0,0,0.138004836,0
Walls Above Grade | Mass Heavy,0,0,0.412740485,0
Floor | Above Crawl Space,0,0,0.122290507,0
Floors | Mass,0,0,0.203427141,0
Floors | Other,0,0,0.071960971,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16
Opaque Doors | Non-Swinging,0,0,1.45,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.115214833,0
Walls Above Grade | Mass Light,0,0,0.315243492,0
,,,,
table:   Opaque Envelope Requirements | Climate Zone 8,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.065202007,0
Roofs | Metal Buildings,0,0,0.068425314,0
Roofs | Mass Heavy,0,0,0.074099565,0
Walls Above Grade | Wood Framed and Other,0,0,0.085970133,0
Walls Above Grade | Metal Framed,0,0,0.14190085,0
Walls Above Grade | Mass Heavy,0,0,0.330368971,0
Floor | Above Crawl Space,0,0,0.139695988,0
Floors | Mass,0,0,0.231109013,0
Floors | Other,0,0,0.068339454,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16
Opaque Doors | Non-Swinging,0,0,1.45,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.135241174,0
Walls Above Grade | Mass Light,0,0,0.349755536,0
,,,,
table:   Opaque Envelope Requirements | Climate Zone 9,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.064350488,0
Roofs | Metal Buildings,0,0,0.06857384,0
Roofs | Mass Heavy,0,0,0.074602577,0
Walls Above Grade | Wood Framed and Other,0,0,0.085248483,0
Walls Above Grade | Metal Framed,0,0,0.14021017,0
Walls Above Grade | Mass Heavy,0,0,0.339548338,0
Floor | Above Crawl Space,0,0,0.144334877,0
Floors | Mass,0,0,0.226821861,0
Floors | Other,0,0,0.067177708,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16
Opaque Doors | Non-Swinging,0,0,1.45,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.124003969,0
Walls Above Grade | Mass Light,0,0,0.316397326,0
,,,,
table:   Opaque Envelope Requirements | Climate Zone 10,,,,
