table:   Opaque Envelope Requirements | Climate Zone 1,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.06048977505112475,0.0
Roofs | Metal Buildings,0.0,0.0,0.06446932515337424,0.0
Roofs | Mass Heavy,0.0,0.0,0.07533441033925688,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.08189775051124745,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.13878118609406956,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.22280879345603272,0.0
Floor | Above Crawl Space,0.0,0.0,0.15108400646203554,0.0
Floors | Mass,0.0,0.0,0.08564723926380367,0.0
Floors | Other,0.0,0.0,0.04621472392638037,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.7299999999999999,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,0.0,0.2,16.0
Opaque Doors | Non-Swinging,0.0,0.0,0.5835378323108384,0.0
Opaque Doors | Swinging,0.0,0.0,0.7,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.120033426183844,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.267075208913649,0.0

table:   Opaque Envelope Requirements | Climate Zone 2,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.062458545213353964,0.0
Roofs | Metal Buildings,0.0,0.0,0.06653504311297812,0.0
Roofs | Mass Heavy,0.0,0.0,0.07566631908237748,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.08526685827990274,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.14218217996904708,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.3001594074729162,0.0
Floor | Above Crawl Space,0.0,0.0,0.1541449426485923,0.0
Floors | Mass,0.0,0.0,0.0956568649126686,0.0
Floors | Other,0.0,0.0,0.04636413884589874,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.7300000000000001,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,0.0,0.20000000000000004,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.4500000000000002,0.0
Opaque Doors | Swinging,0.0,0.0,0.7000000000000001,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.132228432563791,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.32385176184690156,0.0

table:   Opaque Envelope Requirements | Climate Zone 3,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.06871330012912745,0.0
Roofs | Metal Buildings,0.0,0.0,0.07019870872532742,0.0
Roofs | Mass Heavy,0.0,0.0,0.07694063506672802,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.08907633277992988,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.148605054418004,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.28399782327983764,0.0
Floor | Above Crawl Space,0.0,0.0,0.16589696783760288,0.0
Floors | Mass,0.0,0.0,0.2306886921232245,0.0
Floors | Other,0.0,0.0,0.06965404906843754,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.73,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,4.999999999999999,0.19999999999999998,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.4499999999999995,0.0
Opaque Doors | Swinging,0.0,0.0,0.6999999999999998,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.15122151563328032,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.3609009009009009,0.0

table:   Opaque Envelope Requirements | Climate Zone 4,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.06279901601591123,0.0
Roofs | Metal Buildings,0.0,0.0,0.06739401235214068,0.0
Roofs | Mass Heavy,0.0,0.0,0.07554727697961912,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.08561718831780593,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.14350225060190516,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.2910541191248822,0.0
Floor | Above Crawl Space,0.0,0.0,0.153047109923154,0.0
Floors | Mass,0.0,0.0,0.21197738930179003,0.0
Floors | Other,0.0,0.0,0.06710373704595414,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.73,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,5.000000000000001,0.2,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.4500000000000002,0.0
Opaque Doors | Swinging,0.0,0.0,0.7,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.1325088309503785,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.32153910849453327,0.0

table:   Opaque Envelope Requirements | Climate Zone 5,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.0641102873030584,0.0
Roofs | Metal Buildings,0.0,0.0,0.06744462465245597,0.0
Roofs | Mass Heavy,0.0,0.0,0.07539159049360146,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.08563438368860057,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.14338299351251158,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.2936795644114921,0.0
Floor | Above Crawl Space,0.0,0.0,0.15161133455210238,0.0
