table:   Opaque Envelope Requirements | Climate Zone 1,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.06521132278936016,0.0
Roofs | Metal Buildings,0.0,0.0,0.05990927390366644,0.0
Roofs | Mass Heavy,0.0,0.0,0.061236162361623624,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.10700025161754133,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.15954237958303377,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.2944821710999281,0.0
Floor | Above Crawl Space,0.0,0.0,0.18220049200492006,0.0
Floors | Mass,0.0,0.0,0.09288964773544213,0.0
Floors | Other,0.0,0.0,0.04835585909417686,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.73,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,0.0,0.20000000000000004,16.0
Opaque Doors | Non-Swinging,0.0,0.0,0.5,0.0
Opaque Doors | Swinging,0.0,0.0,0.6999999999999998,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.15411097737120846,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.2817968223399134,0.0

table:   Opaque Envelope Requirements | Climate Zone 2,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.06403709292451747,0.0
Roofs | Metal Buildings,0.0,0.0,0.05959294746746839,0.0
Roofs | Mass Heavy,0.0,0.0,0.06089275882100372,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.09991852752851538,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.15563955890115438,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.40125458999839353,0.0
Floor | Above Crawl Space,0.0,0.0,0.17269966071443607,0.0
Floors | Mass,0.0,0.0,0.10063191081633122,0.0
Floors | Other,0.0,0.0,0.04609761779083378,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.73,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,0.0,0.2,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.45,0.0
Opaque Doors | Swinging,0.0,0.0,0.6999999999999998,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.1366394898492245,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.3265910687586691,0.0

table:   Opaque Envelope Requirements | Climate Zone 3,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.06488301651969491,0.0
Roofs | Metal Buildings,0.0,0.0,0.05988215809124658,0.0
Roofs | Mass Heavy,0.0,0.0,0.061072178888383705,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.10831984809965002,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.15998004020891615,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.38698133157463654,0.0
Floor | Above Crawl Space,0.0,0.0,0.17766361591194932,0.0
Floors | Mass,0.0,0.0,0.25037232286270467,0.0
Floors | Other,0.0,0.0,0.071839084555734,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.7299999999999999,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,5.000000000000001,0.19999999999999998,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.45,0.0
Opaque Doors | Swinging,0.0,0.0,0.6999999999999998,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.15864797344115253,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.3683560697778895,0.0

table:   Opaque Envelope Requirements | Climate Zone 4,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.06350175132191126,0.0
Roofs | Metal Buildings,0.0,0.0,0.059317200964189326,0.0
Roofs | Mass Heavy,0.0,0.0,0.060623131133504586,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.09846840163007657,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.15443693557156124,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.410029661812041,0.0
