title: 2016 ASHRAE Standard Code,,,,,
# This is all TBD:,,,,,
# For opaque envelope: see Table 5.5,,,,,
# For fenestration: see Table 5.5,,,,,
table:   Opaque Envelope Requirements | Climate Zone 1A   ,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,30,0,0.034,,
Walls Above Grade | Mass,0,0,0.58,,
Walls Above Grade | Metal Building,0,13,0.113,,
Walls Above Grade | Metal Framed,13,0,0.124,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,0,1.14,,Maximum is a C-Factor.
Floors | Mass,0,6.3,0.322,,
Floors | Joist/Framing,19,0,0.35,,
Floors | Framed and Other,0,0,0.282,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,7.5,1.02,12,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
Opaque Doors | Roll-Up or Sliding,,,1.45,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 1B   ,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,30,0,0.034,,
Walls Above Grade | Mass,0,0,0.58,,
Walls Above Grade | Metal Building,0,13,0.113,,
Walls Above Grade | Metal Framed,13,0,0.124,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,0,1.14,,Maximum is a C-Factor.
Floors | Mass,0,6.3,0.322,,
Floors | Joist/Framing,19,0,0.35,,
Floors | Framed and Other,0,0,0.282,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,7.5,1.02,12,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
Opaque Doors | Roll-Up or Sliding,,,1.45,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 2A   ,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,30,0,0.034,,
Walls Above Grade | Mass,0,0,0.58,,
Walls Above Grade | Metal Building,0,13,0.113,,
Walls Above Grade | Metal Framed,13,0,0.124,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,0,1.14,,Maximum is a C-Factor.
Floors | Mass,0,4.2,0.137,,
Floors | Joist/Framing,19,0,0.052,,
Floors | Framed and Other,0,0,0.051,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,7.5,1.02,12,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
