title: 2016 ASHRAE Standard Code,,,,,
# This is all TBD:,,,,,
# For opaque envelope: see Table 5.5,,,,,
# For fenestration: see Table 5.5,,,,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 4C   ,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,30,0.032,,
Roofs | Metal Buildings,19,11,0.037,,
Roofs | Attic and Other,49,0,0.021,,
Walls Above Grade | Mass,0,9.5,0.104,,
Walls Above Grade | Metal Building,0,15.8,0.06,,
Walls Above Grade | Metal Framed,13,7.5,0.064,,
Walls Above Grade | Wood Framed and Other,13,3.8,0.064,,
Walls Below Grade | Below Grade Wall,0,7.5,0.119,,Maximum is a C-Factor.
Floors | Mass,0,14.6,0.057,,
Floors | Joist/Framing,30,0,0.038,,
Slab-On-Grade Floors | Unheated Slabs,0,15,0.52,24,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,20,0.843,24,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.37,,
Opaque Doors | Roll-Up or Sliding,,,0.31,,
,,,,,
table: Opaque Envelope Requirements | Climate Zone 5B,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,30,0.032,,
Roofs | Metal Buildings,19,11,0.037,,
Roofs | Attic and Other,49,0,0.021,,
Walls Above Grade | Mass,0,11.4,0.09,,
Walls Above Grade | Metal Building,0,19,0.05,,
Walls Above Grade | Metal Framed,13,10,0.055,,
Walls Above Grade | Wood Framed and Other,13,7.5,0.051,,
Walls Below Grade | Below Grade Wall,0,7.5,0.119,,Maximum is a C-Factor.
Floors | Mass,0,14.6,0.057,,
Floors | Joist/Framing,30,0,0.038,,
Slab-On-Grade Floors | Unheated Slabs,0,15,0.52,24,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,20,0.688,48,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.37,,
Opaque Doors | Roll-Up or Sliding,,,0.31,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 6A,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,30,0.032,,
Roofs | Metal Buildings,25,11,0.031,,
Roofs | Attic and Other,49,0,0.021,,
Walls Above Grade | Mass,0,13.3,0.08,,
Walls Above Grade | Metal Building,0,19,0.05,,
Walls Above Grade | Metal Framed,13,12.5,0.049,,
Walls Above Grade | Wood Framed and Other,13,7.5,0.051,,
Walls Below Grade | Below Grade Wall,0,10,0.092,,Maximum is a C-Factor.
Floors | Mass,0,16.7,0.051,,
Floors | Joist/Framing,38,0,0.032,,
Slab-On-Grade Floors | Unheated Slabs,0,20,0.51,24,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,20,0.688,24,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.37,,
Opaque Doors | Roll-Up or Sliding,,,0.31,,
,,,,,
table: Fenestration Requirements | Climate Zone 4C,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.31,0.36,,,
Metal Framing | Fixed,0.38,0.36,,,
Metal Framing | Entrance Door,0.68,0.36,,,
Metal Framing | All Other,0.46,0.36,,,
Skylights,0.5,0.4,3% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 5B,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.31,0.38,,,
Metal Framing | Fixed,0.38,0.38,,,
Metal Framing | Entrance Door,0.68,0.38,,,
Metal Framing | All Other,0.46,0.38,,,
Skylights,0.5,0.4,3% maximum of roof area.,,
