title: DEER Res prototype values ,,,,
# CZ1-5-10-11-12-14-15: 1972 _ CZ2-3-4-6-7-8-9-13-16: 1985,,,,
# Residential Prototype Building Models Key Characteristics Values from RASS and MassControl3 ,,,,
"# Internal Loads values are estimated, needs further verification or collected from other sources",,,,
table:   Res Key Prototype Values | Climate Zone 1,,,,
Key Values,Value,R-Value,Extent,Notes
Total Floor Area,1591,,,sf
Number of Stories,1.48,,,
Occupants,3,,,
Infiltration,0.35,,,UPDATED per Calibration notes-changes/hour
Roofs | shingle ,,,,
Ceiling Overall R-Value (Gas),,6.712818141,,
Ceiling Overall R-Value (Electric),,6.712818141,,
Wall Overall R-Value,,5.178197809,,
Floors |Earth Contact,,5.509375312,,
Glass Area (% floor),14,,,
Vertical Fenestration U-Factor,1.09,,,UPDATED per Calibration notes
Vertical Fenestration SHGC,0.8,,,UPDATED per Calibration notes
Cooling Capacity,741.57,,,(sqft/ton)
Cooling SEER,8.5,,,
Heating Capacity (sqft/kBtu),39.63,,,
Heating HSPF,4.7,,,
Heating AFUE,0.7,,,
Total Duct Leakage (%),20,,,
1-Story Home Supply Duct Leakage (%),15,,,
2-Story Home Supply Duct Leakage (%),13.4,,,
Attic Cool Design T,60,,,
Attic Heat Design T,52,,,
Effective Supply Duct R,,2.8,,
Effective Return Duct R,,2.8,,
Wall Insulation,,15.96,,MC3 value
Attic Cavity,,26.8,,MC3 value
Equipment Load | Living,0.8,,,MC3 value( unit may be W/sf)
Equipment Load | Bedroom,0.2,,,MC3 value( unit may be W/sf)
Lighting Load,0.8,,,MC3 value( unit may be W/sf)
sheathing_consol_layer_thickness,0.0127,,,(m-SI) Added per Modelkit parameters table
sheathing_consol_layer_conductivity,0.0940184,,,(w/m.k-SI) Added per Modelkit parameters table
wall_consol_layer_thickness,0.095,,,(m-SI) Added per Modelkit parameters table
wall_consol_layer_conductivity,0.057165,,,(w/m.k-SI) Added per Modelkit parameters table
ceil_consol_layer_thickness,0.19,,,(m-SI) Added per Modelkit parameters table
ceil_consol_layer_conductivity,0.0617176,,,(w/m.k-SI) Added per Modelkit parameters table
floor_consol_layer_thickness,0.16,,,(m-SI) Added per Modelkit parameters table
door_thermal_resistance,,0.320363636,,UPDATED per Calibration notes
heating_sch_DEER_mrn,15.56,,,(Celcius-SI) Added per Modelkit parameters table
heating_sch_DEER_day,15.56,,,(Celcius-SI) Added per Modelkit parameters table
heating_sch_DEER_eve,15.56,,,(Celcius-SI) Added per Modelkit parameters table
heating_sch_DEER_nit,15.56,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_mrn,23.89,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_day,23.89,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_eve,23.89,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_nit,23.89,,,(Celcius-SI) Added per Modelkit parameters table
climate_zone,1,,,
shading_control,AlwaysOn,,,
CeilIns_Existing_Base_R_thichness,0.068,,,
CeilIns_Existing_AddR11_thichness,0.18756,,,
CeilIns_Existing_AddR19_thichness,0.274513,,,
CeilIns_Existing_AddR30_thichness,0.394073,,,
CeilIns_Existing_AddR38_thichness,0.481026,,,
cool_coil_capacity,7280,,,
,,,,
table:   Res Key Prototype Values | Climate Zone 2,,,,
Key Values,Value,R-Value,Extent,Notes
Total Floor Area,1591,,,sf
Number of Stories,1.48,,,
Occupants,3,,,
Infiltration,0.35,,,UPDATED per Calibration notes-changes/hour
Roofs | shingle ,,,,
Ceiling Overall R-Value (Gas),,6.71,,
Ceiling Overall R-Value (Electric),,6.71,,
Wall Overall R-Value,,5.178197809,,
Floors |Earth Contact,,5.509375312,,
Glass Area (% floor),14,,,
Vertical Fenestration U-Factor,1.09,,,UPDATED per Calibration notes
Vertical Fenestration SHGC,0.8,,,UPDATED per Calibration notes
Cooling Capacity,428.15,,,(sqft/ton)
Cooling SEER,8.5,,,
Heating Capacity (sqft/kBtu),22.88,,,
Heating HSPF,4.7,,,
Heating AFUE,0.7,,,
Total Duct Leakage (%),20,,,
1-Story Home Supply Duct Leakage (%),15,,,
2-Story Home Supply Duct Leakage (%),13.4,,,
Attic Cool Design T,87,,,
Attic Heat Design T,48,,,
Effective Supply Duct R,,2.8,,
Effective Return Duct R,,2.8,,
Wall Insulation,,8.35,,MC3 value
Attic Cavity,,20.22,,MC3 value
Equipment Load | Living,0.8,,,MC3 value( unit may be W/sf)
Equipment Load | Bedroom,0.2,,,MC3 value( unit may be W/sf)
Lighting Load,0.8,,,MC3 value( unit may be W/sf)
sheathing_consol_layer_thickness,0.0127,,,(m-SI) Added per Modelkit parameters table
sheathing_consol_layer_conductivity,0.0940184,,,(w/m.k-SI) Added per Modelkit parameters table
wall_consol_layer_thickness,0.095,,,(m-SI) Added per Modelkit parameters table
wall_consol_layer_conductivity,0.057165,,,(w/m.k-SI) Added per Modelkit parameters table
ceil_consol_layer_thickness,0.22,,,(m-SI) Added per Modelkit parameters table
ceil_consol_layer_conductivity,0.0617176,,,(w/m.k-SI) Added per Modelkit parameters table
floor_consol_layer_thickness,0.165,,,(m-SI) Added per Modelkit parameters table
door_thermal_resistance,,0.33245283,,UPDATED per Calibration notes
heating_sch_DEER_mrn,18.33,,,(Celcius-SI) Added per Modelkit parameters table
heating_sch_DEER_day,18.33,,,(Celcius-SI) Added per Modelkit parameters table
heating_sch_DEER_eve,18.33,,,(Celcius-SI) Added per Modelkit parameters table
heating_sch_DEER_nit,18.33,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_mrn,26.8,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_day,26.8,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_eve,26.8,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_nit,26.8,,,(Celcius-SI) Added per Modelkit parameters table
climate_zone,2,,,
shading_control,AlwaysOff,,,
CeilIns_Existing_Base_R_thichness,0.068,,,
CeilIns_Existing_AddR11_thichness,0.18756,,,
CeilIns_Existing_AddR19_thichness,0.274513,,,
CeilIns_Existing_AddR30_thichness,0.394073,,,
CeilIns_Existing_AddR38_thichness,0.481026,,,
cool_coil_capacity,9707,,,
,,,,
table:   Res Key Prototype Values | Climate Zone 3,,,,
Key Values,Value,R-Value,Extent,Notes
Total Floor Area,1591,,,sf
Number of Stories,1.48,,,
Occupants,3,,,
Infiltration,0.35,,,UPDATED per Calibration notes-changes/hour
Roofs | shingle ,,,,
Ceiling Overall R-Value (Gas),,6.71,,
Ceiling Overall R-Value (Electric),,6.71,,
Wall Overall R-Value,,5.178197809,,
Floors |Earth Contact,,5.509375312,,
Glass Area (% floor),14,,,
Vertical Fenestration U-Factor,1.09,,,UPDATED per Calibration notes
Vertical Fenestration SHGC,0.8,,,UPDATED per Calibration notes
Cooling Capacity,529.47,,,(sqft/ton)
Cooling SEER,8.5,,,
Heating Capacity (sqft/kBtu),28.29,,,
Heating HSPF,4.7,,,
Heating AFUE,0.7,,,
Total Duct Leakage (%),20,,,
1-Story Home Supply Duct Leakage (%),15,,,
2-Story Home Supply Duct Leakage (%),13.4,,,
Attic Cool Design T,80,,,
Attic Heat Design T,55,,,
Effective Supply Duct R,,2.8,,
Effective Return Duct R,,2.8,,
Wall Insulation,,8.35,,MC3 value
Attic Cavity,,20.22,,MC3 value
Equipment Load | Living,0.8,,,MC3 value( unit may be W/sf)
Equipment Load | Bedroom,0.2,,,MC3 value( unit may be W/sf)
