title: DEER Res prototype values ,,,,
# CZ1-9: 1975 _ CZ10-16: 1985,,,,
# Residential Prototype Building Models Key Characteristics Values from RASS and MassControl3 ,,,,
"# Internal Loads values are estimated, needs further verification or collected from other sources",,,,
table:   Res Key Prototype Values | Climate Zone 1,,,,
Key Values,Value, R-Value,Extent,Notes
Total Floor Area,1591,,,sf
Number of Stories,1.48,,,
Occupants,3,,,
Infiltration,0.35,,,UPDATED per Calibration notes-changes/hour
Roofs | shingle ,,,,
Ceiling Overall R-Value (Gas),,6.712818141,,
Ceiling Overall R-Value (Electric),,6.712818141,,
Wall Overall R-Value,,5.178197809,,
Floors |Earth Contact,,5.509375312,,
Glass Area (% floor),14,,,
Vertical Fenestration U-Factor,0.66,,,UPDATED per Calibration notes
Vertical Fenestration SHGC,0.52,,,UPDATED per Calibration notes
Cooling Capacity,741.57,,,(sqft/ton)
Cooling SEER,8.5,,,
Heating Capacity (sqft/kBtu),39.63,,,
Heating HSPF,4.7,,,
Heating AFUE,0.7,,,
Total Duct Leakage (%),20,,,
1-Story Home Supply Duct Leakage (%),15,,,
2-Story Home Supply Duct Leakage (%),13.4,,,
Attic Cool Design T,60,,,
Attic Heat Design T,52,,,
Effective Supply Duct R,,2.8,,
Effective Return Duct R,,2.8,,
Wall Insulation,,15.96,,MC3 value
Attic Cavity,,26.8,,MC3 value
Equipment Load | Living,0.8,,,MC3 value( unit may be W/sf)
Equipment Load | Bedroom,0.2,,,MC3 value( unit may be W/sf)
Lighting Load,0.8,,,MC3 value( unit may be W/sf)
sheathing_consol_layer_thickness,0.0127,,,(m-SI) Added per Modelkit parameters table
sheathing_consol_layer_conductivity,0.0940184,,,(w/m.k-SI) Added per Modelkit parameters table
wall_consol_layer_thickness,0.0325,,,(m-SI) Added per Modelkit parameters table
wall_consol_layer_conductivity,0.057165,,,(w/m.k-SI) Added per Modelkit parameters table
ceil_consol_layer_thickness,0.068,,,(m-SI) Added per Modelkit parameters table
ceil_consol_layer_conductivity,0.0617176,,,(w/m.k-SI) Added per Modelkit parameters table
heating_sch_DEER_mrn,15.56,,,(Celcius-SI) Added per Modelkit parameters table
heating_sch_DEER_day,15.56,,,(Celcius-SI) Added per Modelkit parameters table
heating_sch_DEER_eve,15.56,,,(Celcius-SI) Added per Modelkit parameters table
heating_sch_DEER_nit,15.56,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_mrn,23.89,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_day,23.89,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_eve,23.89,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_nit,23.89,,,(Celcius-SI) Added per Modelkit parameters table
climate_zone,1,,,
total_leakage_ratio,0.2,,,
shading_control,AlwaysOn,,,
floor_abv_crawl_insulation,0.0011,,,SI-R-value
,,,,
,,,,
table:   Res Key Prototype Values | Climate Zone 2,,,,
Key Values,Value, R-Value,Extent,Notes
Total Floor Area,1591,,,sf
Number of Stories,1.48,,,
Occupants,3,,,
Infiltration,0.35,,,UPDATED per Calibration notes-changes/hour
Roofs | shingle ,,,,
Ceiling Overall R-Value (Gas),,6.71,,
Ceiling Overall R-Value (Electric),,6.71,,
Wall Overall R-Value,,5.178197809,,
Floors |Earth Contact,,5.509375312,,
Glass Area (% floor),14,,,
Vertical Fenestration U-Factor,0.59,,,UPDATED per Calibration notes
Vertical Fenestration SHGC,0.46,,,UPDATED per Calibration notes
Cooling Capacity,428.15,,,(sqft/ton)
Cooling SEER,8.5,,,
Heating Capacity (sqft/kBtu),22.88,,,
Heating HSPF,4.7,,,
Heating AFUE,0.7,,,
Total Duct Leakage (%),20,,,
1-Story Home Supply Duct Leakage (%),15,,,
2-Story Home Supply Duct Leakage (%),13.4,,,
Attic Cool Design T,87,,,
Attic Heat Design T,48,,,
Effective Supply Duct R,,2.8,,
Effective Return Duct R,,2.8,,
Wall Insulation,,8.35,,MC3 value
Attic Cavity,,20.22,,MC3 value
Equipment Load | Living,0.8,,,MC3 value( unit may be W/sf)
Equipment Load | Bedroom,0.2,,,MC3 value( unit may be W/sf)
Lighting Load,0.8,,,MC3 value( unit may be W/sf)
sheathing_consol_layer_thickness,0.0127,,,(m-SI) Added per Modelkit parameters table
sheathing_consol_layer_conductivity,0.0940184,,,(w/m.k-SI) Added per Modelkit parameters table
wall_consol_layer_thickness,0.0325,,,(m-SI) Added per Modelkit parameters table
wall_consol_layer_conductivity,0.057165,,,(w/m.k-SI) Added per Modelkit parameters table
ceil_consol_layer_thickness,0.068,,,(m-SI) Added per Modelkit parameters table
ceil_consol_layer_conductivity,0.0617176,,,(w/m.k-SI) Added per Modelkit parameters table
heating_sch_DEER_mrn,18.33,,,(Celcius-SI) Added per Modelkit parameters table
heating_sch_DEER_day,18.33,,,(Celcius-SI) Added per Modelkit parameters table
heating_sch_DEER_eve,18.33,,,(Celcius-SI) Added per Modelkit parameters table
heating_sch_DEER_nit,18.33,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_mrn,26.8,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_day,26.8,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_eve,26.8,,,(Celcius-SI) Added per Modelkit parameters table
cooling_sch_DEER_nit,26.8,,,(Celcius-SI) Added per Modelkit parameters table
climate_zone,2,,,
total_leakage_ratio,0.14,,,
shading_control,AlwaysOff,,,
floor_abv_crawl_insulation,0.352,,,SI-R-value-R2
,,,,
table:   Res Key Prototype Values | Climate Zone 3,,,,
Key Values,Value, R-Value,Extent,Notes
Total Floor Area,1591,,,sf
Number of Stories,1.48,,,
Occupants,3,,,
Infiltration,0.35,,,UPDATED per Calibration notes-changes/hour
Roofs | shingle ,,,,
Ceiling Overall R-Value (Gas),,6.71,,
Ceiling Overall R-Value (Electric),,6.71,,
Wall Overall R-Value,,5.178197809,,
Floors |Earth Contact,,5.509375312,,
Glass Area (% floor),14,,,
Vertical Fenestration U-Factor,0.66,,,UPDATED per Calibration notes
Vertical Fenestration SHGC,0.5,,,UPDATED per Calibration notes
Cooling Capacity,529.47,,,(sqft/ton)
Cooling SEER,8.5,,,
Heating Capacity (sqft/kBtu),28.29,,,
Heating HSPF,4.7,,,
Heating AFUE,0.7,,,
Total Duct Leakage (%),20,,,
1-Story Home Supply Duct Leakage (%),15,,,
2-Story Home Supply Duct Leakage (%),13.4,,,
Attic Cool Design T,80,,,
Attic Heat Design T,55,,,
Effective Supply Duct R,,2.8,,
Effective Return Duct R,,2.8,,
Wall Insulation,,8.35,,MC3 value
Attic Cavity,,20.22,,MC3 value
Equipment Load | Living,0.8,,,MC3 value( unit may be W/sf)
Equipment Load | Bedroom,0.2,,,MC3 value( unit may be W/sf)
Lighting Load,0.8,,,MC3 value( unit may be W/sf)
sheathing_consol_layer_thickness,0.0127,,,(m-SI) Added per Modelkit parameters table
sheathing_consol_layer_conductivity,0.0940184,,,(w/m.k-SI) Added per Modelkit parameters table
wall_consol_layer_thickness,0.0325,,,(m-SI) Added per Modelkit parameters table
wall_consol_layer_conductivity,0.057165,,,(w/m.k-SI) Added per Modelkit parameters table
ceil_consol_layer_thickness,0.068,,,(m-SI) Added per Modelkit parameters table
ceil_consol_layer_conductivity,0.0617176,,,(w/m.k-SI) Added per Modelkit parameters table
heating_sch_DEER_mrn,18.61,,,(Celcius-SI) Added per Modelkit parameters table
heating_sch_DEER_day,18.61,,,(Celcius-SI) Added per Modelkit parameters table
