lookup_id,roof_base_type,roof_cont_thick,roof_cont_cond,roof_cav_thick,roof_cav_cond
T24_2025|MFm|Ceiling Insulation (Option B)|CZ01,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|MFm|Ceiling Insulation (Option B)|CZ02,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|MFm|Ceiling Insulation (Option B)|CZ03,Attic Roof with Wood Joists,0.15215040000000002,0.0288,-0.0005524328461384135,0.0459
T24_2025|MFm|Ceiling Insulation (Option B)|CZ04,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|MFm|Ceiling Insulation (Option B)|CZ05,Attic Roof with Wood Joists,0.15215040000000002,0.0288,-0.0005524328461384135,0.0459
T24_2025|MFm|Ceiling Insulation (Option B)|CZ06,Attic Roof with Wood Joists,0.15215040000000002,0.0288,-0.0005524328461384135,0.0459
T24_2025|MFm|Ceiling Insulation (Option B)|CZ07,Attic Roof with Wood Joists,0.15215040000000002,0.0288,-0.0005524328461384135,0.0459
T24_2025|MFm|Ceiling Insulation (Option B)|CZ08,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|MFm|Ceiling Insulation (Option B)|CZ09,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|MFm|Ceiling Insulation (Option B)|CZ10,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|MFm|Ceiling Insulation (Option B)|CZ11,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|MFm|Ceiling Insulation (Option B)|CZ12,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|MFm|Ceiling Insulation (Option B)|CZ13,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|MFm|Ceiling Insulation (Option B)|CZ14,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|MFm|Ceiling Insulation (Option B)|CZ15,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|MFm|Ceiling Insulation (Option B)|CZ16,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ01,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ02,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ03,Attic Roof with Wood Joists,0.15215040000000002,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ04,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ05,Attic Roof with Wood Joists,0.15215040000000002,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ06,Attic Roof with Wood Joists,0.15215040000000002,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ07,Attic Roof with Wood Joists,0.15215040000000002,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ08,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ09,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ10,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ11,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ12,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ13,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ14,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ15,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
T24_2025|SFm|Ceiling Insulation (Option B)|CZ16,Attic Roof with Wood Joists,0.19272384,0.0288,-0.0005524328461384135,0.0459
