lookup_id,roof_type,roof_base_cavity_insul,roof_base_cont_insul
T24_2025|MFm|Ceiling Insulation (Option B)|CZ01,Attic Roof with Wood Joists,0,38
T24_2025|MFm|Ceiling Insulation (Option B)|CZ02,Attic Roof with Wood Joists,0,38
T24_2025|MFm|Ceiling Insulation (Option B)|CZ03,Attic Roof with Wood Joists,0,30
T24_2025|MFm|Ceiling Insulation (Option B)|CZ04,Attic Roof with Wood Joists,0,38
T24_2025|MFm|Ceiling Insulation (Option B)|CZ05,Attic Roof with Wood Joists,0,30
T24_2025|MFm|Ceiling Insulation (Option B)|CZ06,Attic Roof with Wood Joists,0,30
T24_2025|MFm|Ceiling Insulation (Option B)|CZ07,Attic Roof with Wood Joists,0,30
T24_2025|MFm|Ceiling Insulation (Option B)|CZ08,Attic Roof with Wood Joists,0,38
T24_2025|MFm|Ceiling Insulation (Option B)|CZ09,Attic Roof with Wood Joists,0,38
T24_2025|MFm|Ceiling Insulation (Option B)|CZ10,Attic Roof with Wood Joists,0,38
T24_2025|MFm|Ceiling Insulation (Option B)|CZ11,Attic Roof with Wood Joists,0,38
T24_2025|MFm|Ceiling Insulation (Option B)|CZ12,Attic Roof with Wood Joists,0,38
T24_2025|MFm|Ceiling Insulation (Option B)|CZ13,Attic Roof with Wood Joists,0,38
T24_2025|MFm|Ceiling Insulation (Option B)|CZ14,Attic Roof with Wood Joists,0,38
T24_2025|MFm|Ceiling Insulation (Option B)|CZ15,Attic Roof with Wood Joists,0,38
T24_2025|MFm|Ceiling Insulation (Option B)|CZ16,Attic Roof with Wood Joists,0,38
T24_2025|SFm|Ceiling Insulation (Option B)|CZ01,Attic Roof with Wood Joists,0,38
T24_2025|SFm|Ceiling Insulation (Option B)|CZ02,Attic Roof with Wood Joists,0,38
T24_2025|SFm|Ceiling Insulation (Option B)|CZ03,Attic Roof with Wood Joists,0,30
T24_2025|SFm|Ceiling Insulation (Option B)|CZ04,Attic Roof with Wood Joists,0,38
T24_2025|SFm|Ceiling Insulation (Option B)|CZ05,Attic Roof with Wood Joists,0,30
T24_2025|SFm|Ceiling Insulation (Option B)|CZ06,Attic Roof with Wood Joists,0,30
T24_2025|SFm|Ceiling Insulation (Option B)|CZ07,Attic Roof with Wood Joists,0,30
T24_2025|SFm|Ceiling Insulation (Option B)|CZ08,Attic Roof with Wood Joists,0,38
T24_2025|SFm|Ceiling Insulation (Option B)|CZ09,Attic Roof with Wood Joists,0,38
T24_2025|SFm|Ceiling Insulation (Option B)|CZ10,Attic Roof with Wood Joists,0,38
T24_2025|SFm|Ceiling Insulation (Option B)|CZ11,Attic Roof with Wood Joists,0,38
T24_2025|SFm|Ceiling Insulation (Option B)|CZ12,Attic Roof with Wood Joists,0,38
T24_2025|SFm|Ceiling Insulation (Option B)|CZ13,Attic Roof with Wood Joists,0,38
T24_2025|SFm|Ceiling Insulation (Option B)|CZ14,Attic Roof with Wood Joists,0,38
T24_2025|SFm|Ceiling Insulation (Option B)|CZ15,Attic Roof with Wood Joists,0,38
T24_2025|SFm|Ceiling Insulation (Option B)|CZ16,Attic Roof with Wood Joists,0,38
