title: 2013 California Efficiency Standards,,,,
,,,,
# For opaque envelope: see Table 140.3-B,,,,
table:   Opaque Envelope Requirements | Climate Zone 1,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.049,
Walls Above Grade | Metal Building,0,,0.113,
Walls Above Grade | Metal Framed,0,,0.098,
Walls Above Grade | Mass Light,0,,0.196,
Walls Above Grade | Mass Heavy,0,,0.253,
Walls Above Grade | Wood Framed and Other,0,,0.102,
Floors | Mass,,,0.092,
Floors | Other,,,0.048,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,,0.2,16
Opaque Doors | Non-Swinging,,,0.5,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 2,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.17,
Walls Above Grade | Mass Heavy,0,,0.65,
Walls Above Grade | Wood Framed and Other,0,,0.059,
Floors | Mass,,,0.092,
Floors | Other,,,0.039,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 3,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.113,
Walls Above Grade | Metal Framed,0,,0.082,
Walls Above Grade | Mass Light,0,,0.278,
Walls Above Grade | Mass Heavy,0,,0.65,
Walls Above Grade | Wood Framed and Other,0,,0.11,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 4,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.227,
Walls Above Grade | Mass Heavy,0,,0.65,
Walls Above Grade | Wood Framed and Other,0,,0.059,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 5,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.049,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.44,
Walls Above Grade | Mass Heavy,0,,0.65,
Walls Above Grade | Wood Framed and Other,0,,0.102,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 6,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.075,
Walls Above Grade | Metal Building,0,,0.113,
Walls Above Grade | Metal Framed,0,,0.098,
Walls Above Grade | Mass Light,0,,0.44,
Walls Above Grade | Mass Heavy,0,,0.69,
Walls Above Grade | Wood Framed and Other,0,,0.11,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 7,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.067,
Walls Above Grade | Metal Building,0,,0.113,
Walls Above Grade | Metal Framed,0,,0.098,
Walls Above Grade | Mass Light,0,,0.44,
Walls Above Grade | Mass Heavy,0,,0.69,
Walls Above Grade | Wood Framed and Other,0,,0.11,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 8,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.067,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.44,
Walls Above Grade | Mass Heavy,0,,0.69,
Walls Above Grade | Wood Framed and Other,0,,0.102,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 9,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.44,
Walls Above Grade | Mass Heavy,0,,0.69,
Walls Above Grade | Wood Framed and Other,0,,0.059,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 10,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Metal Buildings,0,,0.065,
Roofs | Wood Framed and Other,0,,0.039,
Walls Above Grade | Metal Building,0,,0.061,
Walls Above Grade | Metal Framed,0,,0.062,
Walls Above Grade | Mass Light,0,,0.17,
Walls Above Grade | Mass Heavy,0,,0.65,
Walls Above Grade | Wood Framed and Other,0,,0.059,
Floors | Mass,,,0.269,
Floors | Other,,,0.071,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16
Opaque Doors | Non-Swinging,,,1.45,
Opaque Doors | Swinging,,,0.7,
,,,,
table:   Opaque Envelope Requirements | Climate Zone 11,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
