BldgVint,BldgLoc,Weight
1975,1,13.776
1975,2,77.063
1975,3,459.768
1975,4,165.03
1975,5,36.126
1975,6,592.534
1975,7,122.075
1975,8,891.3919999999999
1975,9,667.835
1975,10,225.561
1975,11,54.364
1975,12,194.24
1975,13,175.732
1975,14,53.24
1975,15,39.59
1975,16,38.275
1985,1,5.736
1985,2,41.716
1985,3,217.66
1985,4,108.264
1985,5,20.785
1985,6,409.59000000000003
1985,7,164.775
1985,8,572.799
1985,9,409.262
1985,10,382.41
1985,11,31.751
1985,12,125.306
1985,13,120.598
1985,14,53.018
1985,15,69.516
1985,16,33.491
1996,1,2.997
1996,2,21.923
1996,3,105.97
1996,4,56.057
1996,5,10.288
1996,6,158.813
1996,7,70.81099999999999
1996,8,233.963
1996,9,158.876
1996,10,206.727
1996,11,20.173000000000002
1996,12,82.99
1996,13,77.662
1996,14,27.717
1996,15,32.33
1996,16,19.495
2003,1,1.953
2003,2,11.511
2003,3,51.793
2003,4,29.497
2003,5,5.805000000000001
2003,6,83.84100000000001
2003,7,42.510999999999996
2003,8,126.068
2003,9,93.521
2003,10,197.47400000000002
2003,11,13.205
2003,12,49.359
2003,13,43.92
2003,14,22.572
2003,15,31.264
2003,16,15.059
2007,1,0.788
2007,2,5.193
2007,3,24.687
2007,4,13.369
2007,5,2.687
2007,6,44.924
2007,7,19.987000000000002
2007,8,66.891
2007,9,49.422999999999995
2007,10,108.44200000000001
2007,11,6.376
2007,12,23.119
2007,13,24.467
2007,14,11.369
2007,15,16.347
2007,16,7.779
2011,1,0.788
2011,2,5.193
2011,3,24.687
2011,4,13.369
2011,5,2.687
2011,6,44.924
2011,7,19.987000000000002
2011,8,66.891
2011,9,49.422999999999995
2011,10,108.44200000000001
2011,11,6.376
2011,12,23.119
2011,13,24.467
2011,14,11.369
2011,15,16.347
2011,16,7.779
2015,1,0.591
2015,2,3.898
2015,3,18.512
2015,4,10.031
2015,5,2.02
2015,6,33.696
2015,7,14.988
2015,8,50.169
2015,9,37.074
2015,10,81.327
2015,11,4.786
2015,12,17.338
2015,13,18.345
2015,14,8.53
2015,15,12.26
2015,16,5.846
2017,1,0.591
2017,2,3.898
2017,3,18.512
2017,4,10.031
2017,5,2.02
2017,6,33.696
2017,7,14.988
2017,8,50.169
2017,9,37.074
2017,10,81.327
2017,11,4.786
2017,12,17.338
2017,13,18.345
2017,14,8.53
2017,15,12.26
2017,16,5.846
2020,1,0.4
2020,2,2.598
2020,3,12.334
2020,4,6.692
2020,5,1.358
2020,6,22.466
2020,7,9.994
2020,8,33.44
2020,9,24.724
2020,10,54.217999999999996
2020,11,3.188
2020,12,11.562
2020,13,12.235999999999999
2020,14,5.702
2020,15,8.184
2020,16,3.902
2023,1,0.2
2023,2,1.299
2023,3,6.167
2023,4,3.346
2023,5,0.679
2023,6,11.233
2023,7,4.997
2023,8,16.72
2023,9,12.362
2023,10,27.108999999999998
2023,11,1.594
2023,12,5.781
2023,13,6.117999999999999
2023,14,2.851
2023,15,4.092
2023,16,1.951
