title: 2015 Washington State Energy Code,,,,,
# This is all TBD:,,,,,
# For opaque envelope: see Table C402.1.3 (p. CE-23) for R-Values and Table C402.1.4 (p. CE-25) for U-factors,,,,,
# For fenestration: see Table C402.4 (p. CE-29) for U-factors and SHGC and VT.,,,,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 4C   ,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,38,0.027,,
Roofs | Metal Buildings,25,11,0.031,,
Roofs | Attic and Other,49,0,0.021,,
Walls Above Grade | Mass,0,9.5,0.104,,
Walls Above Grade | Metal Building,0,19,0.052,,
Walls Above Grade | Metal Framed,13,10,0.055,,
Walls Above Grade | Wood Framed and Other,21,0,0.054,,
Walls Below Grade | Below Grade Wall,0,9.5,0.104,,
Floors | Mass,0,30,0.031,,
Floors | Joist/Framing,30,0,0.029,,
Slab-On-Grade Floors | Unheated Slabs,0,10,0.54,24,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,10,0.55,24,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.370,,
Opaque Doors | Roll-Up or Sliding,,,0.340,,
     # comment again,,,,,
table: Opaque Envelope Requirements | Climate Zone 5B,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,38,0.027,,
Roofs | Metal Buildings,25,11,0.031,,
Roofs | Attic and Other,49,0,0.021,,
Walls Above Grade | Mass,0,9.5,0.104,,
Walls Above Grade | Metal Building,0,19,0.052,,
Walls Above Grade | Metal Framed,13,10,0.055,,
Walls Above Grade | Wood Framed and Other,21,0,0.054,,
Walls Below Grade | Below Grade Wall,0,9.5,0.104,,
Floors | Mass,0,30,0.031,,
Floors | Joist/Framing,30,0,0.029,,
Slab-On-Grade Floors | Unheated Slabs,0,10,0.54,24,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,10,0.55,24,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.370,,
Opaque Doors | Roll-Up or Sliding,,,0.340,,
,,,,,
table: Fenestration Requirements | Climate Zone 4C,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.3,0.4,SEW Orientation and PF < 0.2,,
Metal Framing | Fixed,0.38,0.4,SEW Orientation and PF < 0.2,,
Metal Framing | Entrance Door,0.6,0.4,SEW Orientation and PF < 0.2,,
Metal Framing | All Other,0.4,0.4,SEW Orientation and PF < 0.2,,
Skylights,0.5,0.35,3% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 5B,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.3,0.4,SEW Orientation and PF < 0.2,,
Metal Framing | Fixed,0.38,0.4,SEW Orientation and PF < 0.2,,
Metal Framing | Entrance Door,0.6,0.4,SEW Orientation and PF < 0.2,,
Metal Framing | All Other,0.4,0.4,SEW Orientation and PF < 0.2,,
Skylights,0.5,0.35,3% maximum of roof area.,,
