File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cohort,Case,Net Site EUI,Net Site Energy,Net Source EUI,Net Source Energy,Total,Heating,Cooling,Interior Lighting,Exterior Lighting,Interior Equipment,Exterior Equipment,Fans,Pumps,Heat Rejection,Humidification,Heat Recovery,Water Systems,Refrigeration,Generators,Heating Elec,Cooling Elec,Heating NG,Cooling NG,Interior Equipment Elec,Interior Equipment NG,Water Systems NG,Electricity,Natural Gas,Unmet Heating,Unmet Cooling,Electricity:Facility [J](Hourly)
runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-Flrsnt-AirCond/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-AirCond,458.25,2128491.04,1387.38,6444187.36,2128491.04,225109.7,17856.45,249218.65,0.0,177584.03,0.0,202367.31,3.38,0.0,0.0,0.0,64891.49,1191460.02,0.0,0.0,17856.45,225109.7,0.0,177584.03,0.0,64891.49,1838489.85,290001.19,0.0,0.0,1228461525.0515165
runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond,354.62,1647148.04,1083.74,5033840.42,1647148.04,139048.35,26252.89,249218.65,0.0,177584.03,0.0,202514.49,3.38,0.0,0.0,0.0,64891.48,787634.76,0.0,0.0,26252.89,139048.35,0.0,177584.03,0.0,64891.48,1443208.21,203939.83,0.0,0.0,841771526.4412789
runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-LED-AirCond/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-AirCond,450.11,2090688.58,1357.1,6303573.88,2090688.58,231369.28,17371.94,249218.65,0.0,177584.03,0.0,202387.19,3.38,0.0,0.0,0.0,64891.49,1147862.6,0.0,0.0,17371.94,231369.28,0.0,177584.03,0.0,64891.49,1794427.8,296260.78,0.0,0.0,1219757414.6866496
runs/CZ15/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond/instance-out.sql,CZ15,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond,384.25,1784809.91,1254.53,5827143.77,1784809.91,11594.74,190309.85,249218.65,0.0,177584.03,0.0,146358.55,3.38,0.0,0.0,0.0,46896.91,962843.8,0.0,0.0,190309.85,11594.74,0.0,177584.03,0.0,46896.91,1726318.27,58491.64,0.0,15.83,1318648920.6292145
runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Glassdoor-LED-EvapCond/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-EvapCond,248.63,1154835.95,729.73,3389518.05,1154835.95,139048.35,26252.89,249218.65,0.0,177584.03,0.0,202514.49,3.38,0.0,0.0,0.0,64891.48,295322.68,0.0,0.0,26252.89,139048.35,0.0,177584.03,0.0,64891.48,950896.12,203939.83,0.0,0.0,555370870.9976997
runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-LED-EvapCond/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-EvapCond,273.32,1269513.2,766.62,3560848.14,1269513.21,231369.28,17371.94,249218.65,0.0,177584.03,0.0,202387.19,3.38,0.0,0.0,0.0,64891.49,326687.23,0.0,0.0,17371.94,231369.28,0.0,177584.03,0.0,64891.49,973252.43,296260.78,0.0,0.0,561368278.3558558
runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-Flrsnt-EvapCond/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-EvapCond,276.67,1285083.19,780.91,3627205.13,1285083.19,225109.7,17856.45,249218.65,0.0,177584.03,0.0,202367.31,3.38,0.0,0.0,0.0,64891.49,348052.17,0.0,0.0,17856.45,225109.7,0.0,177584.03,0.0,64891.49,995082.0,290001.19,0.0,0.0,570297912.2702385
runs/CZ15/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-Flrsnt-EvapCond/instance-out.sql,CZ15,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-EvapCond,253.96,1179616.25,812.02,3771716.93,1179616.25,26457.36,155889.24,249218.65,0.0,177584.03,0.0,142199.74,3.38,0.0,0.0,0.0,46896.91,381366.94,0.0,0.0,155889.24,26457.36,0.0,177584.03,0.0,46896.91,1106261.98,73354.27,0.0,14.33,943193562.5572984
runs/CZ15/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-LED-EvapCond/instance-out.sql,CZ15,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-EvapCond,249.3,1157944.82,795.76,3696223.58,1157944.8199999998,27814.0,153830.02,249218.65,0.0,177584.03,0.0,142402.47,3.38,0.0,0.0,0.0,46896.91,360195.36,0.0,0.0,153830.02,27814.0,0.0,177584.03,0.0,46896.91,1083233.91,74710.91,0.0,14.33,930506857.0142937
runs/CZ14/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Glassdoor-LED-EvapCond/instance-out.sql,CZ14,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-EvapCond,239.97,1114632.77,739.55,3435133.95,1114632.77,68654.89,94889.05,249218.65,0.0,177584.03,0.0,166540.47,3.38,0.0,0.0,0.0,56831.15,300911.15,0.0,0.0,94889.05,68654.89,0.0,177584.03,0.0,56831.15,989146.73,125486.04,0.0,0.0,740053275.651819
