File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cohort,Case,Net Site EUI,Net Site Energy,Net Source EUI,Net Source Energy,Total,Heating,Cooling,Interior Lighting,Exterior Lighting,Interior Equipment,Exterior Equipment,Fans,Pumps,Heat Rejection,Humidification,Heat Recovery,Water Systems,Refrigeration,Generators,Heating Elec,Cooling Elec,Heating NG,Cooling NG,Interior Equipment Elec,Interior Equipment NG,Water Systems NG,Electricity,Natural Gas,Unmet Heating,Unmet Cooling,Electricity:Facility [J](Hourly)
runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler,343.91,1597401.24,1019.4,4734962.46,1597401.24,196930.92,22055.51,249218.65,0.0,177584.03,0.0,158762.04,3.38,0.0,0.0,0.0,64891.02,727955.69,0.0,0.0,22055.51,196930.92,0.0,177584.03,0.0,64891.02,1335579.31,261821.93,0.0,0.0,838902161.2812943
runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-GlassDoor-Frz/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,313.37,1455555.54,900.26,4181582.04,1455555.5399999998,231652.14,18830.87,249218.65,0.0,177584.03,0.0,157314.25,3.38,0.0,0.0,0.0,64891.03,556061.2,0.0,0.0,18830.87,231652.14,0.0,177584.03,0.0,64891.03,1159012.38,296543.16,0.0,0.0,917702283.1740662
runs/CZ15/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-GlassDoor-Frz/instance-out.sql,CZ15,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,363.18,1686921.1,1177.61,5469837.85,1686921.1,24834.27,160457.53,249218.65,0.0,177584.03,0.0,119717.89,3.38,0.0,0.0,0.0,46896.48,908208.86,0.0,0.0,160457.53,24834.27,0.0,177584.03,0.0,46896.48,1615190.35,71730.75,0.0,8.0,1316553821.5976603
runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-OpenCase-Frz/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Frz,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Frz,408.83,1898964.64,1206.94,5606057.63,1898964.6400000001,256297.05,16870.3,249218.65,0.0,177584.03,0.0,160786.72,3.38,0.0,0.0,0.0,64891.03,973313.47,0.0,0.0,16870.3,256297.05,0.0,177584.03,0.0,64891.03,1577776.56,321188.08,0.0,0.0,1210929244.55755
runs/CZ15/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler/instance-out.sql,CZ15,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler,395.58,1837439.04,1289.01,5987305.8,1837439.04,18406.88,174216.25,249218.65,0.0,177584.03,0.0,122499.6,3.38,0.0,0.0,0.0,46896.47,1048613.77,0.0,0.0,174216.25,18406.88,0.0,177584.03,0.0,46896.47,1772135.69,65303.35,0.0,17.0,1519748433.8294296
runs/CZ14/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler/instance-out.sql,CZ14,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler,353.48,1641859.34,1104.01,5128003.84,1641859.3499999999,98340.03,86017.48,249218.65,0.0,177584.03,0.0,135552.01,3.38,0.0,0.0,0.0,56830.65,838313.11,0.0,0.0,86017.48,98340.03,0.0,177584.03,0.0,56830.65,1486688.67,155170.68,0.0,10.0,1100646966.6676912
runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-OpenCase-Cooler/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,414.46,1925104.42,1226.79,5698286.95,1925104.4300000002,254149.8,17044.97,249218.65,0.0,177584.03,0.0,160314.69,3.38,0.0,0.0,0.0,64891.56,1001897.34,0.0,0.0,17044.97,254149.8,0.0,177584.03,0.0,64891.56,1606063.07,319041.36,0.0,0.0,1213559408.4283767
runs/CZ14/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-GlassDoor-Frz/instance-out.sql,CZ14,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,328.72,1526862.38,1011.06,4696220.97,1526862.3800000001,119139.42,77772.84,249218.65,0.0,177584.03,0.0,133167.03,3.38,0.0,0.0,0.0,56830.66,713146.38,0.0,0.0,77772.84,119139.42,0.0,177584.03,0.0,56830.66,1350892.31,175970.07,0.0,4.0,1091327313.665929
runs/CZ15/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-OpenCase-Frz/instance-out.sql,CZ15,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Frz,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Frz,482.68,2242004.03,1573.83,7310233.11,2242004.04,30757.39,152604.4,249218.65,0.0,177584.03,0.0,119156.8,3.38,0.0,0.0,0.0,46896.49,1465782.88,0.0,0.0,152604.4,30757.39,0.0,177584.03,0.0,46896.49,2164350.15,77653.89,0.0,7.0,1542002983.8244367
runs/CZ14/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-OpenCase-Cooler/instance-out.sql,CZ14,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,435.87,2024565.87,1361.2,6322609.27,2024565.8699999999,134813.94,72976.13,249218.65,0.0,177584.03,0.0,132535.1,3.38,0.0,0.0,0.0,56830.52,1200604.12,0.0,0.0,72976.13,134813.94,0.0,177584.03,0.0,56830.52,1832921.41,191644.46,0.0,1.0,1362913973.3899555
