skip,case_name,:hw_heating_source,:hw_fluid_type,:hw_boiler_duplicate_1,:main_atu_reheat_coil_type,:main_heat_coil_type,:hw_pump_type,:hw_boiler_eff,:hw_boiler_type,:hw_setpoint_type,:kitch_heat_coil_type,:hw_supply_temp_at_lo,:hw_supply_temp_at_hi,:hw_max_loop_temp,:hw_min_loop_temp
,NG-SpaceHtg_eq-Boiler-Non-Cond-84-TE,BOILER,WATER,TRUE,WATER,WATER,VARIABLE,0.84,NONCONDENSING,Reset,WATER,73.88,60,100,10
,NG-SpaceHtg_eq-Boiler-Non-Cond-85-TE,BOILER,WATER,TRUE,WATER,WATER,VARIABLE,0.85,NONCONDENSING,Reset,WATER,73.88,60,100,10
,NG-SpaceHtg_eq-Boiler-Non-Cond-83-TE,BOILER,WATER,TRUE,WATER,WATER,VARIABLE,0.83,NONCONDENSING,Reset,WATER,73.88,60,100,10
,NG-SpaceHtg_eq-Boiler-Cond-93-TE-OAT,BOILER,WATER,TRUE,WATER,WATER,VARIABLE,0.93,CONDENSING,Reset,WATER,60,46.11,100,10
,NG-SpaceHtg_eq-Boiler-Cond-94-TE-OAT,BOILER,WATER,TRUE,WATER,WATER,VARIABLE,0.94,CONDENSING,Reset,WATER,60,46.11,100,10
,NG-SpaceHtg_eq-Boiler-Non-Cond-85.3-TE,BOILER,WATER,TRUE,WATER,WATER,VARIABLE,0.853,NONCONDENSING,Reset,WATER,73.88,60,100,10
,NG-SpaceHtg_eq-Boiler-Cond-94-TE,BOILER,WATER,TRUE,WATER,WATER,VARIABLE,0.94,CONDENSING,Reset,WATER,73.88,60,100,10
,NG-SpaceHtg_eq-Boiler-Cond-93-TE,BOILER,WATER,TRUE,WATER,WATER,VARIABLE,0.93,CONDENSING,Reset,WATER,73.88,60,100,10
,NG-SpaceHtg_eq-Boiler-Steam-82-TE,STEAMBOILER,STEAM,FALSE,STEAM,STEAM,VARIABLESPEEDCONDENSATE,0.82,,Reset,STEAM,73.88,60,120,10
,NG-SpaceHtg_eq-Boiler-Steam-81-TE,STEAMBOILER,STEAM,FALSE,STEAM,STEAM,VARIABLESPEEDCONDENSATE,0.81,,Reset,STEAM,73.88,60,120,10
,NG-SpaceHtg_eq-Boiler-Steam-83-TE,STEAMBOILER,STEAM,FALSE,STEAM,STEAM,VARIABLESPEEDCONDENSATE,0.83,,Reset,STEAM,73.88,60,120,10
,NG-SpaceHtg_eq-Boiler-Steam-84-TE,STEAMBOILER,STEAM,FALSE,STEAM,STEAM,VARIABLESPEEDCONDENSATE,0.84,,Reset,STEAM,73.88,60,120,10
