skip,case_name,:hw_heating_source,:hw_fluid_type,:main_atu_reheat_coil_type,:hw_pump_type,:hw_boiler_eff,:hw_boiler_type,:hw_setpoint_type,:main_heat_coil_type,:kitch_heat_coil_type,:hw_supply_temp_at_lo,:hw_supply_temp_at_hi,:hw_max_loop_temp,:hw_min_loop_temp
#,TE_84_Non-Condensing_baseline,BOILER,WATER,WATER,VARIABLE,0.84,NONCONDENSING,Reset,WATER,WATER,73.88,60,100,10
#,Msr_TE_85_Non-Condensing,BOILER,WATER,WATER,VARIABLE,0.85,NONCONDENSING,Reset,WATER,WATER,73.88,60,100,10
,TE_83_Non-Condensing_baseline,BOILER,WATER,WATER,VARIABLE,0.83,NONCONDENSING,Reset,WATER,WATER,73.88,60,100,10
,Msr_TE_93_ Condensing,BOILER,WATER,WATER,VARIABLE,0.93,CONDENSING,Reset,WATER,WATER,60,46.11,100,10
#,Msr_AFUE_94_ Condensing,BOILER,WATER,WATER,VARIABLE,0.94,CONDENSING,Reset,WATER,WATER,60,46.11,100,10
#,Msr_TE_85.3_Non-Condensing,BOILER,WATER,WATER,VARIABLE,0.853,NONCONDENSING,Reset,WATER,WATER,73.88,60,100,10
#,TE_83_Non-Condensing_baseline,BOILER,WATER,WATER,VARIABLE,0.83,NONCONDENSING,Reset,WATER,WATER,73.88,60,100,10
#,Msr_TE_94_ Condensing,BOILER,WATER,WATER,VARIABLE,0.94,CONDENSING,Reset,WATER,WATER,73.88,60,100,10
#,TE_84_Non-Condensing_baseline,BOILER,WATER,WATER,VARIABLE,0.84,NONCONDENSING,Reset,WATER,WATER,73.88,60,100,10
#,Msr_TE_93_ Condensing,BOILER,WATER,WATER,VARIABLE,0.93,CONDENSING,Reset,WATER,WATER,73.88,60,100,10
#,TE_83_Non-Condensing_baseline,BOILER,WATER,WATER,VARIABLE,0.83,NONCONDENSING,Reset,WATER,WATER,73.88,60,100,10
#,TE_82_Steam_baseline,STEAMBOILER,STEAM,STEAM,VARIABLESPEEDCONDENSATE,0.82,,Reset,STEAM,STEAM,73.88,60,120,10
,TE_81_Steam_baseline,STEAMBOILER,STEAM,STEAM,VARIABLESPEEDCONDENSATE,0.81,,Reset,STEAM,STEAM,73.88,60,120,10
#,Msr_TE_83,STEAMBOILER,STEAM,STEAM,VARIABLESPEEDCONDENSATE,0.83,,Reset,STEAM,STEAM,73.88,60,120,10
,Msr_TE_82,STEAMBOILER,STEAM,STEAM,VARIABLESPEEDCONDENSATE,0.82,,Reset,STEAM,STEAM,73.88,60,120,10
#,Msr_TE_84,STEAMBOILER,STEAM,STEAM,VARIABLESPEEDCONDENSATE,0.84,,Reset,STEAM,STEAM,73.88,60,120,10
