skip,case_name,:hw_heating_source,:hw_fluid_type,:main_atu_reheat_coil_type,:hw_pump_type,:hw_boiler_eff,:hw_boiler_type,:hw_setpoint_type,:main_heat_coil_type,:kitch_heat_coil_type,:hw_supply_temp_at_lo,:hw_supply_temp_at_hi,:hw_max_loop_temp,:hw_min_loop_temp
,NG-SpaceHtg_eq-Boiler-NonCond-TE-82,BOILER,WATER,WATER,VARIABLE,0.82,NONCONDENSING,Reset,WATER,WATER,73.88,60,100,10
,NG-SpaceHtg_eq-Boiler-NonCond-TE-83,BOILER,WATER,WATER,VARIABLE,0.83,NONCONDENSING,Reset,WATER,WATER,73.88,60,100,10
,NG-SpaceHtg_eq-Boiler-NonCond-TE-84,BOILER,WATER,WATER,VARIABLE,0.84,NONCONDENSING,Reset,WATER,WATER,73.88,60,100,10
,NG-SpaceHtg_eq-Boiler-NonCond-TE-85,BOILER,WATER,WATER,VARIABLE,0.85,NONCONDENSING,Reset,WATER,WATER,73.88,60,100,10
,NG-SpaceHtg_eq-Boiler-NonCond-TE-85.3,BOILER,WATER,WATER,VARIABLE,0.853,NONCONDENSING,Reset,WATER,WATER,73.88,60,100,10
,NG-SpaceHtg_eq-Boiler-Cond-TE-93,BOILER,WATER,WATER,VARIABLE,0.93,CONDENSING,Reset,WATER,WATER,60,46.11,100,10
,NG-SpaceHtg_eq-Boiler-Cond-TE-94,BOILER,WATER,WATER,VARIABLE,0.94,CONDENSING,Reset,WATER,WATER,60,46.11,100,10
,NG-SpaceHtg_eq-Boiler-Steam-TE-81,STEAMBOILER,STEAM,STEAM,VARIABLESPEEDCONDENSATE,0.81,,Reset,STEAM,STEAM,73.88,60,120,10
,NG-SpaceHtg_eq-Boiler-Steam-TE-82,STEAMBOILER,STEAM,STEAM,VARIABLESPEEDCONDENSATE,0.83,,Reset,STEAM,STEAM,73.88,60,120,10
,NG-SpaceHtg_eq-Boiler-Steam-TE-83,STEAMBOILER,STEAM,STEAM,VARIABLESPEEDCONDENSATE,0.82,,Reset,STEAM,STEAM,73.88,60,120,10
,NG-SpaceHtg_eq-Boiler-Steam-TE-84,STEAMBOILER,STEAM,STEAM,VARIABLESPEEDCONDENSATE,0.84,,Reset,STEAM,STEAM,73.88,60,120,10
