skip,case_name,sizing_case,:main_disable_ems,:main_cool_coil_type,:chw_chiller_model,:chw_chiller_eir_fplr_type,:chw_chiller_cop,:chw_cooling_source,:chw_chiller_type,:chw_wc_option,:chw_pump_type,:chw_min_plr,:chw_min_ulr,:chw_cw_temp_ref,:chw_chiller_condenser,:cool_sizing_factor,:main_hvac_type,:heat_sizing_factor,:hvac_config,:main_atu_reheat_coil_type,:main_atu_reheat_control,:main_fan_rise,:main_heat_coil_type,:main_dx_type,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_oa_econ_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_cool_flow_min_frac,:main_unitary_no_load_flow_method,:main_fan_speed,:main_fan_motor_eff,:main_heat_coil_cop,:main_heat_coil_eff,:main_heat_flow_frac,:hw_boiler_eff
,NE-Chiller-WtrCldCentChlr-0.646-kwpton-R1.67,NE-Chiller-WtrCldCentChlr-0.695-kwpton-R1.48,TRUE,WATER,ReformEIRChiller Carrier 19XR 1157kW/5.62COP/VSD,LeavingCondenserWaterTemperature,5.4,CHILLER,ELECTRIC,Reformulated,VARIABLE,0.3,0.3,24.5437,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
,NE-Chiller-WtrCldCentChlr-0.646-kwpton-R1.56,NE-Chiller-WtrCldCentChlr-0.695-kwpton-R1.48,TRUE,WATER,ReformEIRChiller Trane CVHF 2317kW/6.33COP/VSD,LeavingCondenserWaterTemperature,5.4,CHILLER,ELECTRIC,Reformulated,VARIABLE,0.3,0.3,20.338,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
,NE-Chiller-WtrCldCentChlr-0.544-kwpton-R1.67,NE-Chiller-WtrCldCentChlr-0.585-kwpton-R1.48,TRUE,WATER,ReformEIRChiller Carrier 19XR 1157kW/5.62COP/VSD,LeavingCondenserWaterTemperature,6.5,CHILLER,ELECTRIC,Reformulated,VARIABLE,0.3,0.3,24.5437,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
,NE-Chiller-WtrCldCentChlr-0.544-kwpton-R1.56,NE-Chiller-WtrCldCentChlr-0.585-kwpton-R1.48,TRUE,WATER,ReformEIRChiller Trane CVHF 2317kW/6.33COP/VSD,LeavingCondenserWaterTemperature,6.5,CHILLER,ELECTRIC,Reformulated,VARIABLE,0.3,0.3,20.338,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
,NE-Chiller-WtrCldCentChlr-0.591-kwpton-R1.67,NE-Chiller-WtrCldCentChlr-0.635-kwpton-R1.48,TRUE,WATER,ReformEIRChiller Carrier 19XR 1157kW/5.62COP/VSD,LeavingCondenserWaterTemperature,6,CHILLER,ELECTRIC,Reformulated,VARIABLE,0.3,0.3,24.5437,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
,NE-Chiller-WtrCldCentChlr-0.591-kwpton-R1.56,NE-Chiller-WtrCldCentChlr-0.635-kwpton-R1.48,TRUE,WATER,ReformEIRChiller Trane CVHF 2317kW/6.33COP/VSD,LeavingCondenserWaterTemperature,6,CHILLER,ELECTRIC,Reformulated,VARIABLE,0.3,0.3,20.338,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
,NE-Chiller-WtrCldCentChlr-0.553-kwpton-R1.67,NE-Chiller-WtrCldCentChlr-0.595-kwpton-R1.48,TRUE,WATER,ReformEIRChiller Carrier 19XR 1157kW/5.62COP/VSD,LeavingCondenserWaterTemperature,6.4,CHILLER,ELECTRIC,Reformulated,VARIABLE,0.3,0.3,24.5437,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
,NE-Chiller-WtrCldCentChlr-0.553-kwpton-R1.56,NE-Chiller-WtrCldCentChlr-0.595-kwpton-R1.48,TRUE,WATER,ReformEIRChiller Trane CVHF 2317kW/6.33COP/VSD,LeavingCondenserWaterTemperature,6.4,CHILLER,ELECTRIC,Reformulated,VARIABLE,0.3,0.3,20.338,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
,NE-Chiller-WtrCldCentChlr-0.695-kwpton-R1.48,,TRUE,WATER,ReformEIRChiller WC Cent Carrier 19XR 1234kW/5.39COP/VSD,LeavingCondenserWaterTemperature,5.1,CHILLER,ELECTRIC,Reformulated,VARIABLE,0.3,0.3,31.5643,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
,NE-Chiller-WtrCldCentChlr-0.635-kwpton-R1.48,,TRUE,WATER,ReformEIRChiller WC Cent Carrier 19XR 1234kW/5.39COP/VSD,LeavingCondenserWaterTemperature,5.5,CHILLER,ELECTRIC,Reformulated,VARIABLE,0.3,0.3,31.5643,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
