File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,CHW Pump Power,CW Pump Power,Electricity/Heating,Electricity/Cooling,Electricity/Interior Lighting,Electricity/Exterior Lighting,Electricity/Interior Equipment,Electricity/Exterior Equipment,Electricity/Fans,Electricity/Pumps,Electricity/Heat Rejection,Electricity/Humidification,Electricity/Heat Recovery,Electricity/Water Systems,Electricity/Refrigeration,Electricity/Generators,Natural Gas/Heating,Natural Gas/Cooling,Natural Gas/Interior Lighting,Natural Gas/Exterior Lighting,Natural Gas/Interior Equipment,Natural Gas/Exterior Equipment,Natural Gas/Fans,Natural Gas/Pumps,Natural Gas/Heat Rejection,Natural Gas/Humidification,Natural Gas/Heat Recovery,Natural Gas/Water Systems,Natural Gas/Refrigeration,Natural Gas/Generators,Electricity:Facility [J](Hourly)
SWHC008-03 VSD Central Plant_Ex/runs/CZ01/ESe&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql,CZ01,ESe,0,cPVVE,Ex,Chiller,PumpCtrl,NE-Chiller-PumpCtrl-Full-Std,,,0,30249.59,197273.03,0,258328.15,0,314621.47,40762.63,46669.27,0,0,0,0,0,196347.33,0,0,0,64094.3,0,0,0,0,0,0,253184.28,0,0,584105905.2
SWHC008-03 VSD Central Plant_Ex/runs/CZ01/Nrs&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ01,Nrs,0,cPVVE,Ex,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,1437.17,,0,35788.8,201226.15,0,282049.05,0,71093.14,36996.46,43182.32,0,0,0,0,0,178003.25,0,0,0,65854.75,0,0,0,0,0,0,137437.75,0,0,354956477.4
SWHC008-03 VSD Central Plant_Ex/runs/CZ01/ECC&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ01,ECC,0,cPVVE,Ex,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,26820.85,0,306033.94,350734.07,0,936314.72,0,250364.68,80913.39,174972.4,0,0,0,0,0,333355.56,0,0,0,68627.6,0,0,0,0,0,0,530254.58,0,0,1537505015
SWHC008-03 VSD Central Plant_Ex/runs/CZ01/ECC&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ01,ECC,0,cPVVE,Ex,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,9394.92,,0,88906.59,350734.07,0,936314.72,0,249809.37,249092.14,278424.79,0,0,0,0,0,333324.89,0,0,0,68627.6,0,0,0,0,0,0,530249.93,0,0,1431186158
SWHC008-03 VSD Central Plant_Ex/runs/CZ01/ESe&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ01,ESe,0,cPVVE,Ex,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,4451.92,0,30157.31,197273.03,0,258328.15,0,314617.06,3791.89,10959.96,0,0,0,0,0,196352.88,0,0,0,64094.3,0,0,0,0,0,0,253178.11,0,0,570114497.2
SWHC008-03 VSD Central Plant_Ex/runs/CZ01/ESe&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ01,ESe,0,cPVVE,Ex,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,1559.44,,0,27461.82,197273.03,0,258328.15,0,314609.2,39750.49,46636.09,0,0,0,0,0,196350.22,0,0,0,64094.3,0,0,0,0,0,0,253181.82,0,0,569705208
SWHC008-03 VSD Central Plant_Ex/runs/CZ01/ECC&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql,CZ01,ECC,0,cPVVE,Ex,Chiller,PumpCtrl,NE-Chiller-PumpCtrl-Full-Std,,,0,306355.78,350734.07,0,936314.72,0,250359.49,291806.8,281161.6,0,0,0,0,0,333380.22,0,0,0,68627.6,0,0,0,0,0,0,530245.77,0,0,1614751142
SWHC008-03 VSD Central Plant_Ex/runs/CZ01/Nrs&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ01,Nrs,0,cPVVE,Ex,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,4102.88,0,36664.29,201226.15,0,282049.05,0,71096.18,3604.87,12031.52,0,0,0,0,0,178028.99,0,0,0,65854.75,0,0,0,0,0,0,137437.21,0,0,352162453.6
SWHC008-03 VSD Central Plant_Ex/runs/CZ01/Hsp&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ01,Hsp,0,cPVVE,Ex,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,32183.24,0,331414.49,857863.39,0,1141299.43,0,209813.31,118486.37,233821.86,0,0,0,0,0,515837.08,0,0,0,43737.51,0,0,0,0,0,0,299612.06,0,0,1765037880
SWHC008-03 VSD Central Plant_Ex/runs/CZ01/EUn&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ01,EUn,0,cPVVE,Ex,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,24045.29,,0,211576.62,1274541.22,0,3553012.2,0,893162.24,608497.4,719427.59,0,0,0,0,0,1006799.15,0,0,0,127428.8,0,0,0,0,0,0,805513.45,0,0,4792380218
