Date,Time Stamp,Cooling Setpoint (F),Heating Setpoint (F),Label,Day Type,Holiday
01/01/23,00:00,29.44,15.56,setback,Wkend,New Years Day
01/01/23,00:10,29.44,15.56,setback,Wkend,New Years Day
01/01/23,00:20,29.44,15.56,setback,Wkend,New Years Day
01/01/23,00:30,29.44,15.56,setback,Wkend,New Years Day
01/01/23,00:40,29.44,15.56,setback,Wkend,New Years Day
01/01/23,00:50,29.44,15.56,setback,Wkend,New Years Day
01/01/23,01:00,29.44,15.56,setback,Wkend,New Years Day
01/01/23,01:10,29.44,15.56,setback,Wkend,New Years Day
01/01/23,01:20,29.44,15.56,setback,Wkend,New Years Day
01/01/23,01:30,29.44,15.56,setback,Wkend,New Years Day
01/01/23,01:40,29.44,15.56,setback,Wkend,New Years Day
01/01/23,01:50,29.44,15.56,setback,Wkend,New Years Day
01/01/23,02:00,29.44,15.56,setback,Wkend,New Years Day
01/01/23,02:10,29.44,15.56,setback,Wkend,New Years Day
01/01/23,02:20,29.44,15.56,setback,Wkend,New Years Day
01/01/23,02:30,29.44,15.56,setback,Wkend,New Years Day
01/01/23,02:40,29.44,15.56,setback,Wkend,New Years Day
01/01/23,02:50,29.44,15.56,setback,Wkend,New Years Day
01/01/23,03:00,29.44,15.56,setback,Wkend,New Years Day
01/01/23,03:10,29.44,15.56,setback,Wkend,New Years Day
01/01/23,03:20,29.44,15.56,setback,Wkend,New Years Day
01/01/23,03:30,29.44,15.56,setback,Wkend,New Years Day
01/01/23,03:40,29.44,15.56,setback,Wkend,New Years Day
01/01/23,03:50,29.44,15.56,setback,Wkend,New Years Day
01/01/23,04:00,29.44,15.56,setback,Wkend,New Years Day
01/01/23,04:10,29.44,15.56,setback,Wkend,New Years Day
01/01/23,04:20,29.44,15.56,setback,Wkend,New Years Day
01/01/23,04:30,29.44,15.56,setback,Wkend,New Years Day
01/01/23,04:40,29.44,15.56,setback,Wkend,New Years Day
01/01/23,04:50,29.44,15.56,setback,Wkend,New Years Day
01/01/23,05:00,29.44,15.56,setback,Wkend,New Years Day
01/01/23,05:10,29.44,15.56,setback,Wkend,New Years Day
01/01/23,05:20,29.44,15.56,setback,Wkend,New Years Day
01/01/23,05:30,29.44,15.56,setback,Wkend,New Years Day
01/01/23,05:40,29.44,15.56,setback,Wkend,New Years Day
01/01/23,05:50,29.44,15.56,setback,Wkend,New Years Day
01/01/23,06:00,29.44,15.56,setback,Wkend,New Years Day
01/01/23,06:10,29.44,15.56,setback,Wkend,New Years Day
01/01/23,06:20,29.44,15.56,setback,Wkend,New Years Day
01/01/23,06:30,29.44,15.56,setback,Wkend,New Years Day
01/01/23,06:40,29.44,15.56,setback,Wkend,New Years Day
01/01/23,06:50,29.44,15.56,setback,Wkend,New Years Day
01/01/23,07:00,29.44,15.56,setback,Wkend,New Years Day
01/01/23,07:10,29.44,15.56,setback,Wkend,New Years Day
01/01/23,07:20,29.44,15.56,setback,Wkend,New Years Day
01/01/23,07:30,29.44,15.56,setback,Wkend,New Years Day
01/01/23,07:40,29.44,15.56,setback,Wkend,New Years Day
01/01/23,07:50,29.44,15.56,setback,Wkend,New Years Day
01/01/23,08:00,29.44,15.56,setback,Wkend,New Years Day
01/01/23,08:10,29.44,15.56,setback,Wkend,New Years Day
01/01/23,08:20,29.44,15.56,setback,Wkend,New Years Day
01/01/23,08:30,29.44,15.56,setback,Wkend,New Years Day
01/01/23,08:40,29.44,15.56,setback,Wkend,New Years Day
01/01/23,08:50,29.44,15.56,setback,Wkend,New Years Day
01/01/23,09:00,29.44,15.56,setback,Wkend,New Years Day
01/01/23,09:10,29.44,15.56,setback,Wkend,New Years Day
01/01/23,09:20,29.44,15.56,setback,Wkend,New Years Day
01/01/23,09:30,29.44,15.56,setback,Wkend,New Years Day
01/01/23,09:40,29.44,15.56,setback,Wkend,New Years Day
01/01/23,09:50,29.44,15.56,setback,Wkend,New Years Day
01/01/23,10:00,29.44,15.56,setback,Wkend,New Years Day
01/01/23,10:10,29.44,15.56,setback,Wkend,New Years Day
01/01/23,10:20,29.44,15.56,setback,Wkend,New Years Day
01/01/23,10:30,29.44,15.56,setback,Wkend,New Years Day
01/01/23,10:40,29.44,15.56,setback,Wkend,New Years Day
01/01/23,10:50,29.44,15.56,setback,Wkend,New Years Day
01/01/23,11:00,29.44,15.56,setback,Wkend,New Years Day
01/01/23,11:10,29.44,15.56,setback,Wkend,New Years Day
01/01/23,11:20,29.44,15.56,setback,Wkend,New Years Day
01/01/23,11:30,29.44,15.56,setback,Wkend,New Years Day
01/01/23,11:40,29.44,15.56,setback,Wkend,New Years Day
01/01/23,11:50,29.44,15.56,setback,Wkend,New Years Day
01/01/23,12:00,29.44,15.56,setback,Wkend,New Years Day
01/01/23,12:10,29.44,15.56,setback,Wkend,New Years Day
01/01/23,12:20,29.44,15.56,setback,Wkend,New Years Day
01/01/23,12:30,29.44,15.56,setback,Wkend,New Years Day
01/01/23,12:40,29.44,15.56,setback,Wkend,New Years Day
01/01/23,12:50,29.44,15.56,setback,Wkend,New Years Day
01/01/23,13:00,29.44,15.56,setback,Wkend,New Years Day
01/01/23,13:10,29.44,15.56,setback,Wkend,New Years Day
01/01/23,13:20,29.44,15.56,setback,Wkend,New Years Day
01/01/23,13:30,29.44,15.56,setback,Wkend,New Years Day
01/01/23,13:40,29.44,15.56,setback,Wkend,New Years Day
