File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Value/Program Version and Build,Value/Weather File,Area/Conditioned Total,Electricity Intensity/HVAC,Natural Gas Intensity/HVAC,Electricity/Heating,Electricity/Cooling,Electricity/Interior Lighting,Electricity/Exterior Lighting,Electricity/Interior Equipment,Electricity/Exterior Equipment,Electricity/Fans,Electricity/Pumps,Electricity/Heat Rejection,Electricity/Humidification,Electricity/Heat Recovery,Electricity/Water Systems,Electricity/Refrigeration,Electricity/Generators,Electricity/Total End Uses,Natural Gas/Heating,Natural Gas/Cooling,Natural Gas/Interior Lighting,Natural Gas/Exterior Lighting,Natural Gas/Interior Equipment,Natural Gas/Exterior Equipment,Natural Gas/Fans,Natural Gas/Pumps,Natural Gas/Heat Rejection,Natural Gas/Humidification,Natural Gas/Heat Recovery,Natural Gas/Water Systems,Natural Gas/Refrigeration,Natural Gas/Generators,Natural Gas/Total End Uses,Unmet Heating,Unmet Cooling,Area/CLASSROOM G.E1,Area/CLASSROOM G.NNE2,Area/CLASSROOM G.SSE3,Area/CLASSROOM G.W4,Area/CLASSROOM E1 WEST PERIM (G.W1),Area/CLASSROOM E2 NORTH PERIM (G.N3),Area/CLASSROOM E2 SOUTH PERIM (G.S2),Area/CLASSROOM E2 WEST PERIM (G.W1),Area/CLASSROOM E4 CORE (G.C6),Area/CLASSROOM E4 EAST PERIM (G.E2),Area/CLASSROOM E4 NORTH PERIM (G.N3),Area/CLASSROOM E4 SOUTH PERIM (G.S1),Area/CLASSROOM E4 WEST PERIM (G.W4),Area/COMPUTER CLASSROOM E4 CORE SPC (G.C5),Area/CLASSROOM EL1 SPC (G.1),Electricity:Facility [J](Hourly)
SWHC012-05 Occupancy Sensor_Ex/runs/CZ01/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,CZ01,ERC,0,cDXHP,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXHP,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:19",CA_EUREKA - USA Custom-725940 WMO#=725940,89.3,44.61,41.21,391.3,3.52,2170.58,0.0,2139.72,0.0,3588.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8293.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3679.9,0.0,0.0,3679.9,0.0,0.0,,,,,,,,,,,,,,,89.3,3280742.0115698846
SWHC012-05 Occupancy Sensor_Ex/runs/CZ01/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,CZ01,EPr,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:16",CA_EUREKA - USA Custom-725940 WMO#=725940,2322.43,41.12,50.37,0.0,7811.06,63471.11,0.0,82070.96,0.0,87683.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241037.1,29851.03,0.0,0.0,0.0,42672.53,0.0,0.0,0.0,0.0,0.0,0.0,87119.52,0.0,0.0,159643.09,0.0,0.0,534.27,308.54,308.54,311.6,,,,,,,,,,,,121546060.94583027
SWHC012-05 Occupancy Sensor_Ex/runs/CZ01/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,CZ01,ERC,0,cDXHP,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXHP-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:19",CA_EUREKA - USA Custom-725940 WMO#=725940,89.3,47.3,41.21,1233.46,9.31,2170.58,0.0,2139.72,0.0,2981.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8534.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3679.96,0.0,0.0,3679.96,0.0,0.0,,,,,,,,,,,,,,,89.3,3599907.504504858
SWHC012-05 Occupancy Sensor_Ex/runs/CZ01/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,CZ01,EPr,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:16",CA_EUREKA - USA Custom-725940 WMO#=725940,2322.43,34.42,60.34,0.0,7958.88,63471.11,0.0,82070.96,0.0,71989.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225490.2,53029.35,0.0,0.0,0.0,42672.53,0.0,0.0,0.0,0.0,0.0,0.0,87117.63,0.0,0.0,182819.51,0.0,0.0,534.27,308.54,308.54,311.6,,,,,,,,,,,,120186016.61402744
SWHC012-05 Occupancy Sensor_Ex/runs/CZ02/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,CZ02,EPr,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:19",CA_NAPA-CO - USA Custom-724955 WMO#=724955,2322.43,54.49,41.52,0.0,26515.92,63471.11,0.0,82070.96,0.0,100036.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272094.66,16482.45,0.0,0.0,0.0,42672.53,0.0,0.0,0.0,0.0,0.0,0.0,79943.68,0.0,0.0,139098.66,0.0,2.5,534.27,308.54,308.54,311.6,,,,,,,,,,,,170972465.79287654
SWHC012-05 Occupancy Sensor_Ex/runs/CZ01/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,CZ01,ESe,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:19",CA_EUREKA - USA Custom-725940 WMO#=725940,5059.32,45.09,97.05,0.0,13751.91,197273.03,0.0,258328.15,0.0,214351.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683705.06,237849.3,0.0,0.0,0.0,64094.3,0.0,0.0,0.0,0.0,0.0,0.0,253178.9,0.0,0.0,555122.49,0.0,0.0,,,,,348.47,194.37,194.37,153.88,167.05,150.43,385.38,385.38,150.43,71.59,,425635228.28721666
SWHC012-05 Occupancy Sensor_Ex/runs/CZ01/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,CZ01,ESe,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:19",CA_EUREKA - USA Custom-725940 WMO#=725940,5059.32,51.26,89.54,0.0,13453.57,197273.03,0.0,258328.15,0.0,245903.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714958.52,199812.81,0.0,0.0,0.0,64094.3,0.0,0.0,0.0,0.0,0.0,0.0,253183.41,0.0,0.0,517090.52,7.17,0.0,,,,,348.47,194.37,194.37,153.88,167.05,150.43,385.38,385.38,150.43,71.59,,431750591.236772
SWHC012-05 Occupancy Sensor_Ex/runs/CZ02/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,CZ02,EPr,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:19",CA_NAPA-CO - USA Custom-724955 WMO#=724955,2322.43,48.39,47.0,0.0,31174.74,63471.11,0.0,82070.96,0.0,81215.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257932.64,29215.53,0.0,0.0,0.0,42672.53,0.0,0.0,0.0,0.0,0.0,0.0,79932.79,0.0,0.0,151820.85,0.0,0.0,534.27,308.54,308.54,311.6,,,,,,,,,,,,171499020.16626704
SWHC012-05 Occupancy Sensor_Ex/runs/CZ02/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,CZ02,ERC,0,cDXHP,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXHP,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:19",CA_NAPA-CO - USA Custom-724955 WMO#=724955,89.3,57.0,38.35,231.6,462.42,2170.58,0.0,2139.72,0.0,4395.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9400.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3425.01,0.0,0.0,3425.01,0.67,0.0,,,,,,,,,,,,,,,89.3,6251623.912785005
SWHC012-05 Occupancy Sensor_Ex/runs/CZ02/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,CZ02,ERC,0,cDXHP,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXHP-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:19",CA_NAPA-CO - USA Custom-724955 WMO#=724955,89.3,58.02,38.35,682.4,799.64,2170.58,0.0,2139.72,0.0,3698.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9491.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3424.98,0.0,0.0,3424.98,0.5,0.0,,,,,,,,,,,,,,,89.3,6478323.209913962
