Name,Parameter,Value
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW,Design Size Evaporative Condenser Air Flow Rate,61
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW,Design Size Evaporative Condenser Pump Rated Power Consumption,62
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW,Design Size Gross Rated Heating Capacity,17
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW,Design Size Gross Rated Total Cooling Capacity,3
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW,Design Size Resistive Defrost Heater Capacity,54
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW,Design Size Water Condenser Volume Flow Rate,59
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW,Evaporative Condenser Air Flow Rate,61
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW,Evaporative Condenser Pump Rated Power Consumption,62
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW,Gross Rated Heating Capacity,17
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW,Gross Rated Total Cooling Capacity,3
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW,Resistive Defrost Heater Capacity,54
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW,Water Condenser Volume Flow Rate,59
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW:FLUIDTEMPERATURECONTROL,Design Size Rated Evaporative Capacity,5
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW:FLUIDTEMPERATURECONTROL,Design Size Resistive Defrost Heater Capacity,38
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW:FLUIDTEMPERATURECONTROL,Rated Evaporative Capacity,5
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW:FLUIDTEMPERATURECONTROL,Resistive Defrost Heater Capacity,38
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW:FLUIDTEMPERATURECONTROL:HR,Design Size Rated Evaporative Capacity,5
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW:FLUIDTEMPERATURECONTROL:HR,Design Size Resistive Defrost Heater Capacity,45
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW:FLUIDTEMPERATURECONTROL:HR,Rated Evaporative Capacity,5
AIRCONDITIONER:VARIABLEREFRIGERANTFLOW:FLUIDTEMPERATURECONTROL:HR,Resistive Defrost Heater Capacity,45
AIRLOOPHVAC,Design Size Design Supply Air Flow Rate,4
AIRLOOPHVAC,Design Supply Air Flow Rate,4
AIRLOOPHVAC,Sum of Air Terminal Maximum Heating Flow Rates,4
