Component Type,Input Field Description
AS VS HEATING COIL,Design Size Resistive Defrost Heater Capacity
AS VS HEATING COIL,User-Specified Resistive Defrost Heater Capacity
AirConditioner:VariableRefrigerantFlow,Design Size Rated Total Cooling Capacity (gross)
AirConditioner:VariableRefrigerantFlow,Design Condenser Water Flow Rate
AirConditioner:VariableRefrigerantFlow,Design Size Evaporative Condenser Air Flow Rate
AirConditioner:VariableRefrigerantFlow,User-Specified Rated Total Cooling Capacity (gross)
AirConditioner:VariableRefrigerantFlow,Design Size Resistive Defrost Heater Capacity
AirConditioner:VariableRefrigerantFlow,User-Specified Rated Total Heating Capacity
AirConditioner:VariableRefrigerantFlow,Design Size Rated Total Heating Capacity
AirConditioner:VariableRefrigerantFlow,User-Specified Resistive Defrost Heater Capacity
AirLoopHVAC,User Heating Air Flow Ratio
AirLoopHVAC,User-Specified(scaled by flow / capacity) Supply Air Flow Rate
AirLoopHVAC,Adjusted Cooling Design Air Flow Rate
AirLoopHVAC,Adjusted Heating Design Air Flow Rate
AirLoopHVAC,Adjusted Main Design Air Flow Rate
AirLoopHVAC,Calculated Heating Air Flow Ratio
AirLoopHVAC,Design Supply Air Flow Rate
AirLoopHVAC,Sum of Air Terminal Maximum Flow Rates
AirLoopHVAC,Sum of Air Terminal Maximum Heating Flow Rates
AirLoopHVAC,Sum of Air Terminal Minimum Heating Flow Rates
AirLoopHVAC:Unitary:Furnace:HeatCool,Fraction of Supply Air Flow That Goes Through the Controlling Zone
AirLoopHVAC:Unitary:Furnace:HeatCool,Supply Air Flow Rate When No Cooling or Heating is Needed
AirLoopHVAC:Unitary:Furnace:HeatCool,Supply Air Flow Rate During Cooling Operation
AirLoopHVAC:Unitary:Furnace:HeatCool,Nominal Cooling Capacity
AirLoopHVAC:Unitary:Furnace:HeatCool,Supply Air Flow Rate
AirLoopHVAC:Unitary:Furnace:HeatCool,Supply Air Flow Rate During Heating Operation
AirLoopHVAC:Unitary:Furnace:HeatCool,Nominal Heating Capacity
AirLoopHVAC:Unitary:Furnace:HeatOnly,Fraction of Supply Air Flow That Goes Through the Controlling Zone
AirLoopHVAC:UnitaryHeatCool,Supply Air Flow Rate During Cooling Operation
AirLoopHVAC:UnitaryHeatCool,Fraction of Supply Air Flow That Goes Through the Controlling Zone
AirLoopHVAC:UnitaryHeatCool,Maximum Supply Air Temperature from Supplemental Heater
AirLoopHVAC:UnitaryHeatCool,Nominal Cooling Capacity
AirLoopHVAC:UnitaryHeatCool,Nominal Heating Capacity
AirLoopHVAC:UnitaryHeatCool,Supply Air Flow Rate When No Cooling or Heating is Needed
AirLoopHVAC:UnitaryHeatCool,Supply Air Flow Rate During Heating Operation
AirLoopHVAC:UnitaryHeatCool,Supply Air Flow Rate
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,maximum outside air flow rate in cooling
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,maximum air flow rate when compressor/coil is off
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,maximum cooling air flow rate
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,maximum heating air flow rate
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,maximum outdoor air flow rate in heating
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,maximum outdoor air flow rate when compressor is off
AirLoopHVAC:UnitaryHeatOnly,Fraction of Supply Air Flow That Goes Through the Controlling Zone
AirLoopHVAC:UnitaryHeatPump:AirToAir,Maximum Supply Air Temperature from Supplemental Heater
AirLoopHVAC:UnitaryHeatPump:AirToAir,Supplemental Heating Coil Nominal Capacity
AirLoopHVAC:UnitaryHeatPump:AirToAir,Nominal Cooling Capacity
