Date,Time Stamp,Cooling Setpoint (C),Heating Setpoint (C),Label,Day Type,Holiday
01/01/09,00:00,29.44,15.56,setback,Wkend,New Years Day
01/01/09,00:10,29.44,15.56,setback,Wkend,New Years Day
01/01/09,00:20,29.44,15.56,setback,Wkend,New Years Day
01/01/09,00:30,29.44,15.56,setback,Wkend,New Years Day
01/01/09,00:40,29.44,15.56,setback,Wkend,New Years Day
01/01/09,00:50,29.44,15.56,setback,Wkend,New Years Day
01/01/09,01:00,29.44,15.56,setback,Wkend,New Years Day
01/01/09,01:10,29.44,15.56,setback,Wkend,New Years Day
01/01/09,01:20,29.44,15.56,setback,Wkend,New Years Day
01/01/09,01:30,29.44,15.56,setback,Wkend,New Years Day
01/01/09,01:40,29.44,15.56,setback,Wkend,New Years Day
01/01/09,01:50,29.44,15.56,setback,Wkend,New Years Day
01/01/09,02:00,29.44,15.56,setback,Wkend,New Years Day
01/01/09,02:10,29.44,15.56,setback,Wkend,New Years Day
01/01/09,02:20,29.44,15.56,setback,Wkend,New Years Day
01/01/09,02:30,29.44,15.56,setback,Wkend,New Years Day
01/01/09,02:40,29.44,15.56,setback,Wkend,New Years Day
01/01/09,02:50,29.44,15.56,setback,Wkend,New Years Day
01/01/09,03:00,29.44,15.56,setback,Wkend,New Years Day
01/01/09,03:10,29.44,15.56,setback,Wkend,New Years Day
01/01/09,03:20,29.44,15.56,setback,Wkend,New Years Day
01/01/09,03:30,29.44,15.56,setback,Wkend,New Years Day
01/01/09,03:40,29.44,15.56,setback,Wkend,New Years Day
01/01/09,03:50,29.44,15.56,setback,Wkend,New Years Day
01/01/09,04:00,29.44,15.56,setback,Wkend,New Years Day
01/01/09,04:10,29.44,15.56,setback,Wkend,New Years Day
01/01/09,04:20,29.44,15.56,setback,Wkend,New Years Day
01/01/09,04:30,29.44,15.56,setback,Wkend,New Years Day
01/01/09,04:40,29.44,15.56,setback,Wkend,New Years Day
01/01/09,04:50,29.44,15.56,setback,Wkend,New Years Day
01/01/09,05:00,29.44,15.56,setback,Wkend,New Years Day
01/01/09,05:10,29.44,15.56,setback,Wkend,New Years Day
01/01/09,05:20,29.44,15.56,setback,Wkend,New Years Day
01/01/09,05:30,29.44,15.56,setback,Wkend,New Years Day
01/01/09,05:40,29.44,15.56,setback,Wkend,New Years Day
01/01/09,05:50,29.44,15.56,setback,Wkend,New Years Day
01/01/09,06:00,29.44,15.56,setback,Wkend,New Years Day
01/01/09,06:10,29.44,15.56,setback,Wkend,New Years Day
01/01/09,06:20,29.44,15.56,setback,Wkend,New Years Day
01/01/09,06:30,29.44,15.56,setback,Wkend,New Years Day
01/01/09,06:40,29.44,15.56,setback,Wkend,New Years Day
01/01/09,06:50,29.44,15.56,setback,Wkend,New Years Day
01/01/09,07:00,29.44,15.56,setback,Wkend,New Years Day
01/01/09,07:10,29.44,15.56,setback,Wkend,New Years Day
01/01/09,07:20,29.44,15.56,setback,Wkend,New Years Day
01/01/09,07:30,29.44,15.56,setback,Wkend,New Years Day
01/01/09,07:40,29.44,15.56,setback,Wkend,New Years Day
01/01/09,07:50,29.44,15.56,setback,Wkend,New Years Day
01/01/09,08:00,29.44,15.56,setback,Wkend,New Years Day
01/01/09,08:10,29.44,15.56,setback,Wkend,New Years Day
01/01/09,08:20,29.44,15.56,setback,Wkend,New Years Day
01/01/09,08:30,29.44,15.56,setback,Wkend,New Years Day
01/01/09,08:40,29.44,15.56,setback,Wkend,New Years Day
01/01/09,08:50,29.44,15.56,setback,Wkend,New Years Day
01/01/09,09:00,29.44,15.56,setback,Wkend,New Years Day
01/01/09,09:10,29.44,15.56,setback,Wkend,New Years Day
01/01/09,09:20,29.44,15.56,setback,Wkend,New Years Day
01/01/09,09:30,29.44,15.56,setback,Wkend,New Years Day
01/01/09,09:40,29.44,15.56,setback,Wkend,New Years Day
01/01/09,09:50,29.44,15.56,setback,Wkend,New Years Day
01/01/09,10:00,29.44,15.56,setback,Wkend,New Years Day
01/01/09,10:10,29.44,15.56,setback,Wkend,New Years Day
01/01/09,10:20,29.44,15.56,setback,Wkend,New Years Day
01/01/09,10:30,29.44,15.56,setback,Wkend,New Years Day
01/01/09,10:40,29.44,15.56,setback,Wkend,New Years Day
01/01/09,10:50,29.44,15.56,setback,Wkend,New Years Day
01/01/09,11:00,29.44,15.56,setback,Wkend,New Years Day
01/01/09,11:10,29.44,15.56,setback,Wkend,New Years Day
01/01/09,11:20,29.44,15.56,setback,Wkend,New Years Day
01/01/09,11:30,29.44,15.56,setback,Wkend,New Years Day
01/01/09,11:40,29.44,15.56,setback,Wkend,New Years Day
01/01/09,11:50,29.44,15.56,setback,Wkend,New Years Day
01/01/09,12:00,29.44,15.56,setback,Wkend,New Years Day
01/01/09,12:10,29.44,15.56,setback,Wkend,New Years Day
01/01/09,12:20,29.44,15.56,setback,Wkend,New Years Day
01/01/09,12:30,29.44,15.56,setback,Wkend,New Years Day
