skip,case_name,:main_hvac_type,:main_atu_reheat_coil_type,:main_atu_reheat_control,:main_fan_rise,:main_cool_coil_type,:main_heat_coil_type,:main_dx_type,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_oa_econ_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_fan_speed,:main_fan_motor_eff,:main_heat_coil_eff
,NE-dxAC-PkgAC-65to134-New-EER-11.0,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.8,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-65to134-New-EER-11.5,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.97,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-65to134-New-EER-12.0,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.14,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-65to134-New-EER-12.5,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.31,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-65to134-New-EER-13.0,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.49,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-135to239-New-EER-10.8,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.81,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-135to239-New-EER-11.5,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.06,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-135to239-New-EER-12.0,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.23,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-135to239-New-EER-12.5,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.41,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-240to759-New-EER-9.8,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.7,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-240to759-New-EER-10.8,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.07,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-240to759-New-EER-11.5,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.34,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-240to759-New-EER-12.5,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.72,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-gt760-New-EER-9.5,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.78,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-gt760-New-EER-10.2,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.06,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-gt760-New-EER-11.0,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.37,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-gt760-New-EER-12.0,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.77,CONSTANT,CONSTANT,0.9,0.8
