skip,case_name,:main_hvac_type,:main_atu_reheat_coil_type,:main_atu_reheat_control,:main_fan_rise,:main_cool_coil_type,:main_heat_coil_type,:main_dx_type,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_oa_econ_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_fan_speed,:main_fan_motor_eff,:main_heat_coil_eff
,NE-dxAC-PkgAC-18to33-New-SEER-13.4,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,NONE,3.82,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-18to33-New-SEER-15.2,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,NONE,4.11,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-18to33-New-SEER-16.2,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,NONE,4.24,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-18to33-New-SEER-17.1,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,NONE,4.35,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-18to33-New-SEER-18.1,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,NONE,4.46,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-33to65-New-SEER-13.4,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.82,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-33to65-New-SEER-15.2,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.11,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-33to65-New-SEER-16.2,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.24,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-33to65-New-SEER-17.1,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.35,CONSTANT,CONSTANT,0.9,0.8
,NE-dxAC-PkgAC-33to65-New-SEER-18.1,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.46,CONSTANT,CONSTANT,0.9,0.8
