skip,case_name,:main_hvac_type,:main_atu_reheat_coil_type,:main_atu_reheat_control,:main_fan_rise,:main_cool_coil_type,:main_heat_coil_type,:main_dx_type,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_oa_econ_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_fan_speed,:main_fan_motor_eff,:main_heat_coil_cop
,NE-dxHP-PkgHP-18to33-Ex-SEER13.4,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.82,CONSTANT,CONSTANT,0.9,3.81
,NE-dxHP-PkgHP-18to33-Ex-SEER15.2,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.11,CONSTANT,CONSTANT,0.9,3.81
,NE-dxHP-PkgHP-18to33-Ex-SEER16.2,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.24,CONSTANT,CONSTANT,0.9,3.81
,NE-dxHP-PkgHP-18to33-Ex-SEER17.1,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.35,CONSTANT,CONSTANT,0.9,3.81
,NE-dxHP-PkgHP-18to33-Ex-SEER18.1,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.46,CONSTANT,CONSTANT,0.9,3.81
,NE-dxHP-PkgHP-33to65-Ex-SEER13.4,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.82,CONSTANT,CONSTANT,0.9,3.81
,NE-dxHP-PkgHP-33to65-Ex-SEER15.2,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.11,CONSTANT,CONSTANT,0.9,3.81
,NE-dxHP-PkgHP-33to65-Ex-SEER16.2,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.24,CONSTANT,CONSTANT,0.9,3.81
,NE-dxHP-PkgHP-33to65-Ex-SEER17.1,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.35,CONSTANT,CONSTANT,0.9,3.81
,NE-dxHP-PkgHP-33to65-Ex-SEER18.1,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.46,CONSTANT,CONSTANT,0.9,3.81
,NE-dxHP-SplitHP-18to33-Ex-SEER14.3,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.97,CONSTANT,CONSTANT,0.9,4.01
,NE-dxHP-SplitHP-18to33-Ex-SEER15.2,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.11,CONSTANT,CONSTANT,0.9,4.01
