Date/Time,CZ01/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ01/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ01/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ02/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ02/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ02/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ03/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ03/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ03/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ04/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ04/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ04/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ05/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ05/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ05/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ06/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ06/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ06/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ07/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ07/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ07/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ08/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ08/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ08/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ09/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ09/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ09/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ10/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ10/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ10/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ11/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ11/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ11/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ12/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ12/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ12/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ13/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ13/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ13/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ14/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ14/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ14/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ15/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ15/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ15/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ16/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ16/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ16/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv
 01/01  01:00:00,31525240.079771325 ,31525240.079771325 ,31525240.079771325 ,32093096.69020538 ,32093096.69020538 ,32093096.69020538 ,31987542.25226116 ,31987542.25226116 ,31987542.25226116 ,32214895.262785483 ,32214895.262785483 ,32214895.262785483 ,31998054.06146562 ,31998054.06146562 ,31998054.06146562 ,33043873.636497915 ,33159531.240913954 ,33041362.999352273 ,33252932.09482727 ,33251718.67691368 ,33249961.918595064 ,32637077.294445086 ,32636197.469447903 ,32634996.549128056 ,32674528.693655536 ,32674059.440211777 ,32684320.44301479 ,32496543.35035631 ,32497426.27598668 ,32487721.776195843 ,36803296.31372603 ,36803296.31372603 ,36803296.31372603 ,32149920.617245432 ,32149920.617245436 ,32149920.61724544 ,32447202.50239393 ,32447202.50239393 ,32447202.50239393 ,36816622.13709189 ,36816622.13709189 ,36816622.13709189 ,32822052.265390728 ,32821461.796675913 ,32820600.44848121 ,37024766.71884376 ,37026645.780915946 ,37026647.27211401 
 01/01  02:00:00,31084812.02422377 ,31084812.02422377 ,31084812.02422377 ,31652668.634657826 ,31652668.634657826 ,31652668.634657826 ,31547114.196713608 ,31547114.196713608 ,31547114.196713608 ,31774467.20723793 ,31774467.20723793 ,31774467.20723793 ,31557626.005918067 ,31557626.005918067 ,31557626.005918067 ,32108420.931496672 ,32210533.80653873 ,32106087.14889311 ,32281707.168713145 ,32280762.00564641 ,32279393.61122264 ,32067021.06884006 ,32066514.59066073 ,32065815.700485874 ,32018659.107814856 ,32018312.63381651 ,32026303.955988582 ,31896489.485101603 ,31896777.832574576 ,31893732.170032788 ,36362868.25817848 ,36362868.25817848 ,36362868.25817847 ,31709492.561697878 ,31709492.56169788 ,31709492.56169788 ,32006774.446846377 ,32006774.446846377 ,32006774.44684638 ,36376194.08154434 ,36376194.08154434 ,36376194.08154434 ,32335806.326979723 ,32335285.574022632 ,32334525.161171313 ,36610540.52497778 ,36623075.539151765 ,36623088.64622907 
 01/01  03:00:00,31084812.02422377 ,31084812.02422377 ,31084812.02422377 ,31652668.634657826 ,31652668.634657826 ,31652668.634657826 ,31547114.196713608 ,31547114.196713608 ,31547114.196713608 ,31774467.20723793 ,31774467.20723793 ,31774467.20723793 ,31557626.005918067 ,31557626.005918067 ,31557626.005918067 ,31867585.02772058 ,31881766.16224463 ,31866422.704100568 ,31982436.59865872 ,31981621.867225796 ,31980440.289558075 ,31934353.30735927 ,31933896.438195042 ,31933266.36226003 ,31958995.656102266 ,31958995.656102266 ,31958995.656102266 ,31887939.385746785 ,31887939.385746785 ,31887939.385746785 ,36364718.277753994 ,36364718.563255824 ,36364718.957137905 ,31709492.561697878 ,31709492.561697878 ,31709492.561697878 ,32006774.446846377 ,32006774.446846377 ,32006774.446846377 ,36376194.08154434 ,36376194.08154434 ,36376194.08154434 ,32175212.38638293 ,32174711.692995172 ,32173977.987508204 ,36661242.46069554 ,37139931.76404578 ,37126770.33073085 
 01/01  04:00:00,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.472043484 ,28195059.472043484 ,28195059.47204348 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,32537300.778446928 ,32537304.78626304 ,32537310.49209097 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,32515059.472043484 ,32515059.472043484 ,32515059.472043484 ,29635059.472043484 ,29635059.472043484 ,29635059.472043484 ,34631741.838083066 ,34949746.976482995 ,34884984.062468454 
 01/01  05:00:00,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,31075059.47204348 ,31075059.47204348 ,31075059.47204348 ,29635059.47204348 ,29635059.47204348 ,29635059.47204348 ,32545317.554439932 ,32545320.554056745 ,32545324.821705736 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,35169477.003710374 ,35296550.318310216 ,35370556.25000095 
 01/01  06:00:00,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59752523.52915131 ,59752359.78272072 ,59752123.32368356 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64058443.34306482 ,64058445.04084978 ,64058447.44775311 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,66947974.0431185 ,66907870.5513767 ,66828121.08897213 
 01/01  07:00:00,85438644.67935635 ,85438783.98802845 ,85438980.6114425 ,88655921.21469815 ,88656934.79353622 ,88920980.90357643 ,86936084.43310913 ,86937142.78602487 ,86938650.5757689 ,88942544.83746576 ,88943720.25919151 ,88818888.94154148 ,87245922.95166343 ,87247244.96943806 ,87249196.42069705 ,84717351.648948 ,84719833.92083424 ,84717360.2954244 ,84868738.46783774 ,84868550.27309482 ,84868278.44167934 ,84851402.9811241 ,84851427.17898932 ,84851463.97057389 ,89401336.18281399 ,89401353.57170266 ,89440307.58208998 ,89423488.14918035 ,89431742.79629993 ,89383891.05632146 ,95459904.88966319 ,95460713.69161512 ,95461832.91236724 ,87572106.96763553 ,87573216.03968449 ,87574798.55162369 ,87321463.09412493 ,87322843.1738755 ,87506775.96750739 ,90558083.74419296 ,90496344.22507712 ,90497141.89211965 ,89334431.09162545 ,89334450.59901887 ,89334479.24097791 ,97857795.33373241 ,97673469.24548814 ,97616668.7496292 
 01/01  08:00:00,207760964.97464997 ,207162568.7617041 ,206307246.49290466 ,237175175.93446255 ,236540383.68448955 ,237269262.51193312 ,213058619.7524339 ,212424124.19917327 ,211516671.3070554 ,238402599.30986083 ,237757315.6563964 ,235886663.29836577 ,221460530.2909575 ,220829948.8931064 ,219932991.36285004 ,191155603.78372395 ,190160585.17466962 ,189396792.1327809 ,185642302.58568585 ,184911849.43531936 ,183871211.6391774 ,199256480.92738903 ,198473364.0965991 ,197351498.65900975 ,219732634.74956554 ,218912972.79155976 ,217627553.0266937 ,213094365.92314315 ,212252868.14490315 ,211191165.96458167 ,274783680.9404333 ,274086486.57683027 ,273086984.8853002 ,230284324.4929773 ,229638022.96851367 ,228715394.50756687 ,222206376.14666253 ,221533208.54869908 ,221715399.83445585 ,270922869.44872904 ,269948235.7260185 ,269186596.5382218 ,222189529.58793613 ,221329678.91538632 ,220101710.51207083 ,320776576.44845426 ,324131861.5836966 ,323441047.30971634 
 01/01  09:00:00,204921348.6311117 ,204284817.179406 ,203399847.85058516 ,221477017.8230084 ,220837510.1991026 ,221135395.4167688 ,209409362.05744743 ,208766359.5569869 ,207846934.0034321 ,225481230.89007252 ,224826420.76043028 ,223124316.78627306 ,206213151.13229668 ,205521340.13643283 ,204550025.84998056 ,194081145.8200399 ,193320802.9775486 ,192281020.82400438 ,184312085.81224445 ,183591992.451164 ,182560784.1168664 ,199588346.9676925 ,198797645.27400395 ,197666774.3077712 ,210257565.78135952 ,209431559.0741057 ,208387402.5664795 ,207992249.55621988 ,207146579.84311366 ,205878623.85482666 ,263593247.35992652 ,262896615.80911073 ,261898707.49216735 ,222286038.6756224 ,221634854.4214493 ,220705236.9821819 ,215326009.96163642 ,214626884.46037763 ,214486506.4214164 ,253919541.98934898 ,252963741.24526906 ,251979516.7691008 ,214573459.50716418 ,213709505.04791552 ,212465474.54313564 ,302056157.2223332 ,304809153.5023974 ,304146626.8180156 
 01/01  10:00:00,197862996.67679065 ,197227321.83817923 ,196318689.12192702 ,218939711.6350482 ,218295441.71956834 ,218431312.5056772 ,208971260.35617727 ,208326070.67869797 ,207403602.01895848 ,218220312.67920923 ,217559658.72972977 ,215924014.4632085 ,198525071.66235 ,197798441.81152204 ,196763175.62894857 ,200971622.7315315 ,200207363.0095313 ,199189321.01090962 ,194751759.50237596 ,194011489.29829803 ,192957382.0986505 ,205306792.281434 ,204511140.01129746 ,203373347.1027164 ,215156840.78610185 ,214327605.16931328 ,213287250.58660164 ,212108275.93863627 ,211284566.03132734 ,210007117.81634447 ,262253291.07089263 ,261553933.19979447 ,260552318.05071655 ,225477052.14783084 ,224823263.1520491 ,223888960.22476107 ,215215824.51537657 ,214459249.33668482 ,214202987.7545128 ,249688674.59017408 ,248782571.81299597 ,247755806.1079999 ,217734941.85121042 ,216868180.59648168 ,215631615.51208037 ,294406577.0653797 ,296802004.9578916 ,296147305.3966115 
