Date/Time,CZ01/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ01/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ01/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ02/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ02/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ02/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ03/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ03/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ03/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ04/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ04/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ04/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ05/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ05/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ05/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ06/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ06/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ06/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ07/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ07/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ07/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ08/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ08/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ08/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ09/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ09/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ09/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ10/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ10/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ10/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ11/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ11/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ11/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ12/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ12/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ12/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ13/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ13/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ13/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ14/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ14/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ14/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ15/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ15/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ15/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ16/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ16/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ16/Htl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv
 01/01  01:00:00,9238429.67915864,9238429.67915864,9238429.67915864,9463678.64731107,9465789.22616496,9564190.946661444,9238429.67915864,9238429.67915864,9238429.67915864,9450662.646418706,9452176.248543559,9379848.40063757,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,13379881.349351354,13381402.916974131,13383539.812219657,9457795.055183299,9460284.980266728,9463924.66075486,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,13219493.927850021,13607955.335709726,13610682.151280027
 01/01  02:00:00,0.0,0.0,0.0,1396005.6163799511,1399312.0890678382,1590683.2618871387,0.0,0.0,0.0,1077723.9005425184,1080672.2588208565,1171935.0325301928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5217079.477853805,5218636.840555452,5220819.477087836,403879.11662821454,406369.1079063666,410005.1162389567,0.0,0.0,0.0,282561.2434647299,266005.8135344246,268429.71040307474,0.0,0.0,0.0,7270847.750471184,8141141.234440297,8144505.278664714
 01/01  03:00:00,12626.907189310446,12962.099856474946,13483.099874016702,2170196.862337941,2173373.6885098196,2361585.22348431,0.0,0.0,0.0,1939279.1248543435,1942635.5181922114,1769332.736410942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6186228.11707357,6187816.20164918,6190037.54794359,641808.5740265369,644275.788753923,647877.9160039227,0.0,0.0,0.0,621364.1516127116,608101.5141812493,609972.2620779554,0.0,0.0,0.0,10633382.963814706,11734762.010949371,11738346.637227345
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1217710.8146019299,1217923.0246238844,1218225.053991188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4846153.622212651,5807547.15057801,5809068.867231233
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1651625.9553518905,1651785.033792455,1652011.2875598627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5669300.071848763,6751767.572163067,6753123.382544354
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240250.20975232119,240340.99789722552,240469.6466898993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155321.295863642,2901903.36778628,2902827.826936401
 01/01  07:00:00,66245854.50206301,66254709.912794024,66267210.2120997,254519798.5177546,254579412.60317007,270158953.68347406,146591992.72528198,146652126.49112374,146737849.32408386,269098063.84135205,269167236.2715291,261783765.4151418,164628047.1705292,164703975.71727395,164816173.52238956,23026609.681821335,23162174.40231891,23027081.852518786,22609329.552869145,22609329.552527864,22609329.552528,30477242.39906924,30478587.501904804,30480632.924837522,42810917.827371456,42811863.08430129,44930568.7417101,44611778.49642429,45073653.51323007,42396930.36119132,385909997.5115984,385955761.99340755,386019096.73491955,191365774.4673492,191431230.42481273,191524633.7417811,168331171.1519003,168408890.46628565,178754848.5242552,106859111.93728893,103375901.64619936,103421447.71577644,38157165.378685035,38158160.23988555,38159621.077715285,324939679.3427324,347546323.93008167,347643663.6768948
 01/01  08:00:00,41455444.945040196,41465348.36955123,41479328.46396386,189885685.02992937,189938729.7755779,202706120.55718622,127633224.99674478,127679071.07165973,127744463.38346907,208604137.01019838,208660167.5531921,202521187.89401639,111726933.5041138,111785179.80682227,111871270.29951361,31465.450234111624,50474.62299674496,31532.938587821212,0.0,0.0,0.0,5706587.374140482,5707751.588048898,5709517.940351735,15244978.843006559,15245716.681868529,16814874.30916907,14939194.23572424,15284554.789267853,13300818.354737956,327143523.0784214,327182181.62454313,327235678.74010444,148212253.31514117,148262276.61983746,148333757.36525634,109701275.50317033,109755789.94221357,117521098.65095071,62737047.50608899,60104377.43204668,60126154.18486115,11870876.836779395,11871629.383784452,11872735.019341785,246342505.36537355,265073202.71864262,265155873.8614196
 01/01  09:00:00,45257270.870414026,45271374.818671145,45291285.9648959,91062532.27335241,91092926.79919292,98372461.95484433,123771491.05158833,123819766.50782484,123888366.74342367,182343843.63513914,182395174.87560704,176876837.99475086,98922493.76179805,98973647.77302685,99049361.71728173,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,3116603.70851769,3117474.3908036775,3118805.259361784,8748690.932883719,8749282.755758788,9964909.999282915,9399893.30024249,9678518.568826728,8111142.422769059,296032527.645228,296068969.17408895,296119339.37928265,95422664.4020872,95451542.0961686,95493278.2616443,79463166.79967839,79494068.54844749,84219142.13281515,51540721.751453266,49334274.72273958,49346811.04560884,6493302.013498673,6493836.435673585,6494623.54217489,174295079.54172778,185307384.78054142,185361140.0649479
 01/01  10:00:00,35331290.49215364,35336302.86330966,35343391.468444996,78424256.10043812,78449552.3540247,84546660.86471476,123762650.6545549,123805719.51851998,123867105.02615057,138479953.46999893,138526308.8035786,133696498.57765861,88492032.21924755,88536062.8673172,88601261.29392833,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,10339203.309403328,10339638.228989325,10340300.47827503,14998730.121334337,14999136.047239719,15838691.757668775,16439900.088237628,16640900.650589567,15554311.66180435,298554410.67265224,298591318.0049172,298642303.1304117,104199924.29628317,104226264.38511282,104264107.4136504,91925159.81666653,91956404.97052053,97180339.69716616,54880732.725114994,52889774.216672964,52901431.19003335,13813870.119064908,13814271.746151904,13814869.142641753,143455130.67731318,151557963.11724937,151599373.21614674
