Date/Time,CZ01/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ01/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ01/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ02/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ02/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ02/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ03/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ03/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ03/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ04/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ04/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ04/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ05/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ05/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ05/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ06/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ06/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ06/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ07/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ07/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ07/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ08/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ08/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ08/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ09/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ09/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ09/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ10/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ10/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ10/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ11/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ11/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ11/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ12/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ12/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ12/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ13/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ13/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ13/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ14/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ14/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ14/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ15/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ15/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ15/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ16/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ16/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ16/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv
 01/01  01:00:00,30952551.097283207 ,30952551.097283207 ,30952551.097283207 ,31287740.657649998 ,31287740.657649998 ,31287740.657649998 ,31199315.574266374 ,31198862.67491815 ,31198238.83344106 ,31383281.358882383 ,31383281.358882383 ,31383281.358882383 ,31306610.734847315 ,31306024.48531282 ,31305213.03212786 ,32657296.239177957 ,32655169.235973686 ,32649958.866949268 ,32585477.875431575 ,32583801.28871208 ,32581391.76202972 ,31963390.515723843 ,31962533.143915195 ,31961313.989965077 ,31981714.43211764 ,31978114.296159822 ,32160903.454242826 ,31906033.891880725 ,31937097.1028635 ,31935557.56049982 ,35927188.12295896 ,35927188.12295896 ,35927188.12295896 ,31389007.68616221 ,31389007.68616221 ,31389007.68616221 ,31662583.78876546 ,31662443.34242963 ,31662159.637144484 ,36140276.378525585 ,36140276.378525585 ,36140276.378525585 ,32471363.018255968 ,32470456.325157896 ,32469159.03727319 ,36216546.26316085 ,36216546.26316085 ,36216546.26316085 
 01/01  02:00:00,30512123.041735653 ,30512123.041735653 ,30512123.041735653 ,30847312.602102444 ,30847312.602102444 ,30847312.602102444 ,30742696.59448273 ,30742696.59448273 ,30742696.59448273 ,30942853.30333483 ,30942853.30333483 ,30942853.30333483 ,30770948.41681067 ,30770948.41681067 ,30770948.41681067 ,31782226.21661805 ,31781152.828630306 ,31779606.072099198 ,31720847.87971623 ,31719780.290259786 ,31718249.56981335 ,31364095.703914504 ,31363298.855168477 ,31362166.628329292 ,31264584.00436166 ,31263881.26971255 ,31341259.1833777 ,31236650.079671815 ,31243615.538670834 ,31242659.270689502 ,35486760.0674114 ,35486760.0674114 ,35486760.0674114 ,30948579.63061466 ,30948579.63061466 ,30948579.63061466 ,31208140.072724126 ,31208140.072724126 ,31208140.072724126 ,35699848.322978035 ,35699848.322978035 ,35699848.322978035 ,31964724.496435083 ,31964338.88278982 ,31963064.30140052 ,35776118.20761329 ,35776118.20761329 ,35776118.20761329 
 01/01  03:00:00,30512123.041735653 ,30512123.041735653 ,30512123.041735653 ,30847312.602102444 ,30847312.602102444 ,30847312.602102444 ,30742696.59448273 ,30742696.59448273 ,30742696.59448273 ,30942853.30333483 ,30942853.30333483 ,30942853.30333483 ,30770948.41681067 ,30770948.41681067 ,30770948.41681067 ,31508931.359138787 ,31507938.887504168 ,31506508.887706198 ,31509952.635281328 ,31508915.67052528 ,31507424.513703037 ,31208901.92887129 ,31208172.714039207 ,31207137.639985275 ,31139753.887127563 ,31139249.40615673 ,31158158.400811814 ,31145081.04821938 ,31151348.57502587 ,31150485.488767557 ,35486760.0674114 ,35486760.0674114 ,35486760.0674114 ,30948579.63061466 ,30948579.63061466 ,30948579.63061466 ,31208140.072724126 ,31208140.072724126 ,31208140.072724126 ,35699848.322978035 ,35699848.322978035 ,35699848.322978035 ,31741067.604235407 ,31740305.063140854 ,31739214.051772505 ,35776118.20761329 ,35776118.20761329 ,35776118.20761329 
 01/01  04:00:00,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28291549.57588786 ,28291360.983471535 ,28291095.245612178 ,28219976.487175293 ,28219766.24279901 ,28219463.842689287 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,32515059.472043484 ,32515059.472043484 ,32515059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,28195059.472043484 ,32515059.472043484 ,32515059.472043484 ,32515059.472043484 ,29635059.472043484 ,29635059.472043484 ,29635059.472043484 ,32515059.472043484 ,32515059.472043484 ,32515059.472043484 
 01/01  05:00:00,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28248551.198367447 ,28248362.355159584 ,28248095.647591062 ,28210274.04766202 ,28209986.908131316 ,28206988.830030587 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,31075059.47204348 ,31075059.47204348 ,31075059.47204348 ,29635059.47204348 ,29635059.47204348 ,29635059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,28195059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 ,32515059.47204348 
 01/01  06:00:00,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59996094.52238426 ,59995219.78569525 ,59993969.25955154 ,60027296.66823099 ,60027539.72919766 ,60023949.25064004 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,64054126.3717243 ,64054126.3717243 ,64162601.92635319 ,64054126.3717243 ,64066929.19290097 ,64068583.127980515 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,59734126.3717243 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 ,64070692.46423055 ,64070590.82303432 ,64070452.883180276 ,64054126.3717243 ,64054126.3717243 ,64054126.3717243 
 01/01  07:00:00,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,84815456.8728177 ,84815529.28947058 ,84815628.77135904 ,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,84903619.40865083 ,84903730.08427377 ,84903885.33398505 ,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,85239043.90868784 ,85237488.69432867 ,85235275.68648808 ,85364434.88665494 ,85362712.71348828 ,85360244.54102679 ,84846791.49876027 ,84846622.63411511 ,84846385.68737176 ,89069962.12751861 ,89069828.21419306 ,89192596.47884168 ,89164527.51748043 ,89222910.55729851 ,89222572.4694365 ,90325090.12381014 ,90325654.70005372 ,90326476.08499263 ,84842737.35230565 ,84842831.53837475 ,84842966.53181982 ,84709710.71312758 ,84709710.71312758 ,84709710.71312758 ,89059240.41741915 ,89059247.8654506 ,89059258.63868716 ,89127435.16032219 ,89127264.44435476 ,89127029.84354705 ,90462721.23087992 ,90463123.99753816 ,90463704.79170604 
 01/01  08:00:00,196547538.63002408 ,195964381.48706564 ,195130987.8062541 ,207646800.08554283 ,207031841.59510106 ,206153237.72444633 ,190279363.38331994 ,189672426.33842716 ,188808820.87979007 ,209019132.73419237 ,208371771.4390406 ,207445772.1386916 ,197401283.69399446 ,196788047.25663143 ,195942628.90445578 ,186904596.6938598 ,186234620.20311797 ,185276014.65676856 ,182851114.04533118 ,182177398.34995535 ,181212284.93781587 ,192284201.36489582 ,191586674.2710751 ,190589443.50019607 ,210274640.9709894 ,209559318.91199648 ,208368539.56744778 ,204486874.17112395 ,203721029.6020112 ,202685241.52876768 ,240205637.2597157 ,239624287.654811 ,238793302.83787587 ,206994056.30953327 ,206351463.81665444 ,205430884.64025968 ,200887655.9429454 ,200206496.91291666 ,199232608.17836308 ,255662245.63313708 ,255033808.90515342 ,254135869.11777747 ,214242032.06628552 ,213459347.55750936 ,212340233.97149667 ,286255136.8878737 ,285843865.02583075 ,285254827.6282334 
 01/01  09:00:00,194643442.65816435 ,194058456.15641308 ,193222165.68329614 ,203681448.7775288 ,203063320.73151577 ,202148718.9159543 ,189036330.6467642 ,188431183.153113 ,187565477.52242634 ,202608367.68258595 ,201954463.52655 ,201019360.7088026 ,188259398.1814857 ,187623192.7321976 ,186721263.44120374 ,184992814.33865097 ,184316721.287036 ,183350509.81965303 ,179475034.22538662 ,178808234.02103907 ,177837209.85789785 ,187962228.44079092 ,187259600.37691823 ,186255962.52891105 ,198094057.17689517 ,197374766.88041174 ,196491339.62353024 ,196858931.88926223 ,196180178.56413633 ,195145924.3580175 ,234820046.7077695 ,234230302.34077471 ,233387014.14540306 ,206216176.65501195 ,205570263.07898697 ,204645583.09904563 ,200051188.23917738 ,199369290.70215863 ,198393350.72212332 ,243814433.47988746 ,243167319.12867603 ,242242689.0102957 ,204866496.59678313 ,204081552.16682643 ,202959344.73775417 ,277805081.16764075 ,277396758.5193075 ,276811600.4381169 
 01/01  10:00:00,190789267.41181287 ,190175236.59768212 ,189307581.01645336 ,203467264.34964192 ,202848388.2749812 ,201964745.0943016 ,189343005.15374643 ,188736358.67402115 ,187868680.94703543 ,198762497.97625202 ,198106364.25395927 ,197168212.81821698 ,182971963.07463226 ,182297226.7394884 ,181332823.5760711 ,186183435.41918546 ,185503807.02824202 ,184532507.5602633 ,182328736.08247358 ,181644446.07606688 ,180668654.64414096 ,187131257.7793123 ,186425759.57253203 ,185417317.43749872 ,196138245.3633362 ,195415720.5626526 ,194723134.92192578 ,195397449.1857963 ,194798022.1067834 ,193758207.55272797 ,234458669.85777554 ,233866174.44921562 ,233019077.55981106 ,207956838.4209151 ,207293825.5304865 ,206353601.73152912 ,200023198.6701445 ,199338694.20893374 ,198359159.31004578 ,238789842.5644325 ,238131642.77713737 ,237191186.0641464 ,202687722.20915356 ,201898976.1183602 ,200771401.90467146 ,274341983.5234028 ,273942428.75797534 ,273369839.6212765 
