Date/Time,CZ01/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ01/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ01/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ02/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ02/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ02/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ03/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ03/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ03/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ04/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ04/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ04/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ05/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ05/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ05/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ06/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ06/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ06/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ07/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ07/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ07/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ08/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ08/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ08/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ09/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ09/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ09/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ10/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ10/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ10/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ11/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ11/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ11/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ12/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ12/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ12/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ13/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ13/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ13/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ14/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ14/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ14/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ15/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ15/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ15/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv,CZ16/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-var.csv,CZ16/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-var.csv,CZ16/Htl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-var.csv
 01/01  01:00:00,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9238429.67915864,9483820.956248868,9486202.920741837,9489579.146138476
 01/01  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76631.62305616886,78796.97989892469,81907.47124890528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485015.0862652548,1488374.7945281053,1493214.1709864007
 01/01  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604185.7461727536,606687.6661051881,610488.4513048626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2249979.656594677,2253438.0370343034,2258448.263551332
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,22609499.609900773,22609499.609904427,22609499.609804593,29736193.191384207,29741083.95246699,29747808.340445213,22609345.60156714,22609345.601564042,22609345.601565726,35411698.39509899,35419052.806265526,35429369.41114966,22609364.758773234,22609364.758773234,22609364.758773234,22609336.115310047,22609336.115348868,22609336.11534837,22609354.62949371,22609354.629462,22609354.629312288,22609333.444736227,22609333.444736227,22609333.444805115,22609331.19695852,22609331.195969455,22609346.34987384,22609336.72585367,22609339.237241738,22609339.23736738,106908128.39490332,106945804.24081281,107000608.30970043,31556001.682633936,31562295.8511205,31571316.86945478,22609361.710121583,22609361.710085243,22609361.710085243,24376779.50192592,24377225.276353445,24377870.06939595,22609269.09848024,22609269.098479208,22609269.09844616,101120694.69405311,101144700.00418179,101179301.98981072
 01/01  08:00:00,0.0,0.0,0.0,7061989.9067528015,7065912.272444482,7071314.4805894,0.0,0.0,0.0,14020799.766824659,14026690.161349244,14034952.176230365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77451494.13160834,77481477.44675918,77525094.8214941,8840838.45239909,8845884.465528043,8853116.802121334,0.0,0.0,0.0,816887.843201695,817225.9314378941,817715.2242028511,0.0,0.0,0.0,69982697.71495841,70003020.55997585,70032309.3818721
 01/01  09:00:00,651013.6543128537,651013.6543128537,651013.6543128537,4056668.6903124535,4059394.9458541702,4063260.483315206,651013.6543128537,651013.6543128537,651013.6543128537,12260586.337449899,12266070.591279792,12273762.19476881,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,651013.6543128537,70409130.6526297,70437435.91719097,70478611.82341722,7252295.914326013,7256095.682830889,7261531.859919125,651013.6543128537,651013.6543128537,651013.6543128537,764127.2718646978,764396.755291723,764786.3560042391,651013.6543128537,651013.6543128537,651013.6543128537,58742350.071854144,58758929.48093421,58782834.11352054
 01/01  10:00:00,9889443.333471492,9889443.333471492,9889443.333471492,13608300.406011563,13610893.507277464,13614569.420554597,9889443.333471492,9889443.333471492,9889443.333471492,16654554.839206107,16658703.082277546,16664526.643804219,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,9889443.333471492,83077478.95490226,83104587.74546845,83144023.07638384,16944615.141489603,16948106.70104247,16953069.65374984,9889443.333471492,9889443.333471492,9889443.333471492,10427774.234684259,10428587.316441584,10429775.508711578,9889443.333471492,9889443.333471492,9889443.333471492,55803158.89688939,55819327.294456854,55842618.716968566
 01/01  11:00:00,39635502.50745546,39635502.50744934,39635502.507411376,24998719.763815656,25001862.613874063,25006237.863912363,16954680.249641977,16954680.249641977,16954680.249641977,25981820.053800315,25986869.855787948,25993949.105302706,16954680.249641977,16954680.249641977,16954680.249641977,16954680.249641977,16954680.249641977,16954680.249641977,16954680.249641977,16954680.249641977,16954680.249641977,16954680.249641977,16954680.249641977,16954680.249641977,16954680.249641977,16954680.249641977,16954680.249641977,16954680.249641977,16954680.249641977,16954680.249641977,102319657.29511556,102383851.21473685,102488706.42930572,26372928.346594654,26376360.17397558,26381265.982275415,16954680.249641977,16954680.249641977,16954680.249641977,18193031.056861635,18193943.966374177,18195279.53607406,16954680.249641977,16954680.249641977,16954680.249641977,98848223.72385553,98865533.29109773,98890437.0172213
 01/01  12:00:00,16954680.249641977,16954680.249641977,16954680.249641977,48620827.99857969,48624212.91922546,48628897.81089164,39672577.09283164,39672577.0928331,39672577.09283221,49192383.79920556,49197097.062824175,49203705.235197544,39672090.89209837,39672090.86901292,39672090.89209837,39664907.803533554,39664907.803547665,39664907.80355103,39664786.82517193,39664786.90777828,39664786.907707825,39664106.47330207,39664106.47330207,39664106.47332463,39664959.003426895,39664963.89370477,39667281.11137991,39665319.06519766,39665320.53564057,39665320.53569652,121872185.31649464,121936232.40490927,122048519.41664338,48591700.01682851,48595031.381868005,48599796.70799546,39671599.97126044,39671599.97147977,39671599.97147977,40014664.51272657,40014942.926272996,40015345.520139545,39665770.97981252,39665770.97935562,39665770.9827556,84082804.2745536,84099976.06638478,84124687.6651258
 01/01  13:00:00,17605693.90395483,17605693.90395483,17605693.90395483,26085101.03896182,26088454.286496684,26093099.290431138,17605693.90395483,17605693.90395483,17605693.90395483,28523051.00563843,28527722.057821725,28534270.326805297,17605693.90395483,17605693.90395483,17605693.90395483,17605693.90395483,17605693.90395483,17605693.90395483,17605693.90395483,17605693.90395483,17605693.90395483,17605693.90395483,17605693.90395483,17605693.90395483,17605693.90395483,17605693.90395483,17605693.90395483,17605693.90395483,17605693.90395483,17605693.90395483,91644558.73902595,91675006.72056367,91719315.42520264,25667558.534586255,25671619.402829908,25677436.842607696,17605693.90395483,17605693.90395483,17605693.90395483,17814483.601576753,17814749.873462386,17815134.89106853,17605693.90395483,17605693.90395483,17605693.90395483,90351861.05088077,90391159.032441,90462412.34010103
 01/01  14:00:00,41859807.38700548,41859807.387035325,41859807.38696832,49863837.1962263,49867129.71786299,49871695.532609716,41852821.69650364,41852821.696505204,41852821.69650425,53869609.98993159,53874318.28640089,53880918.06117529,41852683.220864445,41852683.2200896,41852683.220864445,19233228.039736968,19233228.039736968,19233228.039736968,19233228.039736968,19233228.039736968,19233228.039736968,19233228.039736968,19233228.039736968,19233228.039736968,19233228.039736968,19233228.039736968,19233228.039736968,19233228.039736968,19233228.039736968,19233228.039736968,108743125.29245976,108767055.17779993,108801840.12679973,50416629.28595367,50421067.38144085,50427411.33446943,41852536.8222944,41852536.770631775,41852536.770631775,41876752.06115053,41876818.349707104,41876913.95496435,19233228.039736968,19233228.039736968,19233228.039736968,117028151.69072156,117079223.45401742,117150692.92507006
