skip,case_name,:main_cool_coil_type,:main_cool_coil_cop,:main_heat_coil_type,:main_heat_coil_cop,:main_dx_comp_speed,:main_atu_reheat_coil_type
,NE-dxAC_equip-pkgTerm-cDXGF-lte7kbtuh-EER-9.41-Std,DX-AIR,3.19,,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-cDXGF-gt7lte15kbtuh-EER-8.56-Std,DX-AIR,2.9,,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-cDXGF-gt15kbtuh-EER-7.71-Std,DX-AIR,2.62,,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-cDXGF-lte7kbtuh-EER-11.9-Std,DX-AIR,4.03,,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-cDXGF-gt7lte15kbtuh-EER-10.71-Std,DX-AIR,3.63,,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-cDXGF-gt15kbtuh-EER-9.5-Std,DX-AIR,3.22,,,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-cDXHP-lte7kbtuh-EER-9.41-Std,DX-AIR,3.15,,2.72,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-cDXHP-gt7lte15kbtuh-EER-8.56-Std,DX-AIR,2.87,,2.61,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-cDXHP-gt15kbtuh-EER-7.71-Std,DX-AIR,2.58,,2.51,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-cDXHP-lte7kbtuh-EER-11.9-Std,DX-AIR,4.03,,3.34,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-cDXHP-gt7lte15kbtuh-EER-10.71-Std,DX-AIR,3.63,,3.13,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-cDXHP-gt15kbtuh-EER-9.5-Std,DX-AIR,3.22,,2.92,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-cDXGF-lte7kbtuh-EER-9.41-Msr,DX-AIR,3.82,DX-AIR,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-cDXGF-gt7lte15kbtuh-EER-8.56-Msr,DX-AIR,3.48,DX-AIR,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-cDXGF-gt15kbtuh-EER-7.71-Msr,DX-AIR,3.14,DX-AIR,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-cDXGF-lte7kbtuh-EER-11.9-Msr,DX-AIR,4.83,DX-AIR,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-cDXGF-gt7lte15kbtuh-EER-10.71-Msr,DX-AIR,4.35,DX-AIR,,CONSTANT,RESISTANCE
,NE-dxAC_equip-pkgTerm-cDXGF-gt15kbtuh-EER-9.5-Msr,DX-AIR,3.87,DX-AIR,,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-cDXHP-lte7kbtuh-EER-9.41-Msr,DX-AIR,3.78,DX-AIR,3.26,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-cDXHP-gt7lte15kbtuh-EER-8.56-Msr,DX-AIR,3.44,DX-AIR,3.13,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-cDXHP-gt15kbtuh-EER-7.71-Msr,DX-AIR,3.1,DX-AIR,3.01,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-cDXHP-lte7kbtuh-EER-11.9-Msr,DX-AIR,4.83,DX-AIR,4.01,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-cDXHP-gt7lte15kbtuh-EER-10.71-Msr,DX-AIR,4.35,DX-AIR,3.76,CONSTANT,RESISTANCE
,NE-dxHP_equip-pkgTerm-cDXHP-gt15kbtuh-EER-9.5-Msr,DX-AIR,3.87,DX-AIR,3.5,CONSTANT,RESISTANCE
