File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cooling Capacity (W),Heating Capacity (W),Value/Program Version and Build (),Value/Weather File (),Area/Conditioned Total (m2),Electricity Intensity/HVAC (kWh/m2),Natural Gas Intensity/HVAC (kWh/m2),Electricity/Heating (kWh),Electricity/Cooling (kWh),Electricity/Interior Lighting (kWh),Electricity/Exterior Lighting (kWh),Electricity/Interior Equipment (kWh),Electricity/Exterior Equipment (kWh),Electricity/Fans (kWh),Electricity/Pumps (kWh),Electricity/Heat Rejection (kWh),Electricity/Humidification (kWh),Electricity/Heat Recovery (kWh),Electricity/Water Systems (kWh),Electricity/Refrigeration (kWh),Electricity/Generators (kWh),Natural Gas/Heating (kWh),Natural Gas/Cooling (kWh),Natural Gas/Interior Lighting (kWh),Natural Gas/Exterior Lighting (kWh),Natural Gas/Interior Equipment (kWh),Natural Gas/Exterior Equipment (kWh),Natural Gas/Fans (kWh),Natural Gas/Pumps (kWh),Natural Gas/Heat Rejection (kWh),Natural Gas/Humidification (kWh),Natural Gas/Heat Recovery (kWh),Natural Gas/Water Systems (kWh),Natural Gas/Refrigeration (kWh),Natural Gas/Generators (kWh),Electricity:Facility [J](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Hourly)
CZ01/MBT&0&cDXHP&Ex&dxHP_equip__pkgTerm/NE-dxAC_equip-pkgTerm-EER-14.28-Msr/instance-out.sql,CZ01,MBT,0,cDXHP,Ex,dxHP_equip,pkgTerm,NE-dxAC_equip-pkgTerm-EER-14.28-Msr,830867.76,2107267.51,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.15 23:19",CA_EUREKA - USA Custom-725940 WMO#=725940,18578.26,82.5,207.44,239374.11,36490.45,711184.77,0.0,1396471.03,0.0,1255843.55,1012.48,0.0,0.0,0.0,0.0,0.0,0.0,3660262.31,0.0,0.0,0.0,775546.19,0.0,0.0,0.0,0.0,0.0,0.0,193532.28,0.0,0.0,1621895939.021771,20.015
CZ01/MBT&0&cDXHP&Ex&dxHP_equip__pkgTerm/NE-dxAC_equip-pkgTerm-EER-11.9-Std/instance-out.sql,CZ01,MBT,0,cDXHP,Ex,dxHP_equip,pkgTerm,NE-dxAC_equip-pkgTerm-EER-11.9-Std,830867.76,2107267.51,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.15 23:19",CA_EUREKA - USA Custom-725940 WMO#=725940,18578.26,82.54,207.44,239374.11,37269.86,711184.77,0.0,1396471.03,0.0,1255843.55,1012.48,0.0,0.0,0.0,0.0,0.0,0.0,3660262.31,0.0,0.0,0.0,775546.19,0.0,0.0,0.0,0.0,0.0,0.0,193532.28,0.0,0.0,1634429239.334024,20.015
CZ01/MBT&0&cDXHP&Ex&dxHP_equip__pkgTerm/NE-dxAC_equip-pkgTerm-EER-7.71-Std/instance-out.sql,CZ01,MBT,0,cDXHP,Ex,dxHP_equip,pkgTerm,NE-dxAC_equip-pkgTerm-EER-7.71-Std,830867.76,2107267.51,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.15 23:19",CA_EUREKA - USA Custom-725940 WMO#=725940,18578.26,82.68,207.44,239374.11,39802.33,711184.77,0.0,1396471.03,0.0,1255843.55,1012.48,0.0,0.0,0.0,0.0,0.0,0.0,3660262.31,0.0,0.0,0.0,775546.19,0.0,0.0,0.0,0.0,0.0,0.0,193532.28,0.0,0.0,1675152299.9812262,20.015
CZ01/MBT&0&cDXHP&Ex&dxHP_equip__pkgTerm/NE-dxAC_equip-pkgTerm-EER-11.40-Msr/instance-out.sql,CZ01,MBT,0,cDXHP,Ex,dxHP_equip,pkgTerm,NE-dxAC_equip-pkgTerm-EER-11.40-Msr,830867.76,2107267.51,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.15 23:19",CA_EUREKA - USA Custom-725940 WMO#=725940,18578.26,82.55,207.44,239374.11,37464.42,711184.77,0.0,1396471.03,0.0,1255843.55,1012.48,0.0,0.0,0.0,0.0,0.0,0.0,3660262.31,0.0,0.0,0.0,775546.19,0.0,0.0,0.0,0.0,0.0,0.0,193532.28,0.0,0.0,1637557706.543749,20.015
CZ01/MBT&0&cDXHP&Ex&dxHP_equip__pkgTerm/NE-dxAC_equip-pkgTerm-EER-11.29-Msr/instance-out.sql,CZ01,MBT,0,cDXHP,Ex,dxHP_equip,pkgTerm,NE-dxAC_equip-pkgTerm-EER-11.29-Msr,830867.76,2107267.51,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.15 23:19",CA_EUREKA - USA Custom-725940 WMO#=725940,18578.26,82.56,207.44,239374.11,37528.56,711184.77,0.0,1396471.03,0.0,1255843.55,1012.48,0.0,0.0,0.0,0.0,0.0,0.0,3660262.31,0.0,0.0,0.0,775546.19,0.0,0.0,0.0,0.0,0.0,0.0,193532.28,0.0,0.0,1638589097.484128,20.015
CZ01/MBT&0&cDXHP&Ex&dxHP_equip__pkgTerm/NE-dxAC_equip-pkgTerm-EER-12.84-Msr/instance-out.sql,CZ01,MBT,0,cDXHP,Ex,dxHP_equip,pkgTerm,NE-dxAC_equip-pkgTerm-EER-12.84-Msr,830867.76,2107267.51,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.15 23:19",CA_EUREKA - USA Custom-725940 WMO#=725940,18578.26,82.52,207.44,239374.11,36923.7,711184.77,0.0,1396471.03,0.0,1255843.55,1012.48,0.0,0.0,0.0,0.0,0.0,0.0,3660262.31,0.0,0.0,0.0,775546.19,0.0,0.0,0.0,0.0,0.0,0.0,193532.28,0.0,0.0,1628862725.264306,20.015
CZ01/MBT&0&cDXHP&Ex&dxHP_equip__pkgTerm/NE-dxAC_equip-pkgTerm-EER-10.27-Msr/instance-out.sql,CZ01,MBT,0,cDXHP,Ex,dxHP_equip,pkgTerm,NE-dxAC_equip-pkgTerm-EER-10.27-Msr,830867.76,2107267.51,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.15 23:19",CA_EUREKA - USA Custom-725940 WMO#=725940,18578.26,82.58,207.44,239374.11,38013.58,711184.77,0.0,1396471.03,0.0,1255843.55,1012.48,0.0,0.0,0.0,0.0,0.0,0.0,3660262.31,0.0,0.0,0.0,775546.19,0.0,0.0,0.0,0.0,0.0,0.0,193532.28,0.0,0.0,1646388546.9056833,20.015
CZ01/MBT&0&cDXHP&Ex&dxHP_equip__pkgTerm/NE-dxAC_equip-pkgTerm-EER-10.70-Std/instance-out.sql,CZ01,MBT,0,cDXHP,Ex,dxHP_equip,pkgTerm,NE-dxAC_equip-pkgTerm-EER-10.70-Std,830867.76,2107267.51,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.15 23:19",CA_EUREKA - USA Custom-725940 WMO#=725940,18578.26,82.57,207.44,239374.11,37788.4,711184.77,0.0,1396471.03,0.0,1255843.55,1012.48,0.0,0.0,0.0,0.0,0.0,0.0,3660262.31,0.0,0.0,0.0,775546.19,0.0,0.0,0.0,0.0,0.0,0.0,193532.28,0.0,0.0,1642767509.376473,20.015
CZ01/MBT&0&cDXHP&Ex&dxHP_equip__pkgTerm/NE-dxHP_equip-pkgTerm-EER-10.15-Msr/instance-out.sql,CZ01,MBT,0,cDXHP,Ex,dxHP_equip,pkgTerm,NE-dxHP_equip-pkgTerm-EER-10.15-Msr,830867.76,2030613.21,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.15 23:19",CA_EUREKA - USA Custom-725940 WMO#=725940,18578.26,82.6,207.4,239653.97,38061.78,711184.77,0.0,1396471.03,0.0,1255843.55,1012.48,0.0,0.0,0.0,0.0,0.0,0.0,3659618.22,0.0,0.0,0.0,775546.19,0.0,0.0,0.0,0.0,0.0,0.0,193532.28,0.0,0.0,1647407490.0243778,20.015
CZ01/MBT&0&cDXHP&Ex&dxHP_equip__pkgTerm/NE-dxHP_equip-pkgTerm-EER-11.17-Msr/instance-out.sql,CZ01,MBT,0,cDXHP,Ex,dxHP_equip,pkgTerm,NE-dxHP_equip-pkgTerm-EER-11.17-Msr,830867.76,2030613.21,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.15 23:19",CA_EUREKA - USA Custom-725940 WMO#=725940,18578.26,82.57,207.4,239643.74,37565.92,711184.77,0.0,1396471.03,0.0,1255843.55,1012.48,0.0,0.0,0.0,0.0,0.0,0.0,3659618.22,0.0,0.0,0.0,775546.19,0.0,0.0,0.0,0.0,0.0,0.0,193532.28,0.0,0.0,1639433855.7781625,20.015
