skip,case_name,:main_heat_coil_type,:main_heat_coil_eff,:main_heat_coil_cop,:main_cool_coil_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_atu_reheat_coil_type,:kitch_heat_coil_type,:kitch_cool_coil_type
,NE-dxAC_equip-pkgEER-135-239 kBtu,COMBUSTION,0.81,,DX-AIR,3.88,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,NE-dxAC_equip-pkgEER-240-760 kBtu,COMBUSTION,0.81,,DX-AIR,3.77,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,NE-dxAC_equip-pkgEER-65-134 kBtu,COMBUSTION,0.81,,DX-AIR,3.87,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,NE-dxAC_equip-pkgSEER-65 kBtu,COMBUSTION,0.81,,DX-AIR,3.53,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,NE-dxHP_equip-pkgEER-135-239 kBtu-14.5-IEER,DX-AIR,,3.85,DX-AIR,4.13,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgEER-135-239 kBtu-15.5-IEER,DX-AIR,,3.99,DX-AIR,4.29,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgEER-240-760 kBtu-13.5-IEER,DX-AIR,,3.41,DX-AIR,4.24,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgEER-240-760 kBtu-14-IEER,DX-AIR,,3.56,DX-AIR,4.36,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgEER-65-134 kBtu-15-IEER,DX-AIR,,3.94,DX-AIR,4.21,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgEER-65-134 kBtu-16-IEER,DX-AIR,,4.11,DX-AIR,4.44,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgSEER-65 kBtu-15.4-SEER2,DX-AIR,,3.93,DX-AIR,4.04,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgSEER-65 kBtu-16.3-SEER2,DX-AIR,,4.02,DX-AIR,4.17,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgSEER-65 kBtu-14.4-SEER2-1Stage,DX-AIR,,3.86,DX-AIR,3.89,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgSEER-65 kBtu-14.4-SEER2-2Stage,DX-AIR,,3.86,DX-AIR,3.89,DUAL-EQUAL,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-spltSEER-65 kBtu-14.4-SEER2-8.7-HSPF,DX-AIR,,3.97,DX-AIR,3.89,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-spltSEER-65 kBtu-15.4-SEER2-9-HSPF,DX-AIR,,4.02,DX-AIR,4.04,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-spltSEER-65 kBtu-16.3-SEER2-9.4-HSPF,DX-AIR,,4.09,DX-AIR,4.17,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-spltSEER-65 kBtu-17.3-SEER2-9.7-HSPF,DX-AIR,,4.13,DX-AIR,4.29,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
