skip,case_name,:main_heat_coil_type,:main_heat_coil_eff,:main_heat_coil_cop,:main_cool_coil_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_atu_reheat_coil_type,:kitch_heat_coil_type,:kitch_cool_coil_type
,NE-dxAC_equip-pkgEER-14.2-IEER-TE-0.81,COMBUSTION,0.81,,DX-AIR,3.9,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,NE-dxAC_equip-pkgEER-13.2-IEER-TE-0.81,COMBUSTION,0.81,,DX-AIR,3.7,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,NE-dxAC_equip-pkgEER-14.8-IEER-TE-0.81,COMBUSTION,0.81,,DX-AIR,4.1,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,NE-dxAC_equip-pkgSEER-13.4-SEER2,COMBUSTION,0.81,,DX-AIR,3.8,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,NE-dxAC_equip-pkgEER-12.2-IEER-TE-0.80,COMBUSTION,0.8,,DX-AIR,3.6,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,NE-dxAC_equip-pkgEER-11.4-IEER-TE-0.80,COMBUSTION,0.8,,DX-AIR,3.4,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,NE-dxAC_equip-pkgEER-12.7-IEER-TE-0.80,COMBUSTION,0.8,,DX-AIR,3.6,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,NE-dxAC_equip-pkgSEER-12.35-SEER2,COMBUSTION,0.8,,DX-AIR,3.65,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,NE-dxHP_equip-pkgEER-14.5-IEER,DX-AIR,,3.2,DX-AIR,4.13,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgEER-15.5-IEER,DX-AIR,,3.2,DX-AIR,4.29,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgEER-13.5-IEER,DX-AIR,,3.2,DX-AIR,4.24,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgEER-14-IEER,DX-AIR,,3.2,DX-AIR,4.36,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgEER-15-IEER,DX-AIR,,3.4,DX-AIR,4.21,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgEER-16-IEER,DX-AIR,,3.4,DX-AIR,4.44,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgSEER-15.4-SEER2,DX-AIR,,3.93,DX-AIR,4.04,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgSEER-16.3-SEER2,DX-AIR,,4.02,DX-AIR,4.17,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgSEER-14.4-SEER2-1Stage,DX-AIR,,3.86,DX-AIR,3.89,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-pkgSEER-14.4-SEER2-2Stage,DX-AIR,,3.86,DX-AIR,3.89,DUAL-EQUAL,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-spltSEER-14.4-SEER2-8.7-HSPF,DX-AIR,,3.97,DX-AIR,3.89,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-spltSEER-15.4-SEER2-9-HSPF,DX-AIR,,4.02,DX-AIR,4.04,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-spltSEER-16.3-SEER2-9.4-HSPF,DX-AIR,,4.09,DX-AIR,4.17,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,NE-dxHP_equip-spltSEER-17.3-SEER2-9.7-HSPF,DX-AIR,,4.13,DX-AIR,4.29,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
