skip,case_name,sizing_case,:heat_sizing_factor,:cool_sizing_factor,:hvac_config,:main_hvac_type,:main_atu_reheat_coil_type,:main_atu_reheat_control,:main_fan_rise,:main_cool_coil_type,:main_heat_coil_type,:main_dx_type,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_oa_econ_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_cool_flow_min_frac,:main_unitary_no_load_flow_method,:main_fan_speed,:main_fan_motor_eff,:main_heat_coil_cop,:main_heat_coil_eff,:main_heat_flow_frac,:chw_chiller_cop,:chw_chiller_model,:chw_pump_type,:hw_boiler_eff
,NE-dxAC_equip-pkgEER-14.2-IEER-TE-0.81,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.91,CONSTANT,,,CONSTANT,0.87,,0.81,1,,,,
,NE-dxAC_equip-pkgEER-13.2-IEER-TE-0.81,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.74,CONSTANT,,,CONSTANT,0.87,,0.81,1,,,,
,NE-dxAC_equip-pkgEER-14.8-IEER-TE-0.81,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.07,CONSTANT,,,CONSTANT,0.87,,0.81,1,,,,
,NE-dxAC_equip-pkgSEER-13.4-SEER2,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.82,CONSTANT,,,CONSTANT,0.87,,0.81,1,,,,
,NE-dxAC_equip-pkgEER-12.2-IEER-TE-0.80,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.6,CONSTANT,,,CONSTANT,0.87,,0.8,1,,,,
,NE-dxAC_equip-pkgEER-11.4-IEER-TE-0.80,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.36,CONSTANT,,,CONSTANT,0.87,,0.8,1,,,,
,NE-dxAC_equip-pkgEER-12.7-IEER-TE-0.80,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.59,CONSTANT,,,CONSTANT,0.87,,0.8,1,,,,
,NE-dxAC_equip-pkgSEER-12.35-SEER2,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.65,CONSTANT,,,CONSTANT,0.87,,0.8,1,,,,
,NE-dxHP_equip-pkgEER-14.5-IEER,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.95,CONSTANT,,,CONSTANT,0.87,3.4,,1,,,,
,NE-dxHP_equip-pkgEER-15.5-IEER,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.11,CONSTANT,,,CONSTANT,0.87,3.4,,1,,,,
