skip,case_name,:main_heat_coil_type,:main_heat_coil_eff,:main_heat_coil_cop,:main_cool_coil_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_atu_reheat_coil_type,:kitch_heat_coil_type,:kitch_cool_coil_type
,SpltPkg-AC-GasFurnacce_135-239 kBtu,COMBUSTION,0.81,,DX-AIR,4.11,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,SpltPkg-AC-GasFurnacce_240-760 kBtu,COMBUSTION,0.81,,DX-AIR,3.81,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,SpltPkg-AC-GasFurnacce_65-134 kBtu,COMBUSTION,0.81,,DX-AIR,4.28,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,SpltPkg-AC-GasFurnacce_65 kBtu,COMBUSTION,0.81,,DX-AIR,3.28,CONSTANT,RESISTANCE,COMBUSTION,DX-AIR
,14.5IEER-rated Package Heat Pump_135-239 kBtu,DX-AIR,,3.2,DX-AIR,4.25,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,15.5IEER-rated Package Heat Pump_135-239 kBtu,DX-AIR,,3.2,DX-AIR,4.55,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,13.5IEER-rated Package Heat Pump_240-760 kBtu,DX-AIR,,3.2,DX-AIR,3.96,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,14.0IEER-rated Package Heat Pump_240-760 kBtu,DX-AIR,,3.2,DX-AIR,4.11,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,15.0IEER-rated Package Heat Pump_65-134 kBtu,DX-AIR,,3.4,DX-AIR,4.4,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,16.0IEER-rated Package Heat Pump_65-134 kBtu,DX-AIR,,3.4,DX-AIR,4.69,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,16.0SEER-rated Package Heat Pump_65 kBtu,DX-AIR,,3.46,DX-AIR,3.75,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,17.0SEER-rated Package Heat Pump_65 kBtu,DX-AIR,,3.55,DX-AIR,3.89,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,15.0SEER-rated Package Heat Pump_65 kBtu_1Stage,DX-AIR,,3.4,DX-AIR,3.61,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,15.0SEER-rated Package Heat Pump_65 kBtu_2Stage,DX-AIR,,3.4,DX-AIR,3.61,DUAL-EQUAL,RESISTANCE,DX-AIR,DX-AIR
,15.0SEER-rated Package Heat Pump_65 kBtu_HSPF8.7,DX-AIR,,3.5,DX-AIR,3.61,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,16.0SEER-rated Package Heat Pump_65 kBtu_HSPF9.0,DX-AIR,,3.55,DX-AIR,3.75,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,17.0SEER-rated Package Heat Pump_65 kBtu_HSPF9.4,DX-AIR,,3.61,DX-AIR,3.89,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
,18.0SEER-rated Package Heat Pump_65 kBtu_HSPF9.7,DX-AIR,,3.65,DX-AIR,4.01,CONSTANT,RESISTANCE,DX-AIR,DX-AIR
