Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Asm,CZ01,cDXGF,0.0,0.0,0.0,1316288784845.8,0.0,50209720018.99
Asm,CZ01,cDXHP,0.0,0.0,0.0,0.0,316803445322.24,50031828350.03
Asm,CZ01,cPTAC,0.0,0.0,0.0,0.0,0.0,43931421519.32
Asm,CZ01,cPVVG,0.0,0.0,0.0,1539429794139.65,0.0,33741881199.31
Asm,CZ02,cDXGF,0.0,0.0,0.0,932473156662.31,0.0,353437873532.17
Asm,CZ02,cDXHP,0.0,0.0,0.0,0.0,227370615677.6,355462916068.33
Asm,CZ02,cPTAC,0.0,0.0,0.0,0.0,0.0,339108487248.24
Asm,CZ02,cPVVG,0.0,0.0,0.0,1119258612154.27,0.0,313284730072.77
Asm,CZ03,cDXGF,0.0,0.0,0.0,586542708620.18,0.0,211102952300.91
Asm,CZ03,cDXHP,0.0,0.0,0.0,0.0,139394006270.43,211713975783.85
Asm,CZ03,cPTAC,0.0,0.0,0.0,0.0,0.0,205555223899.69
Asm,CZ03,cPVVG,0.0,0.0,0.0,735357956734.33,0.0,172992766410.92
Asm,CZ04,cDXGF,0.0,0.0,194477.6,750494885936.78,0.0,578503548953.14
Asm,CZ04,cDXHP,0.0,0.0,197373.9,0.0,185689940343.16,579688489014.54
Asm,CZ04,cPTAC,0.0,0.0,194308.46,0.0,0.0,564611380065.43
Asm,CZ04,cPVVG,0.0,0.0,170193.39,893010965812.24,0.0,526175421220.15
Asm,CZ05,cDXGF,0.0,0.0,0.0,570502785905.18,0.0,245837815471.1
Asm,CZ05,cDXHP,0.0,0.0,0.0,0.0,136535176469.47,247264993003.27
Asm,CZ05,cPTAC,0.0,0.0,0.0,0.0,0.0,234245314265.47
Asm,CZ05,cPVVG,0.0,0.0,0.0,714026839253.36,0.0,203250317752.63
Asm,CZ06,cDXGF,0.0,0.0,0.0,145279383298.73,0.0,412271476406.58
Asm,CZ06,cDXHP,0.0,0.0,0.0,0.0,33828543864.04,398161209979.4
Asm,CZ06,cPTAC,0.0,0.0,0.0,0.0,0.0,409599160804.96
Asm,CZ06,cPVVG,0.0,0.0,0.0,213847620224.02,0.0,348559793389.6
Asm,CZ07,cDXGF,0.0,0.0,934468.38,127217681397.09,0.0,421167779035.77
Asm,CZ07,cDXHP,0.0,0.0,0.0,0.0,29558703066.18,410160486052.98
Asm,CZ07,cPTAC,0.0,0.0,934468.38,0.0,0.0,418520664986.16
