Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
Asm,M1,cDXGF,Base,CZ01,12.469444444444443,300531822.33270305
Asm,M1,cDXGF,Measure,CZ01,12.469444444444443,300663532.79655796
Asm,M1,cDXHP,Base,CZ01,12.469444444444443,328248033.3487947
Asm,M1,cDXHP,Measure,CZ01,12.469444444444443,312441268.08507466
Asm,M1,cPTAC,Base,CZ01,12.469444444444443,300531822.33270305
Asm,M1,cPTAC,Measure,CZ01,12.469444444444443,300531829.5094349
Asm,M1,cPVVG,Base,CZ01,12.469444444444443,233952404.9863491
Asm,M1,cPVVG,Measure,CZ01,12.469444444444443,234824393.14632747
Asm,M2,cDXGF,Base,CZ01,12.469444444444443,474066039.3539701
Asm,M2,cDXGF,Measure,CZ01,12.469444444444443,466275937.17777866
Asm,M2,cDXHP,Base,CZ01,12.469444444444443,477745383.98186463
Asm,M2,cDXHP,Measure,CZ01,12.469444444444443,469487130.2580189
Asm,M2,cPTAC,Base,CZ01,12.469444444444443,474066039.3539663
Asm,M2,cPTAC,Measure,CZ01,12.469444444444443,466275937.17778486
Asm,M2,cPVVG,Base,CZ01,12.469444444444443,432459069.3009058
Asm,M2,cPVVG,Measure,CZ01,12.469444444444443,426884146.65527475
Asm,M3,cDXGF,Base,CZ01,12.469444444444443,402021857.14411175
Asm,M3,cDXGF,Measure,CZ01,12.469444444444443,402021857.14411175
Asm,M3,cDXHP,Base,CZ01,12.469444444444443,379616507.4470013
Asm,M3,cDXHP,Measure,CZ01,12.469444444444443,379616507.4470013
Asm,M3,cPTAC,Base,CZ01,12.469444444444443,402021857.1441072
Asm,M3,cPTAC,Measure,CZ01,12.469444444444443,402021857.1441072
Asm,M3,cPVVG,Base,CZ01,12.469444444444443,395850281.5636625
Asm,M3,cPVVG,Measure,CZ01,12.469444444444443,395850281.5636625
Asm,M4,cDXGF,Base,CZ01,12.469444444444443,305319477.76266474
Asm,M4,cDXGF,Measure,CZ01,12.469444444444443,308054967.80554163
Asm,M4,cDXHP,Base,CZ01,12.469444444444443,333059110.14574903
Asm,M4,cDXHP,Measure,CZ01,12.469444444444443,319877687.33899385
Asm,M4,cPTAC,Base,CZ01,12.469444444444443,303851597.2741529
Asm,M4,cPTAC,Measure,CZ01,12.469444444444443,306374561.246459
Asm,M4,cPVVG,Base,CZ01,12.469444444444443,235636004.66072634
Asm,M4,cPVVG,Measure,CZ01,12.469444444444443,238049128.24239165
Asm,M5,cDXGF,Base,CZ01,12.469444444444443,300902668.6414434
Asm,M5,cDXGF,Measure,CZ01,12.469444444444443,300902668.6414434
Asm,M5,cDXHP,Base,CZ01,12.469444444444443,309463793.7015135
Asm,M5,cDXHP,Measure,CZ01,12.469444444444443,309463793.7015135
Asm,M5,cPTAC,Base,CZ01,12.469444444444443,300902668.64145094
Asm,M5,cPTAC,Measure,CZ01,12.469444444444443,300902668.64145094
Asm,M5,cPVVG,Base,CZ01,12.469444444444443,295371326.9281785
Asm,M5,cPVVG,Measure,CZ01,12.469444444444443,295371326.9281785
ECC,M1,cDXGF,Base,CZ01,12.469444444444443,1043842351.6701039
ECC,M1,cDXGF,Measure,CZ01,12.469444444444443,812710562.6264082
ECC,M1,cDXHP,Base,CZ01,12.469444444444443,1048424502.8795687
ECC,M1,cDXHP,Measure,CZ01,12.469444444444443,812711691.8820649
ECC,M1,cPTAC,Base,CZ01,12.469444444444443,1042586407.4155843
ECC,M1,cPTAC,Measure,CZ01,12.469444444444443,812519803.1405704
ECC,M1,cPVVG,Base,CZ01,12.469444444444443,809574951.9536128
ECC,M1,cPVVG,Measure,CZ01,12.469444444444443,737419432.9653971
ECC,M2,cDXGF,Base,CZ01,12.469444444444443,1176447493.5338352
ECC,M2,cDXGF,Measure,CZ01,12.469444444444443,906507708.6308128
ECC,M2,cDXHP,Base,CZ01,12.469444444444443,1174301652.92662
