Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
ECC,CZ01,cDXGF,129063648898.93,0.0,29429818.09,791048642908.91,0.0,26091533042.78
ECC,CZ01,cDXHP,0.0,34146723188.33,28812698.39,0.0,198713442455.75,25522149177.44
ECC,CZ01,cPTAC,0.0,0.0,26598997.27,0.0,0.0,25181531225.13
ECC,CZ01,cPVVG,162132173405.4,0.0,56035761.63,1159815787370.02,0.0,41490867734.05
ECC,CZ02,cDXGF,168125051487.08,0.0,15922403972.41,607394683988.49,0.0,556522252904.57
ECC,CZ02,cDXHP,0.0,45089897480.83,16090009782.54,0.0,157740397982.21,557501720881.93
ECC,CZ02,cPTAC,0.0,0.0,15858353769.25,0.0,0.0,552485395634.27
ECC,CZ02,cPVVG,221760344240.01,0.0,11597248698.91,892971076440.99,0.0,534539112182.1
ECC,CZ03,cDXGF,75916278504.17,0.0,1780831632.07,316010230258.59,0.0,266715795181.17
ECC,CZ03,cDXHP,0.0,19177171166.01,1801153443.32,0.0,77596146351.05,265877313329.43
ECC,CZ03,cPTAC,0.0,0.0,1779496505.76,0.0,0.0,265733038736.43
ECC,CZ03,cPVVG,104049232418.53,0.0,1396653414.84,500188083115.69,0.0,286262303265.71
ECC,CZ04,cDXGF,144709074332.82,0.0,49299993925.13,489059507602.2,0.0,929990783452.66
ECC,CZ04,cDXHP,0.0,39885580391.73,49808799205.14,0.0,130975807604.52,939214608808.51
ECC,CZ04,cPTAC,0.0,0.0,49143218501.58,0.0,0.0,924942962250.45
ECC,CZ04,cPVVG,197935638777.72,0.0,39534809944.42,729807470555.35,0.0,891085774213.57
ECC,CZ05,cDXGF,50953751730.55,0.0,4018502160.53,283480143182.74,0.0,361806367323.47
ECC,CZ05,cDXHP,0.0,13012912169.41,4092075180.69,0.0,70765435159.18,361661058975.15
ECC,CZ05,cPTAC,0.0,0.0,3975242221.13,0.0,0.0,358527860348.32
ECC,CZ05,cPVVG,73145804471.18,0.0,3345888436.15,465585970120.67,0.0,364867265487.49
ECC,CZ06,cDXGF,1408485700.42,0.0,10987317271.97,52687530522.0,0.0,681848859329.04
ECC,CZ06,cDXHP,0.0,347292851.99,11132926373.9,0.0,12550744871.81,665636065884.64
ECC,CZ06,cPTAC,0.0,0.0,10968365026.34,0.0,0.0,681378079617.49
ECC,CZ06,cPVVG,2068186379.64,0.0,8220122374.43,105723951423.77,0.0,684978058545.75
ECC,CZ07,cDXGF,0.0,0.0,13102331013.93,50444311135.28,0.0,732776887367.99
ECC,CZ07,cDXHP,0.0,0.0,13236384303.64,0.0,12042676533.64,718576669442.21
ECC,CZ07,cPTAC,0.0,0.0,13095640068.72,0.0,0.0,732298116145.46
ECC,CZ07,cPVVG,0.0,0.0,9289946195.19,101127714782.79,0.0,709609443576.72
ECC,CZ08,cDXGF,2551420713.74,0.0,40901255592.94,70963976996.33,0.0,1135713391516.43
ECC,CZ08,cDXHP,0.0,635805578.72,41099613291.71,0.0,17365601649.45,1131923198175.43
ECC,CZ08,cPTAC,0.0,0.0,40850557147.0,0.0,0.0,1134472733548.29
ECC,CZ08,cPVVG,3854830008.71,0.0,30335356709.1,132085449773.12,0.0,1086639502241.94
ECC,CZ09,cDXGF,16691214116.7,0.0,53293402438.62,111457957681.76,0.0,1133308907769.01
ECC,CZ09,cDXHP,0.0,4302613924.65,53437177414.34,0.0,27737906429.85,1132562019291.57
ECC,CZ09,cPTAC,0.0,0.0,53201624036.24,0.0,0.0,1131686557068.8
ECC,CZ09,cPVVG,25567296326.69,0.0,39109995621.82,198042021645.02,0.0,1075780259872.25
ECC,CZ10,cDXGF,16619740498.79,0.0,65003862878.99,142499926962.56,0.0,1264162978207.78
ECC,CZ10,cDXHP,0.0,4239481447.39,65074552731.17,0.0,35704575604.35,1264257280638.01
ECC,CZ10,cPTAC,0.0,0.0,64912909544.36,0.0,0.0,1262045777159.61
ECC,CZ10,cPVVG,27672595110.96,0.0,49687669800.55,246960117315.18,0.0,1199649377021.9
ECC,CZ11,cDXGF,199576158046.37,0.0,121216360997.29,567941983648.08,0.0,1358842789117.42
ECC,CZ11,cDXHP,0.0,55277275627.86,121966675724.8,0.0,148715045729.02,1366865076647.48
ECC,CZ11,cPTAC,0.0,0.0,121165068093.87,0.0,0.0,1355699326247.8
ECC,CZ11,cPVVG,263579955779.48,0.0,97178371826.41,840004016371.17,0.0,1288121106689.3
ECC,CZ12,cDXGF,198415359621.2,0.0,48786866578.46,548941429294.06,0.0,926262983502.53
ECC,CZ12,cDXHP,0.0,52693925512.03,49126030084.47,0.0,141616213332.42,928912907494.97
ECC,CZ12,cPTAC,0.0,0.0,48771818664.89,0.0,0.0,924452952016.87
ECC,CZ12,cPVVG,266155285458.78,0.0,38428963218.87,811132098995.07,0.0,890060805793.73
ECC,CZ13,cDXGF,180364144740.95,0.0,121830657626.21,431190567697.11,0.0,1431059759314.74
ECC,CZ13,cDXHP,0.0,47753603329.68,122342005872.7,0.0,111027173969.2,1436248899702.87
ECC,CZ13,cPTAC,0.0,0.0,121820047965.49,0.0,0.0,1430026305423.84
ECC,CZ13,cPVVG,253457368873.62,0.0,95000677914.91,664373243898.56,0.0,1360323669616.6
ECC,CZ14,cDXGF,114420399399.27,0.0,93375220654.22,379365890774.93,0.0,1338445459551.05
ECC,CZ14,cDXHP,0.0,33894787016.43,94091677424.63,0.0,105675352206.81,1352641284041.21
ECC,CZ14,cPTAC,0.0,0.0,93334545966.72,0.0,0.0,1335084891586.13
ECC,CZ14,cPVVG,155071893947.1,0.0,71478186063.54,580604909480.54,0.0,1269308089839.52
ECC,CZ15,cDXGF,6863814659.44,0.0,335728084059.77,37900648724.29,0.0,2567893753298.48
ECC,CZ15,cDXHP,0.0,1807356036.88,335799322464.31,0.0,9567984308.57,2568338940882.16
ECC,CZ15,cPTAC,0.0,0.0,335700830857.59,0.0,0.0,2567107783422.93
ECC,CZ15,cPVVG,10760218423.5,0.0,271616193874.26,73927740631.97,0.0,2425722094903.08
ECC,CZ16,cDXGF,244912728091.15,0.0,10738818788.95,992190520109.45,0.0,437832539985.69
ECC,CZ16,cDXHP,0.0,75992796732.38,10825898388.34,0.0,296817857295.87,444318961050.4
ECC,CZ16,cPTAC,0.0,0.0,10730851733.69,0.0,0.0,435387395375.21
ECC,CZ16,cPVVG,322421481867.0,0.0,6484613293.94,1435333512242.07,0.0,419655772990.66
