Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
ERC,CZ01,cDXGF,7488626116.78,0.0,0.0,24563096143.47,0.0,447329301.1
ERC,CZ01,cDXHP,0.0,1935500418.41,0.0,0.0,6026633775.72,444453278.5
ERC,CZ01,cPTAC,0.0,0.0,0.0,0.0,0.0,397751580.67
ERC,CZ01,cPVVG,9144739258.77,0.0,0.0,30743109139.12,0.0,233568589.59
ERC,CZ02,cDXGF,5340120907.02,0.0,49672767.81,14606904716.66,0.0,4616346233.56
ERC,CZ02,cDXHP,0.0,1424461189.07,50288589.09,0.0,3735514372.99,4637567342.02
ERC,CZ02,cPTAC,0.0,0.0,49168871.23,0.0,0.0,4500826513.76
ERC,CZ02,cPVVG,6788889482.62,0.0,34683191.64,19424835043.03,0.0,3865326304.79
ERC,CZ03,cDXGF,2973637314.9,0.0,0.0,9364338360.62,0.0,2962561535.13
ERC,CZ03,cDXHP,0.0,749452236.55,0.0,0.0,2274123216.09,2944573607.09
ERC,CZ03,cPTAC,0.0,0.0,0.0,0.0,0.0,2902090607.35
ERC,CZ03,cPVVG,3894774700.03,0.0,0.0,13001292018.03,0.0,2277002207.26
ERC,CZ04,cDXGF,4530353125.76,0.0,462700377.71,11472299500.26,0.0,8057549879.12
ERC,CZ04,cDXHP,0.0,1257780256.86,469985539.73,0.0,3043240017.28,8168865425.6
ERC,CZ04,cPTAC,0.0,0.0,461988035.91,0.0,0.0,7935896257.46
ERC,CZ04,cPVVG,5943452852.76,0.0,371542745.33,15761872846.67,0.0,7063854914.38
ERC,CZ05,cDXGF,2195449282.42,0.0,0.0,8162552458.45,0.0,3242558648.73
ERC,CZ05,cDXHP,0.0,569618652.86,0.0,0.0,2017225256.01,3219115753.05
ERC,CZ05,cPTAC,0.0,0.0,0.0,0.0,0.0,3123070763.03
ERC,CZ05,cPVVG,2950732492.29,0.0,0.0,11615112040.84,0.0,2510621912.64
ERC,CZ06,cDXGF,244180399.72,0.0,5949169.71,1842090692.45,0.0,6218514022.08
ERC,CZ06,cDXHP,0.0,59907605.85,5961930.09,0.0,435215653.21,5995375888.33
ERC,CZ06,cPTAC,0.0,0.0,5948845.49,0.0,0.0,6182773364.06
ERC,CZ06,cPVVG,420876456.12,0.0,1188769.95,3271026062.04,0.0,5116926483.82
ERC,CZ07,cDXGF,15551072.5,0.0,12891587.29,1520232269.73,0.0,6222180446.34
ERC,CZ07,cDXHP,0.0,3812351.49,12943330.72,0.0,357702462.45,6043754448.3
ERC,CZ07,cPTAC,0.0,0.0,12891536.34,0.0,0.0,6187224430.69
ERC,CZ07,cPVVG,34483903.04,0.0,5054260.88,2723546300.0,0.0,5056233244.26
ERC,CZ08,cDXGF,371292308.16,0.0,266939357.31,2230933784.46,0.0,9531613167.91
ERC,CZ08,cDXHP,0.0,92245164.91,268093459.24,0.0,539699091.09,9453261691.23
ERC,CZ08,cPTAC,0.0,0.0,266908502.23,0.0,0.0,9480945081.75
