Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Epr,CZ01,cDXGF,29034842016.51,0.0,102238697839.98,29034842016.51,0.0,102238697839.98
Epr,CZ01,cDXHP,0.0,8899445695.29,118261216871.84,0.0,9181075464.43,118261216871.84
Epr,CZ01,cPTAC,0.0,0.0,94419639045.84,0.0,0.0,94419639045.84
Epr,CZ01,cPVVG,16839531890.4,0.0,5841662.66,28493702786.62,0.0,101182837624.71
Epr,CZ02,cDXGF,24990267543.68,0.0,180949057550.31,24990267543.68,0.0,181431249940.95
Epr,CZ02,cDXHP,0.0,7714460858.81,190330324971.52,0.0,7968351676.32,190330324971.52
Epr,CZ02,cPTAC,0.0,0.0,175477817912.75,0.0,0.0,175993885846.68
Epr,CZ02,cPVVG,17613356283.41,0.0,1007837659.67,24749560894.2,0.0,179813792215.33
Epr,CZ03,cDXGF,12455458170.31,0.0,164022055712.25,12455458170.31,0.0,164022055712.25
Epr,CZ03,cDXHP,0.0,3309801286.45,177816349477.35,0.0,3309801286.45,177816349477.35
Epr,CZ03,cPTAC,0.0,0.0,161492895107.83,0.0,0.0,161492895107.83
Epr,CZ03,cPVVG,8538624511.5,0.0,272760779.1,12413623333.63,0.0,162494407601.4
Epr,CZ04,cDXGF,17688004885.64,0.0,220166800287.13,17688004885.64,0.0,223250341880.92
Epr,CZ04,cDXHP,0.0,5564955623.39,228675149473.27,0.0,5724382012.26,228713294377.69
Epr,CZ04,cPTAC,0.0,0.0,216020570723.13,0.0,0.0,219143874189.87
Epr,CZ04,cPVVG,13194908594.12,0.0,3259514415.4,17587537294.5,0.0,221351407599.31
Epr,CZ05,cDXGF,7572834047.22,0.0,165596913984.24,7572834047.22,0.0,166362862293.58
Epr,CZ05,cDXHP,0.0,2084546350.99,182151323296.72,0.0,2142495963.35,182151323296.72
Epr,CZ05,cPTAC,0.0,0.0,163566953954.82,0.0,0.0,164332902104.32
Epr,CZ05,cPVVG,5095200043.37,0.0,257806150.69,7520236349.56,0.0,164793493508.14
Epr,CZ06,cDXGF,600301584.55,0.0,217142522165.69,600301584.55,0.0,219060549195.58
Epr,CZ06,cDXHP,0.0,140021635.36,234027447604.15,0.0,140021635.36,234027447604.15
Epr,CZ06,cPTAC,0.0,0.0,216727738880.28,0.0,0.0,218645765910.17
Epr,CZ06,cPVVG,34270515.28,0.0,1359528080.35,601159245.58,0.0,217112773076.07
Epr,CZ07,cDXGF,427420236.85,0.0,218973018003.64,427420236.85,0.0,219596353363.5
Epr,CZ07,cDXHP,0.0,99831485.79,232112264778.16,0.0,99831485.79,232144503032.93
Epr,CZ07,cPTAC,0.0,0.0,218610243815.6,0.0,0.0,219233579173.41
Epr,CZ07,cPVVG,0.0,0.0,1386454315.54,426562609.42,0.0,217607297231.35
Epr,CZ08,cDXGF,1133240878.04,0.0,264796533913.96,1133240878.04,0.0,266300951219.54
Epr,CZ08,cDXHP,0.0,284353307.47,272339356552.75,0.0,284353307.47,272601175647.76
Epr,CZ08,cPTAC,0.0,0.0,264016585445.5,0.0,0.0,265521002688.69
Epr,CZ08,cPVVG,200042801.49,0.0,3888036908.29,1126856279.69,0.0,264070587089.63
Epr,CZ09,cDXGF,2895610209.99,0.0,259931824962.67,2895610209.99,0.0,261335386393.3
Epr,CZ09,cDXHP,0.0,750451480.79,266249582660.18,0.0,750451480.79,266582077290.91
Epr,CZ09,cPTAC,0.0,0.0,258830645852.19,0.0,0.0,260234207282.82
Epr,CZ09,cPVVG,1492959875.76,0.0,4518844346.46,2898372406.82,0.0,259115261230.43
Epr,CZ10,cDXGF,2018310192.63,0.0,267472777822.33,2018310192.63,0.0,268810453069.01
Epr,CZ10,cDXHP,0.0,525338233.65,270372882104.79,0.0,525338233.65,271259562526.06
Epr,CZ10,cPTAC,0.0,0.0,266488414089.51,0.0,0.0,267826089161.23
Epr,CZ10,cPVVG,1048832712.23,0.0,3882528307.74,2021388345.24,0.0,266565559668.31
Epr,CZ11,cDXGF,27389870910.4,0.0,261349749743.11,27389870910.4,0.0,263645349835.93
Epr,CZ11,cDXHP,0.0,8317228959.73,266616776391.35,0.0,8317228959.73,266918773557.27
Epr,CZ11,cPTAC,0.0,0.0,256599906119.66,0.0,0.0,258895506212.48
Epr,CZ11,cPVVG,20746504752.37,0.0,9536668045.24,27347563360.5,0.0,261466846016.35
Epr,CZ12,cDXGF,27770992908.91,0.0,226858608177.12,27770992908.91,0.0,227496138900.42
Epr,CZ12,cDXHP,0.0,7971682511.33,233332334660.09,0.0,8035092094.77,233382484127.01
Epr,CZ12,cPTAC,0.0,0.0,222110581943.63,0.0,0.0,222748112669.17
Epr,CZ12,cPVVG,21738637231.54,0.0,4030213528.93,27741470186.89,0.0,225581920054.36
Epr,CZ13,cDXGF,25486760323.68,0.0,284604141232.21,25486760323.68,0.0,285881831997.41
Epr,CZ13,cDXHP,0.0,7006932249.8,288609574703.07,0.0,7040355260.18,288813245268.75
Epr,CZ13,cPTAC,0.0,0.0,280564092939.73,0.0,0.0,281841783720.63
Epr,CZ13,cPVVG,21159924389.72,0.0,9665881657.79,25615593412.63,0.0,283568089482.16
Epr,CZ14,cDXGF,17164270107.17,0.0,253600539881.99,17164270107.17,0.0,256809816137.29
Epr,CZ14,cDXHP,0.0,5884791139.79,260444876624.25,0.0,6061742059.14,260805143818.52
Epr,CZ14,cPTAC,0.0,0.0,249989360616.52,0.0,0.0,253198636870.71
Epr,CZ14,cPVVG,12418189507.63,0.0,6718297689.1,17025652071.23,0.0,254606546371.05
Epr,CZ15,cDXGF,1081550133.31,0.0,394163407126.6,1081550133.31,0.0,408966608093.92
Epr,CZ15,cDXHP,0.0,278393038.48,394887937400.02,0.0,278393038.48,409011196391.32
Epr,CZ15,cPTAC,0.0,0.0,393854033323.77,0.0,0.0,408657234290.57
Epr,CZ15,cPVVG,745525232.36,0.0,22220590816.11,1093501167.76,0.0,405928496805.98
Epr,CZ16,cDXGF,45097828189.33,0.0,147483354904.0,45097828189.33,0.0,147483354904.0
Epr,CZ16,cDXHP,0.0,16487698885.04,161611438033.53,0.0,16631689489.41,161611438033.53
Epr,CZ16,cPTAC,0.0,0.0,136747731676.92,0.0,0.0,136747731676.92
Epr,CZ16,cPVVG,26069076284.36,0.0,1559897426.38,44811417563.74,0.0,145926913779.05
