Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Ese,CZ01,cDXGF,4996704467.89,0.0,188220910.26,134151578519.29,0.0,43210576727.12
Ese,CZ01,cDXHP,0.0,1432788320.82,190472663.78,0.0,33807231991.22,41902658001.96
Ese,CZ01,cPTAC,0.0,0.0,184211480.21,0.0,0.0,41623755685.43
Ese,CZ01,cPVVG,36470960388.36,0.0,89582971.71,1078042421238.95,0.0,37449857202.19
Ese,CZ02,cDXGF,11790418133.21,0.0,4765174624.04,102029983452.39,0.0,149259469231.67
Ese,CZ02,cDXHP,0.0,3262707637.31,4815248778.22,0.0,26637490633.48,149178862190.07
Ese,CZ02,cPTAC,0.0,0.0,4744936870.22,0.0,0.0,147482548698.17
Ese,CZ02,cPVVG,67499552252.0,0.0,3403606919.69,821537022321.56,0.0,291186485544.47
Ese,CZ03,cDXGF,2317954823.47,0.0,1487235089.85,50460596147.53,0.0,117114907905.54
Ese,CZ03,cDXHP,0.0,597111762.48,1500650595.82,0.0,12408219496.78,115761922155.99
Ese,CZ03,cPTAC,0.0,0.0,1482845400.41,0.0,0.0,116215007980.43
Ese,CZ03,cPVVG,13274705888.15,0.0,869347820.22,501167332149.95,0.0,164105307712.73
Ese,CZ04,cDXGF,7846128933.35,0.0,11623372991.07,79591785369.15,0.0,216206638005.75
Ese,CZ04,cDXHP,0.0,2223025876.84,11771857184.5,0.0,21396715276.83,218720501260.3
Ese,CZ04,cPTAC,0.0,0.0,11587226592.09,0.0,0.0,214173910400.35
Ese,CZ04,cPVVG,56942906071.62,0.0,9195356014.84,665567428323.07,0.0,487255901167.96
Ese,CZ05,cDXGF,1645319043.12,0.0,2289164318.09,46821331368.77,0.0,129363006637.96
Ese,CZ05,cDXHP,0.0,422385693.74,2315825567.04,0.0,11737596200.41,127821574772.13
Ese,CZ05,cPTAC,0.0,0.0,2274429429.98,0.0,0.0,128015613590.53
Ese,CZ05,cPVVG,11993236386.87,0.0,1448183179.06,489765480443.64,0.0,196110065788.11
