Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Eun,CZ01,cDXGF,84518732494.96,0.0,3613564009082.2,84518732494.96,0.0,3634832905614.83
Eun,CZ01,cDXHP,0.0,21837196368.8,3620678009003.79,0.0,21837196368.8,3620678009003.79
Eun,CZ01,cPTAC,0.0,0.0,3612037865068.89,0.0,0.0,3633416742916.48
Eun,CZ01,cPVVG,1092953418.27,0.0,9460204361.47,87220414368.78,0.0,1761159289769.74
Eun,CZ02,cDXGF,71693028295.23,0.0,4331078948261.4,71693028295.23,0.0,4331436905655.09
Eun,CZ02,cDXHP,0.0,19011224880.95,4328416912881.28,0.0,19011224880.95,4328416912881.28
Eun,CZ02,cPTAC,0.0,0.0,4330490816559.8,0.0,0.0,4330959872562.37
Eun,CZ02,cPVVG,4574251371.98,0.0,22294413189.17,74176424698.4,0.0,2036016391179.04
Eun,CZ03,cDXGF,35916092866.01,0.0,4204018361451.64,35916092866.01,0.0,4206814496864.56
Eun,CZ03,cDXHP,0.0,8939800651.09,4203434099273.2,0.0,8939800651.09,4203434099273.2
Eun,CZ03,cPTAC,0.0,0.0,4203046100624.37,0.0,0.0,4206024332368.44
Eun,CZ03,cPVVG,784708462.17,0.0,18245840054.92,37190161001.37,0.0,1987024151966.22
Eun,CZ04,cDXGF,63279729242.66,0.0,4783414144746.84,63279729242.66,0.0,4785612421863.04
Eun,CZ04,cDXHP,0.0,17069994033.54,4786838091751.99,0.0,17069994033.54,4787475535089.51
Eun,CZ04,cPTAC,0.0,0.0,4783221624079.28,0.0,0.0,4785419901195.48
Eun,CZ04,cPVVG,6194218203.16,0.0,29947314396.42,65567454136.56,0.0,2219640317944.2
Eun,CZ05,cDXGF,29951209262.57,0.0,4296786589454.91,29951209262.57,0.0,4314797808938.01
Eun,CZ05,cDXHP,0.0,7641013632.24,4308418860644.39,0.0,7641013632.24,4308418860644.39
Eun,CZ05,cPTAC,0.0,0.0,4298062181851.53,0.0,0.0,4316073436940.65
Eun,CZ05,cPVVG,1261606896.87,0.0,21536316089.74,31007952166.73,0.0,2033041670563.75
Eun,CZ06,cDXGF,5116556575.08,0.0,4565031965288.42,5116556575.08,0.0,4653622510233.71
Eun,CZ06,cDXHP,0.0,1245520940.2,4652935638485.26,0.0,1245520940.2,4656636292021.43
Eun,CZ06,cPTAC,0.0,0.0,4564936914788.64,0.0,0.0,4653411779161.57
Eun,CZ06,cPVVG,0.0,0.0,27157212417.11,5314612739.99,0.0,2158621275798.48
