Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Gro,CZ01,cDXGF,418455367983.23,0.0,34134538961.08,422349445328.54,0.0,34134538961.08
Gro,CZ01,cDXHP,0.0,97024786104.09,33582459134.01,0.0,98936996679.82,33582459134.01
Gro,CZ01,cPTAC,0.0,0.0,29761005626.87,0.0,0.0,29761005626.87
Gro,CZ01,cPVVG,3134776943.1,0.0,0.0,423839098832.86,0.0,33461414039.6
Gro,CZ02,cDXGF,283242703965.1,0.0,114683635254.26,285459629056.53,0.0,114683635254.26
Gro,CZ02,cDXHP,0.0,67188125601.0,114273680656.1,0.0,68625284001.95,114273680656.1
Gro,CZ02,cPTAC,0.0,0.0,109845719524.94,0.0,0.0,109845719524.94
Gro,CZ02,cPVVG,2113449642.97,0.0,0.0,291109438084.67,0.0,113366877002.8
Gro,CZ03,cDXGF,220530309806.21,0.0,84823116310.87,222051734192.95,0.0,84823116310.87
Gro,CZ03,cDXHP,0.0,50495076257.39,83897203418.95,0.0,50978094326.51,83897203418.95
Gro,CZ03,cPTAC,0.0,0.0,80699185208.46,0.0,0.0,80699185208.46
Gro,CZ03,cPVVG,549269077.1,0.0,0.0,225531527675.02,0.0,83726083401.0
Gro,CZ04,cDXGF,233079311397.65,0.0,173998607316.35,234495914597.47,0.0,173998607316.35
Gro,CZ04,cDXHP,0.0,56452705246.47,173990890026.14,0.0,57522656419.28,173990890026.14
Gro,CZ04,cPTAC,0.0,0.0,169740643083.27,0.0,0.0,169740643083.27
Gro,CZ04,cPVVG,2072805464.96,0.0,0.0,240064282637.75,0.0,172163019383.69
Gro,CZ05,cDXGF,207495914160.17,0.0,85207995845.42,208416427653.57,0.0,85207995845.42
Gro,CZ05,cDXHP,0.0,47544211434.93,84274055254.55,0.0,48013068460.25,84274055254.55
Gro,CZ05,cPTAC,0.0,0.0,79653876017.65,0.0,0.0,79653876017.65
Gro,CZ05,cPVVG,516209371.89,0.0,0.0,211589379200.63,0.0,84091030348.58
Gro,CZ06,cDXGF,98758083597.94,0.0,140486671946.62,99161902032.33,0.0,140486671946.62
Gro,CZ06,cDXHP,0.0,21970258642.84,138835831943.67,0.0,22036056617.99,138835831943.67
Gro,CZ06,cPTAC,0.0,0.0,136994733107.64,0.0,0.0,136994733107.64
Gro,CZ06,cPVVG,9400031.95,0.0,0.0,101303704310.81,0.0,138760436093.6
Gro,CZ07,cDXGF,95214841297.3,0.0,143007053868.46,95547477918.08,0.0,143007053868.46
Gro,CZ07,cDXHP,0.0,21078620224.04,141432683048.28,0.0,21128614656.67,141432683048.28
Gro,CZ07,cPTAC,0.0,0.0,139508330874.75,0.0,0.0,139508330874.75
Gro,CZ07,cPVVG,0.0,0.0,0.0,97574577273.63,0.0,141263587482.04
Gro,CZ08,cDXGF,104999049146.24,0.0,204039246154.06,105420034629.13,0.0,204048116907.36
Gro,CZ08,cDXHP,0.0,23700886196.63,203290880372.37,0.0,23780809160.88,203299760068.54
Gro,CZ08,cPTAC,0.0,0.0,200448193391.05,0.0,0.0,200452611344.38
Gro,CZ08,cPVVG,48243302.36,0.0,0.0,107869283655.11,0.0,201847368177.45
Gro,CZ09,cDXGF,118882781649.33,0.0,208803150380.98,119601869045.15,0.0,208816875443.37
Gro,CZ09,cDXHP,0.0,27370852424.42,208107455523.29,0.0,27583704975.4,208121180579.91
Gro,CZ09,cPTAC,0.0,0.0,205264867773.43,0.0,0.0,205274007450.72
Gro,CZ09,cPVVG,231599254.92,0.0,0.0,122595077076.44,0.0,206551438547.69
Gro,CZ10,cDXGF,114890375314.52,0.0,214024634587.94,115603701249.28,0.0,214037959800.51
Gro,CZ10,cDXHP,0.0,26468501272.72,213733690436.95,0.0,26682538978.57,213747015645.64
Gro,CZ10,cPTAC,0.0,0.0,210566627546.98,0.0,0.0,210579949517.81
Gro,CZ10,cPVVG,142517531.61,0.0,0.0,118405164464.76,0.0,211804437562.05
Gro,CZ11,cDXGF,256859637461.93,0.0,232213314710.63,259533753663.44,0.0,232213314710.63
Gro,CZ11,cDXHP,0.0,62022576907.93,232217769475.1,0.0,62937920861.58,232217769475.1
Gro,CZ11,cPTAC,0.0,0.0,229335594738.85,0.0,0.0,229335594738.85
Gro,CZ11,cPVVG,2699765912.41,0.0,2474168.95,266854744679.78,0.0,229938222986.11
Gro,CZ12,cDXGF,252166444092.89,0.0,179669044257.49,254549765477.34,0.0,179669044257.49
Gro,CZ12,cDXHP,0.0,60227247388.09,179576328576.49,0.0,61218580380.15,179576328576.49
Gro,CZ12,cPTAC,0.0,0.0,176550408934.9,0.0,0.0,176550408934.9
Gro,CZ12,cPVVG,1843827390.97,0.0,0.0,261228965221.05,0.0,177806899481.79
Gro,CZ13,cDXGF,212906550070.88,0.0,260388807389.41,215152596782.78,0.0,260388807389.41
Gro,CZ13,cDXHP,0.0,51058650041.6,260414082399.82,0.0,51783041719.84,260414082399.82
Gro,CZ13,cPTAC,0.0,0.0,257854957143.93,0.0,0.0,257854957143.93
Gro,CZ13,cPVVG,1347749580.14,0.0,0.0,221163513622.05,0.0,257874090058.9
Gro,CZ14,cDXGF,210112728062.43,0.0,231586783619.74,211906194735.97,0.0,231604859737.34
Gro,CZ14,cDXHP,0.0,52233789135.9,231168940104.34,0.0,53266359004.81,231187016220.88
Gro,CZ14,cPTAC,0.0,0.0,228325051534.36,0.0,0.0,228343125969.61
Gro,CZ14,cPVVG,3276031156.58,0.0,0.0,217256307074.5,0.0,229185700828.62
Gro,CZ15,cDXGF,59364317976.91,0.0,411007384285.29,59750028929.73,0.0,411029929543.22
Gro,CZ15,cDXHP,0.0,13629597293.54,411008531855.0,0.0,13710010788.79,411031077112.5
Gro,CZ15,cPTAC,0.0,0.0,408818440398.67,0.0,0.0,408840985228.75
Gro,CZ15,cPVVG,174509217.79,0.0,5635577.0,61116679368.17,0.0,407249498330.4
Gro,CZ16,cDXGF,406562748076.12,0.0,109405816450.67,410329738419.67,0.0,109405816450.67
Gro,CZ16,cDXHP,0.0,105659673678.6,107455232419.66,0.0,109219712495.2,107455232419.66
Gro,CZ16,cPTAC,0.0,0.0,106318401851.29,0.0,0.0,106318401851.29
Gro,CZ16,cPVVG,10540610902.32,0.0,0.0,416770297525.99,0.0,107899282691.05
