Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
MBT,CZ01,cDXGF,899712834.37,0.0,8556154.7,344328246228.88,0.0,175411321693.59
MBT,CZ01,cDXHP,0.0,228613386.4,8577661.2,0.0,87917664412.96,173029627593.96
MBT,CZ01,cPTAC,0.0,0.0,8547456.8,0.0,0.0,170770719388.97
MBT,CZ01,cPVVG,1316496656.82,0.0,1504852.12,522637406880.84,0.0,126351713702.82
MBT,CZ02,cDXGF,2492309570.13,0.0,1439208171.84,221480555879.14,0.0,469567714893.78
MBT,CZ02,cDXHP,0.0,639404178.93,1442941493.73,0.0,58397884626.27,469635995422.51
MBT,CZ02,cPTAC,0.0,0.0,1438712417.65,0.0,0.0,465377653929.82
MBT,CZ02,cPVVG,4095581665.96,0.0,943618378.31,354127860784.42,0.0,396769318353.71
MBT,CZ03,cDXGF,502790529.61,0.0,424451013.07,118301799007.25,0.0,414973232937.7
MBT,CZ03,cDXHP,0.0,123969057.89,426238354.09,0.0,29348381652.82,410714302540.11
MBT,CZ03,cPTAC,0.0,0.0,424284931.94,0.0,0.0,412518622297.79
MBT,CZ03,cPVVG,982323545.33,0.0,208915269.62,201104448863.94,0.0,337095928104.83
MBT,CZ04,cDXGF,2173626990.88,0.0,4154027232.36,168645292720.82,0.0,661713240222.64
MBT,CZ04,cDXHP,0.0,553519335.63,4096961107.35,0.0,45638285260.92,670128676190.46
MBT,CZ04,cPTAC,0.0,0.0,4154692397.47,0.0,0.0,657055065232.92
MBT,CZ04,cPVVG,3983499474.22,0.0,3159376159.66,286230935883.89,0.0,583655712293.51
MBT,CZ05,cDXGF,364818580.64,0.0,612255326.34,101264651038.06,0.0,430294021175.15
MBT,CZ05,cDXHP,0.0,93677915.1,615315029.24,0.0,25739372823.34,426336202612.13
MBT,CZ05,cPTAC,0.0,0.0,604646776.39,0.0,0.0,426637356916.22
MBT,CZ05,cPVVG,961120202.38,0.0,284269478.45,177891691432.14,0.0,349860030399.36
MBT,CZ06,cDXGF,0.0,0.0,1497233575.55,12222312055.56,0.0,662140524809.64
MBT,CZ06,cDXHP,0.0,0.0,1497882415.6,0.0,2983975590.67,651910183095.33
MBT,CZ06,cPTAC,0.0,0.0,1496683532.35,0.0,0.0,661619061806.81
MBT,CZ06,cPVVG,0.0,0.0,792701021.14,33447918379.18,0.0,569656642037.43
MBT,CZ07,cDXGF,0.0,0.0,1387198707.44,7872047033.89,0.0,670324950975.75
MBT,CZ07,cDXHP,0.0,0.0,1391597160.3,0.0,1927802423.24,662146743262.47
MBT,CZ07,cPTAC,0.0,0.0,1387069237.75,0.0,0.0,669911170281.08
MBT,CZ07,cPVVG,0.0,0.0,759109122.02,25439020545.87,0.0,574782145022.89
MBT,CZ08,cDXGF,0.0,0.0,4426648364.23,20519891698.35,0.0,824069153764.15
MBT,CZ08,cDXHP,0.0,0.0,4436949539.65,0.0,5148352975.2,820980117413.44
MBT,CZ08,cPTAC,0.0,0.0,4424817337.86,0.0,0.0,823033811748.82
MBT,CZ08,cPVVG,0.0,0.0,3019932764.84,50257474523.09,0.0,726485622955.09
MBT,CZ09,cDXGF,0.0,0.0,5449037304.55,34500461799.78,0.0,826725937079.37
MBT,CZ09,cDXHP,0.0,0.0,5455838904.99,0.0,8796488285.1,826410133282.51
MBT,CZ09,cPTAC,0.0,0.0,5440150919.26,0.0,0.0,825295915379.17
MBT,CZ09,cPVVG,0.0,0.0,3718062096.08,75850341489.93,0.0,727236586441.45
MBT,CZ10,cDXGF,0.0,0.0,5335339255.2,32567455448.37,0.0,856674147378.91
MBT,CZ10,cDXHP,0.0,0.0,5345524164.25,0.0,8414362147.22,858181621755.11
MBT,CZ10,cPTAC,0.0,0.0,5334556721.29,0.0,0.0,855137515634.76
MBT,CZ10,cPVVG,0.0,0.0,3905672241.62,74267839936.46,0.0,759765610148.18
MBT,CZ11,cDXGF,5248134966.01,0.0,12755170624.27,200369954098.75,0.0,855964716227.36
MBT,CZ11,cDXHP,0.0,1420384821.25,12754933327.98,0.0,53240111289.3,865365630848.94
MBT,CZ11,cPTAC,0.0,0.0,12754889481.23,0.0,0.0,852546248439.28
MBT,CZ11,cPVVG,7545958270.35,0.0,9833220888.95,337228842083.36,0.0,775160338847.61
MBT,CZ12,cDXGF,2556017037.9,0.0,4575572284.38,203009745662.98,0.0,670691174257.0
MBT,CZ12,cDXHP,0.0,665998010.97,4577795092.9,0.0,52822785803.28,674570126657.67
MBT,CZ12,cPTAC,0.0,0.0,4572430860.36,0.0,0.0,667767705276.74
MBT,CZ12,cPVVG,4598425401.56,0.0,3344890229.07,333677673191.65,0.0,594894423124.74
MBT,CZ13,cDXGF,623638925.4,0.0,13211975255.54,154740093593.27,0.0,928792934006.06
MBT,CZ13,cDXHP,0.0,159890221.13,13244630006.39,0.0,39945363909.64,936127887181.47
MBT,CZ13,cPTAC,0.0,0.0,13211949641.77,0.0,0.0,926607676210.11
MBT,CZ13,cPVVG,1798473385.45,0.0,10011142618.43,271714681948.1,0.0,845071430534.4
MBT,CZ14,cDXGF,1821389034.09,0.0,9563751206.09,157439008046.85,0.0,883136716776.18
MBT,CZ14,cDXHP,0.0,554574500.31,9509577862.07,0.0,45096331994.3,893729701567.16
MBT,CZ14,cPTAC,0.0,0.0,9563203072.06,0.0,0.0,879079641476.68
MBT,CZ14,cPVVG,2856577808.94,0.0,7174289821.7,272437757806.97,0.0,797698399058.92
MBT,CZ15,cDXGF,0.0,0.0,44079640058.29,13004097887.53,0.0,1501437316996.83
MBT,CZ15,cDXHP,0.0,0.0,44025663705.11,0.0,3363812875.26,1503640428698.69
MBT,CZ15,cPTAC,0.0,0.0,44078357686.35,0.0,0.0,1500769301679.52
MBT,CZ15,cPVVG,0.0,0.0,35047030497.54,31872278398.76,0.0,1390381371813.22
MBT,CZ16,cDXGF,9088840906.74,0.0,1381564289.05,405662714442.35,0.0,457869775404.7
