Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
MLI,CZ01,cDXGF,357729224226.7,0.0,248226851231.25,357729224226.7,0.0,248226851231.25
MLI,CZ01,cDXHP,0.0,88829713030.17,245837203456.95,0.0,88829713030.17,245837203456.95
MLI,CZ01,cPTAC,0.0,0.0,239118927243.01,0.0,0.0,239118927243.01
MLI,CZ01,cPVVG,8853846.64,0.0,0.0,359879139475.19,0.0,243753660790.59
MLI,CZ02,cDXGF,228178222258.56,0.0,456680616074.9,228178222258.56,0.0,456680616074.9
MLI,CZ02,cDXHP,0.0,58319627072.34,453949509315.92,0.0,58319627072.34,453949509315.92
MLI,CZ02,cPTAC,0.0,0.0,449814279001.71,0.0,0.0,449814279001.71
MLI,CZ02,cPVVG,9404499.89,0.0,0.0,230058578327.39,0.0,448194222715.88
MLI,CZ03,cDXGF,145798162803.66,0.0,401018077722.34,145798162803.66,0.0,401018077722.34
MLI,CZ03,cDXHP,0.0,35306062932.56,398759908719.72,0.0,35306062932.56,398759908719.72
MLI,CZ03,cPTAC,0.0,0.0,396996917727.55,0.0,0.0,396996917727.55
MLI,CZ03,cPVVG,0.0,0.0,0.0,146923831649.53,0.0,393510901062.19
MLI,CZ04,cDXGF,184349231558.6,0.0,590329499487.74,184349231558.6,0.0,590329499487.74
MLI,CZ04,cDXHP,0.0,48262114615.32,588068852330.65,0.0,48262114615.32,588068852330.65
MLI,CZ04,cPTAC,0.0,0.0,585121722403.83,0.0,0.0,585121722403.83
MLI,CZ04,cPVVG,0.0,0.0,0.0,186023842917.34,0.0,579449181866.78
MLI,CZ05,cDXGF,120419220180.68,0.0,402148478948.14,120419220180.68,0.0,402148478948.14
MLI,CZ05,cDXHP,0.0,29676237266.29,399352519189.43,0.0,29676237266.29,399352519189.43
MLI,CZ05,cPTAC,0.0,0.0,398627702556.13,0.0,0.0,398627702556.13
MLI,CZ05,cPVVG,0.0,0.0,0.0,121499843499.01,0.0,394761277868.94
MLI,CZ06,cDXGF,33216282962.78,0.0,557891964410.98,33216282962.78,0.0,557891964410.98
MLI,CZ06,cDXHP,0.0,7796279536.54,553615882932.55,0.0,7796279536.54,553615882932.55
