Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
OfS,CZ01,cDXGF,40063777398.44,0.0,47215169447.57,40063777398.44,0.0,47321170003.56
OfS,CZ01,cDXHP,0.0,9960057112.42,47647262083.07,0.0,10175064452.57,47647262083.07
OfS,CZ01,cPTAC,0.0,0.0,45549836580.92,0.0,0.0,45655826785.11
OfS,CZ01,cPVVG,952810365.93,0.0,770114188.56,41113629010.18,0.0,46776643411.83
OfS,CZ02,cDXGF,26433984961.09,0.0,90572853642.6,26433984961.09,0.0,91324946888.64
OfS,CZ02,cDXHP,0.0,6882062228.39,90988544341.4,0.0,6936822552.84,91313756237.59
OfS,CZ02,cPTAC,0.0,0.0,89256193947.02,0.0,0.0,90008284685.79
OfS,CZ02,cPVVG,1281663655.35,0.0,2754631411.79,27373502655.09,0.0,90385829216.8
OfS,CZ03,cDXGF,16106788445.63,0.0,84964374821.05,16106788445.63,0.0,85033530159.79
OfS,CZ03,cDXHP,0.0,3940157766.2,84993166669.89,0.0,3940157766.2,84993166669.89
OfS,CZ03,cPTAC,0.0,0.0,84060263843.76,0.0,0.0,84129419182.5
OfS,CZ03,cPVVG,607988796.58,0.0,2019320271.18,16667613240.94,0.0,84101460420.95
OfS,CZ04,cDXGF,20327026055.2,0.0,115751456068.04,20327026055.2,0.0,117926348931.74
OfS,CZ04,cDXHP,0.0,5423447744.14,116036304182.64,0.0,5439415324.96,117697319373.99
OfS,CZ04,cPTAC,0.0,0.0,114515437153.22,0.0,0.0,116690301864.93
OfS,CZ04,cPVVG,1232764827.95,0.0,4016379090.02,21103401437.06,0.0,116812925566.78
OfS,CZ05,cDXGF,11890926364.06,0.0,89777329530.19,11890926364.06,0.0,90283641703.04
OfS,CZ05,cDXHP,0.0,2984268367.77,90188751732.4,0.0,2984268367.77,90188751732.4
OfS,CZ05,cPTAC,0.0,0.0,88824568776.99,0.0,0.0,89330875491.75
OfS,CZ05,cPVVG,561893352.35,0.0,2315350033.56,12299520075.75,0.0,89297778655.17
OfS,CZ06,cDXGF,2577086373.88,0.0,109899377098.07,2577086373.88,0.0,115070356010.17
OfS,CZ06,cDXHP,0.0,616219326.95,111863419291.79,0.0,616219326.95,114877621625.93
OfS,CZ06,cPTAC,0.0,0.0,109645582233.24,0.0,0.0,114816519351.09
OfS,CZ06,cPVVG,0.0,0.0,3182059965.55,2681517049.05,0.0,113908172400.74
OfS,CZ07,cDXGF,1555868199.59,0.0,109273022264.33,1555868199.59,0.0,113272640760.61
OfS,CZ07,cDXHP,0.0,370317071.69,110929472499.12,0.0,370317071.69,113068273054.31
OfS,CZ07,cPTAC,0.0,0.0,109057582310.81,0.0,0.0,113057175041.41
OfS,CZ07,cPVVG,0.0,0.0,2795946336.99,1619260778.09,0.0,112101366515.51
OfS,CZ08,cDXGF,3353538595.61,0.0,132928107425.18,3353538595.61,0.0,136674860324.89
OfS,CZ08,cDXHP,0.0,819340274.29,133715369625.53,0.0,819340274.29,136482101453.66
OfS,CZ08,cPTAC,0.0,0.0,132564495943.98,0.0,0.0,136311201492.79
OfS,CZ08,cPVVG,783604.8,0.0,4660728238.92,3488584455.0,0.0,135352799543.35
OfS,CZ09,cDXGF,5576305390.43,0.0,136858352460.86,5576305390.43,0.0,139693087940.97
OfS,CZ09,cDXHP,0.0,1389146604.25,137025704312.44,0.0,1389146604.25,139538533796.93
OfS,CZ09,cPTAC,0.0,0.0,136391470771.46,0.0,0.0,139226173552.84
OfS,CZ09,cPVVG,91551885.39,0.0,5119189874.6,5807307192.21,0.0,138323275652.88
OfS,CZ10,cDXGF,4104583153.38,0.0,129713045777.26,4104583153.38,0.0,131077819516.73
OfS,CZ10,cDXHP,0.0,1040258078.17,129636931658.56,0.0,1040258078.17,130893075509.56
OfS,CZ10,cPTAC,0.0,0.0,129271621433.09,0.0,0.0,130623625545.04
OfS,CZ10,cPVVG,25463979.83,0.0,4074366192.85,4268229139.69,0.0,129801871847.14
OfS,CZ11,cDXGF,30097472155.48,0.0,134581341647.82,30097472155.48,0.0,135766766827.72
OfS,CZ11,cDXHP,0.0,7845806527.82,134678122627.58,0.0,7845806527.82,135567040599.82
OfS,CZ11,cPTAC,0.0,0.0,133604211619.26,0.0,0.0,134789636778.24
OfS,CZ11,cPVVG,2076674520.07,0.0,5859779138.37,31293480646.22,0.0,134517197881.06
OfS,CZ12,cDXGF,25061757032.12,0.0,113006608127.29,25061757032.12,0.0,114377355677.45
OfS,CZ12,cDXHP,0.0,6457089310.59,113186091960.99,0.0,6457089310.59,114303393738.32
OfS,CZ12,cPTAC,0.0,0.0,112002200637.87,0.0,0.0,113372947681.47
OfS,CZ12,cPVVG,1460779589.05,0.0,3885407647.72,26012593344.77,0.0,113302460186.8
OfS,CZ13,cDXGF,20712688098.55,0.0,141569057916.26,20712688098.55,0.0,143422724175.09
