Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
RFF,CZ01,cDXGF,0.0,0.0,9222780.44,1693233146.25,0.0,23935476692.43
RFF,CZ01,cDXHP,0.0,0.0,9221184.74,0.0,441377146.0,23561357005.46
RFF,CZ01,cPTAC,0.0,0.0,9222767.71,0.0,0.0,23833609942.78
RFF,CZ01,cPVVG,3589469.16,0.0,6776522.13,4917053359.58,0.0,19281819929.14
RFF,CZ02,cDXGF,1460130.49,0.0,34709069.04,1641383772.43,0.0,38426426298.57
RFF,CZ02,cDXHP,0.0,401192.06,34784489.13,0.0,437038799.69,38010738872.24
RFF,CZ02,cPTAC,0.0,0.0,34708930.96,0.0,0.0,38326401723.39
RFF,CZ02,cPVVG,28703673.27,0.0,26151698.97,4481085973.38,0.0,32380848774.65
RFF,CZ03,cDXGF,0.0,0.0,28675131.49,627680869.46,0.0,36637951566.38
RFF,CZ03,cDXHP,0.0,0.0,28630906.22,0.0,154589776.7,36238471257.45
RFF,CZ03,cPTAC,0.0,0.0,28675129.97,0.0,0.0,36595234430.21
RFF,CZ03,cPVVG,86353.95,0.0,21866858.32,1964122060.15,0.0,30564408587.54
RFF,CZ04,cDXGF,1504218.55,0.0,70669926.54,1106467636.54,0.0,46369551664.59
RFF,CZ04,cDXHP,0.0,390193.41,70663462.7,0.0,300443312.33,45987007172.19
RFF,CZ04,cPTAC,0.0,0.0,70669739.33,0.0,0.0,46300765145.09
RFF,CZ04,cPVVG,17938495.45,0.0,53851477.02,3158261818.84,0.0,40297990795.76
RFF,CZ05,cDXGF,0.0,0.0,24938796.52,458349689.09,0.0,38403778435.05
RFF,CZ05,cDXHP,0.0,0.0,24844033.79,0.0,115245987.25,37964842494.84
RFF,CZ05,cPTAC,0.0,0.0,24938639.74,0.0,0.0,38372552077.99
RFF,CZ05,cPVVG,450158.51,0.0,18213186.9,1444115362.42,0.0,32133647791.02
RFF,CZ06,cDXGF,0.0,0.0,81881229.2,83317117.05,0.0,45625103914.64
RFF,CZ06,cDXHP,0.0,0.0,81913610.73,0.0,19996646.39,45485884535.55
RFF,CZ06,cPTAC,0.0,0.0,81877511.55,0.0,0.0,45619340874.83
RFF,CZ06,cPVVG,0.0,0.0,62226424.19,310823754.82,0.0,39813360759.99
RFF,CZ07,cDXGF,0.0,0.0,65002285.47,52355415.94,0.0,44999498789.3
RFF,CZ07,cDXHP,0.0,0.0,65094387.44,0.0,12489365.17,44799536268.94
RFF,CZ07,cPTAC,0.0,0.0,65000667.13,0.0,0.0,44994820008.75
RFF,CZ07,cPVVG,0.0,0.0,49359379.25,201039764.94,0.0,38839615800.0
RFF,CZ08,cDXGF,0.0,0.0,104316366.84,87215400.53,0.0,52544113826.31
RFF,CZ08,cDXHP,0.0,0.0,104637371.18,0.0,21305085.97,52327468371.54
RFF,CZ08,cPTAC,0.0,0.0,104313671.99,0.0,0.0,52537046780.26
RFF,CZ08,cPVVG,0.0,0.0,80766551.79,398186404.24,0.0,45979132801.74
RFF,CZ09,cDXGF,0.0,0.0,142921082.37,206926233.82,0.0,54598029989.85
RFF,CZ09,cDXHP,0.0,0.0,143074797.08,0.0,52141461.04,54397363347.07
RFF,CZ09,cPTAC,0.0,0.0,142916905.56,0.0,0.0,54582230508.3
RFF,CZ09,cPVVG,267110.21,0.0,109688713.54,784156038.05,0.0,47645717135.93
RFF,CZ10,cDXGF,0.0,0.0,153169447.2,298990023.07,0.0,53149875023.52
RFF,CZ10,cDXHP,0.0,0.0,153826070.29,0.0,75228210.38,52939657097.09
RFF,CZ10,cPTAC,0.0,0.0,153168127.8,0.0,0.0,53127269160.52
RFF,CZ10,cPVVG,62254.27,0.0,120435856.37,962898945.99,0.0,46126583313.27
RFF,CZ11,cDXGF,2845456.79,0.0,159984574.0,1441861440.47,0.0,52108259680.95
RFF,CZ11,cDXHP,0.0,831944.3,160462191.48,0.0,389722598.41,51889661013.93
RFF,CZ11,cPTAC,0.0,0.0,159984554.03,0.0,0.0,52020752877.63
RFF,CZ11,cPVVG,41656879.28,0.0,124911794.28,4490190872.88,0.0,45595121755.92
RFF,CZ12,cDXGF,367467.49,0.0,106357058.02,1301924695.86,0.0,45532681763.1
RFF,CZ12,cDXHP,0.0,104091.48,106421873.97,0.0,343415435.0,45269442311.24
RFF,CZ12,cPTAC,0.0,0.0,106356981.05,0.0,0.0,45450187504.72
RFF,CZ12,cPVVG,16805562.43,0.0,81266699.53,3868368248.75,0.0,39591569102.81
RFF,CZ13,cDXGF,0.0,0.0,188337641.75,727880239.82,0.0,54490089254.1
RFF,CZ13,cDXHP,0.0,0.0,188851516.98,0.0,189068849.83,54311741947.54
RFF,CZ13,cPTAC,0.0,0.0,188337639.78,0.0,0.0,54441774970.89
