Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Rt3,CZ01,cDXGF,2302670920.31,0.0,0.0,475589715434.05,0.0,31629905222.62
Rt3,CZ01,cDXHP,0.0,710019174.51,0.0,0.0,119818563618.42,31442390245.48
Rt3,CZ01,cPTAC,0.0,0.0,0.0,0.0,0.0,30780228806.17
Rt3,CZ01,cPVVG,3565028732.15,0.0,0.0,770610452132.8,0.0,52287871244.66
Rt3,CZ02,cDXGF,11754021376.64,0.0,171662682.41,417243374523.08,0.0,583735977179.85
Rt3,CZ02,cDXHP,0.0,3475864997.2,172952052.43,0.0,109207482917.01,589661848968.91
Rt3,CZ02,cPTAC,0.0,0.0,171652078.21,0.0,0.0,580189804247.77
Rt3,CZ02,cPVVG,19079639064.01,0.0,124820648.97,684121128928.91,0.0,580568370069.19
Rt3,CZ03,cDXGF,1835743212.95,0.0,968731.34,231015504077.03,0.0,282514909987.18
Rt3,CZ03,cDXHP,0.0,497511117.3,973531.14,0.0,56246538786.32,280461835770.41
Rt3,CZ03,cPTAC,0.0,0.0,968656.55,0.0,0.0,281557879865.78
Rt3,CZ03,cPVVG,3089458089.93,0.0,592028.66,397101473941.55,0.0,314866815301.02
Rt3,CZ04,cDXGF,12784431415.03,0.0,523559748.65,347223830212.45,0.0,934834568864.66
Rt3,CZ04,cDXHP,0.0,3999247052.07,523175836.31,0.0,93790110694.14,955975273398.93
Rt3,CZ04,cPTAC,0.0,0.0,523904357.38,0.0,0.0,930768116181.9
Rt3,CZ04,cPVVG,21577350820.24,0.0,359141503.3,586328650780.64,0.0,929527137451.58
Rt3,CZ05,cDXGF,2340334319.92,0.0,329761.33,215388040214.04,0.0,360679707663.96
Rt3,CZ05,cDXHP,0.0,669424991.19,330283.93,0.0,53434279573.42,360482203478.36
Rt3,CZ05,cPTAC,0.0,0.0,328888.49,0.0,0.0,357801005397.64
Rt3,CZ05,cPVVG,3779371519.76,0.0,0.0,369118557860.74,0.0,378842829535.22
Rt3,CZ06,cDXGF,13708561.85,0.0,1455521.09,49946338537.83,0.0,681678556858.6
Rt3,CZ06,cDXHP,0.0,3435016.95,1459137.12,0.0,11763325433.54,652552426422.01
Rt3,CZ06,cPTAC,0.0,0.0,1455521.09,0.0,0.0,681151772985.66
Rt3,CZ06,cPVVG,62042636.69,0.0,1227660.78,103665541350.69,0.0,708656220878.4
Rt3,CZ07,cDXGF,0.0,0.0,17829870.47,42706785315.65,0.0,757844425646.31
Rt3,CZ07,cDXHP,0.0,0.0,17839255.3,0.0,10001320653.1,734253572646.46
Rt3,CZ07,cPTAC,0.0,0.0,17829855.6,0.0,0.0,757324728211.02
Rt3,CZ07,cPVVG,0.0,0.0,7188078.1,91499013828.72,0.0,757630047317.7
Rt3,CZ08,cDXGF,93366369.29,0.0,232654731.54,57887927214.73,0.0,1127030060703.99
Rt3,CZ08,cDXHP,0.0,23945276.44,232254806.13,0.0,14021506308.0,1114983707083.55
Rt3,CZ08,cPTAC,0.0,0.0,232654608.41,0.0,0.0,1125937686225.39
Rt3,CZ08,cPVVG,265056101.66,0.0,131928024.79,119686566271.28,0.0,1109772959471.37
Rt3,CZ09,cDXGF,847476321.23,0.0,560499954.77,87466401484.82,0.0,1121128065058.01
Rt3,CZ09,cDXHP,0.0,225698199.77,518261072.55,0.0,21632929295.85,1118806017508.55
Rt3,CZ09,cPTAC,0.0,0.0,560499069.18,0.0,0.0,1119842425938.54
Rt3,CZ09,cPVVG,2023114284.95,0.0,346243043.57,175561289195.19,0.0,1101739082899.79
Rt3,CZ10,cDXGF,3325812944.47,0.0,775935431.66,117166191956.4,0.0,1311339363139.11
Rt3,CZ10,cDXHP,0.0,902260259.75,741225037.81,0.0,29101982805.16,1311843506919.73
Rt3,CZ10,cPTAC,0.0,0.0,775931736.38,0.0,0.0,1309541203945.9
Rt3,CZ10,cPVVG,7058265741.92,0.0,479792935.24,227133016402.13,0.0,1287621376478.89
Rt3,CZ11,cDXGF,12307532137.07,0.0,2768329910.16,352567533015.74,0.0,1258520220068.25
Rt3,CZ11,cDXHP,0.0,3655872463.1,2688246379.67,0.0,93000899187.07,1277035386573.42
Rt3,CZ11,cPTAC,0.0,0.0,2768316737.88,0.0,0.0,1256183125888.05
Rt3,CZ11,cPVVG,20943136945.19,0.0,1842507335.7,605327424597.37,0.0,1249619971394.77
Rt3,CZ12,cDXGF,8731073379.99,0.0,603382581.1,347610196754.62,0.0,913990974062.69
Rt3,CZ12,cDXHP,0.0,2487060343.11,604649298.13,0.0,90442965842.68,925482298115.86
Rt3,CZ12,cPTAC,0.0,0.0,603369185.66,0.0,0.0,912670820709.31
Rt3,CZ12,cPVVG,15222026714.1,0.0,424380848.33,595547558750.58,0.0,911164766087.05
Rt3,CZ13,cDXGF,5294541251.53,0.0,3198093375.14,262880764347.99,0.0,1326422845175.03
Rt3,CZ13,cDXHP,0.0,1521702049.48,3151743832.87,0.0,68270718822.57,1342833009464.68
Rt3,CZ13,cPTAC,0.0,0.0,3198086552.52,0.0,0.0,1325682206098.17
Rt3,CZ13,cPVVG,10120819778.48,0.0,2065629548.85,480494608412.04,0.0,1319969686140.95
Rt3,CZ14,cDXGF,7535592089.67,0.0,610682695.35,255416174824.13,0.0,1258395673173.74
Rt3,CZ14,cDXHP,0.0,2475117176.28,544528913.51,0.0,71849223204.25,1284419921304.48
Rt3,CZ14,cPTAC,0.0,0.0,610682693.62,0.0,0.0,1255948481649.38
Rt3,CZ14,cPVVG,12283437150.75,0.0,391434705.23,443535948124.53,0.0,1250426997749.32
Rt3,CZ15,cDXGF,202977326.6,0.0,20427159849.35,28325465604.28,0.0,2303427626815.84
Rt3,CZ15,cDXHP,0.0,56271512.39,20410266832.35,0.0,7189622776.31,2303616675330.87
Rt3,CZ15,cPTAC,0.0,0.0,20427159849.35,0.0,0.0,2302960084589.86
Rt3,CZ15,cPVVG,360839610.41,0.0,14572738430.92,62719407931.47,0.0,2282864471226.3
Rt3,CZ16,cDXGF,35325559371.39,0.0,81064438.97,595006905424.57,0.0,445610328249.64
Rt3,CZ16,cDXHP,0.0,11666841895.84,81167618.05,0.0,178404760894.84,452942711920.86
Rt3,CZ16,cPTAC,0.0,0.0,81062431.99,0.0,0.0,444263016236.1
Rt3,CZ16,cPVVG,56010520150.28,0.0,54534445.93,988791204674.45,0.0,440764201568.27
