Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
RtL,CZ01,cDXGF,121640401319.19,0.0,1016984279783.84,121640401319.19,0.0,1016984279783.84
RtL,CZ01,cDXHP,0.0,29371040943.08,1007679607910.92,0.0,29669855179.54,1007679607910.92
RtL,CZ01,cPTAC,0.0,0.0,1010860933301.71,0.0,0.0,1010860933301.71
RtL,CZ01,cPVVG,31234634.75,0.0,0.0,123042509619.03,0.0,1006611525381.86
RtL,CZ02,cDXGF,82033805452.04,0.0,1268382996307.75,82033805452.04,0.0,1268382996307.75
RtL,CZ02,cDXHP,0.0,20600257788.95,1267684673479.73,0.0,20676106594.52,1267684673479.73
RtL,CZ02,cPTAC,0.0,0.0,1264404166225.04,0.0,0.0,1264404166225.04
RtL,CZ02,cPVVG,28738218.44,0.0,0.0,84084570409.83,0.0,1256970445923.84
RtL,CZ03,cDXGF,50802807285.02,0.0,1213759793433.18,50802807285.02,0.0,1213759793433.18
RtL,CZ03,cDXHP,0.0,12089012746.53,1210953309856.68,0.0,12089012746.53,1210953309856.68
RtL,CZ03,cPTAC,0.0,0.0,1211238823189.27,0.0,0.0,1211238823189.27
RtL,CZ03,cPVVG,0.0,0.0,0.0,51380787397.89,0.0,1202857662073.52
RtL,CZ04,cDXGF,69546374405.53,0.0,1446539623618.0,69546374405.53,0.0,1446539623618.0
RtL,CZ04,cDXHP,0.0,17908791773.84,1447300073174.71,0.0,17908791773.84,1447300073174.71
RtL,CZ04,cPTAC,0.0,0.0,1443285813659.45,0.0,0.0,1443285813659.45
RtL,CZ04,cPVVG,41625093.86,0.0,2325498.72,71820324174.03,0.0,1433959228223.64
RtL,CZ05,cDXGF,43026755789.93,0.0,1221437356711.3,43026755789.93,0.0,1221437356711.3
RtL,CZ05,cDXHP,0.0,10385891943.9,1217139606225.01,0.0,10385891943.9,1217139606225.01
RtL,CZ05,cPTAC,0.0,0.0,1219116890202.94,0.0,0.0,1219116890202.94
RtL,CZ05,cPVVG,0.0,0.0,0.0,43636034226.88,0.0,1210142912236.86
RtL,CZ06,cDXGF,11666995029.2,0.0,1390328797235.96,11666995029.2,0.0,1390328797235.96
RtL,CZ06,cDXHP,0.0,2719741118.23,1386505255088.13,0.0,2719741118.23,1386505255088.13
RtL,CZ06,cPTAC,0.0,0.0,1389828515637.08,0.0,0.0,1389828515637.08
RtL,CZ06,cPVVG,0.0,0.0,0.0,12086871084.51,0.0,1377701405346.05
RtL,CZ07,cDXGF,9426485624.48,0.0,1394366142467.66,9426485624.48,0.0,1394366142467.66
RtL,CZ07,cDXHP,0.0,2181832656.51,1391578963531.36,0.0,2181832656.51,1391578963531.36
RtL,CZ07,cPTAC,0.0,0.0,1393939424564.9,0.0,0.0,1393939424564.9
RtL,CZ07,cPVVG,0.0,0.0,0.0,9744929657.9,0.0,1381683983488.36
RtL,CZ08,cDXGF,16010913069.0,0.0,1536798654096.6,16010913069.0,0.0,1536798654096.6
RtL,CZ08,cDXHP,0.0,3786703539.36,1536939742632.33,0.0,3786703539.36,1536939742632.33
RtL,CZ08,cPTAC,0.0,0.0,1536082885401.21,0.0,0.0,1536082885401.21
RtL,CZ08,cPVVG,0.0,0.0,0.0,16556872206.31,0.0,1523515744986.12
RtL,CZ09,cDXGF,22817885042.06,0.0,1548342575000.33,22817885042.06,0.0,1548360773735.44
RtL,CZ09,cDXHP,0.0,5511979172.7,1548421873555.69,0.0,5511979172.7,1548421873555.69
RtL,CZ09,cPTAC,0.0,0.0,1547290934752.56,0.0,0.0,1547309133487.67
RtL,CZ09,cPVVG,0.0,0.0,0.0,23667504340.07,0.0,1534766496636.64
RtL,CZ10,cDXGF,18080866527.34,0.0,1585045788813.19,18080866527.34,0.0,1585080500154.78
RtL,CZ10,cDXHP,0.0,4406944183.9,1585543381658.04,0.0,4406944183.9,1585543381658.04
RtL,CZ10,cPTAC,0.0,0.0,1584180846116.24,0.0,0.0,1584215557457.83
