Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
RtS,CZ01,cDXGF,35121813687.52,0.0,30112885327.42,35121813687.52,0.0,30112885327.42
RtS,CZ01,cDXHP,0.0,8716039462.81,33035574145.94,0.0,8919828488.0,33035574145.94
RtS,CZ01,cPTAC,0.0,0.0,26756603198.55,0.0,0.0,26756603198.55
RtS,CZ01,cPVVG,1567309.97,0.0,0.0,35166589863.13,0.0,29760692863.0
RtS,CZ02,cDXGF,31765827879.62,0.0,65105758857.07,31804485970.71,0.0,65105758857.07
RtS,CZ02,cDXHP,0.0,7919902036.59,67091018998.37,0.0,8260079317.23,67091018998.37
RtS,CZ02,cPTAC,0.0,0.0,62354313796.48,0.0,0.0,62354313796.48
RtS,CZ02,cPVVG,452873451.99,0.0,2890543.71,32031381214.07,0.0,64401588873.67
RtS,CZ03,cDXGF,17675162526.47,0.0,56600508826.87,17675162526.47,0.0,56600508826.87
RtS,CZ03,cDXHP,0.0,4169749254.29,58930853887.4,0.0,4217834280.1,58930853887.4
RtS,CZ03,cPTAC,0.0,0.0,54725762472.56,0.0,0.0,54725762472.56
RtS,CZ03,cPVVG,29791856.16,0.0,0.0,17806625797.29,0.0,55932393426.07
RtS,CZ04,cDXGF,24809776954.72,0.0,87810012484.34,24809776954.72,0.0,88260113778.01
RtS,CZ04,cDXHP,0.0,6289420207.66,89119671565.32,0.0,6605325173.8,89119671565.32
RtS,CZ04,cPTAC,0.0,0.0,85003723172.44,0.0,0.0,85453824426.35
RtS,CZ04,cPVVG,344713831.8,0.0,32948753.37,25054730868.66,0.0,87504957016.62
RtS,CZ05,cDXGF,14760573219.57,0.0,58765599628.18,14760573219.57,0.0,58918239565.04
RtS,CZ05,cDXHP,0.0,3522961202.76,61143170500.27,0.0,3595622439.49,61143170500.27
RtS,CZ05,cPTAC,0.0,0.0,56832661804.7,0.0,0.0,56985300460.8
RtS,CZ05,cPVVG,46786307.07,0.0,0.0,14865838819.81,0.0,58220393776.79
RtS,CZ06,cDXGF,4135021801.7,0.0,84195356101.47,4135021801.7,0.0,84735366819.72
RtS,CZ06,cDXHP,0.0,946379307.56,86185014936.1,0.0,946379307.56,86185014936.1
RtS,CZ06,cPTAC,0.0,0.0,83606587944.23,0.0,0.0,84146598662.48
RtS,CZ06,cPVVG,0.0,0.0,0.0,4208592681.25,0.0,83924301074.87
RtS,CZ07,cDXGF,3817576199.31,0.0,83368089699.22,3817576199.31,0.0,83611458906.6
RtS,CZ07,cDXHP,0.0,866872547.17,84984883722.66,0.0,866872547.17,84984883722.66
RtS,CZ07,cPTAC,0.0,0.0,82799962444.01,0.0,0.0,83043331651.39
RtS,CZ07,cPVVG,0.0,0.0,0.0,3889601862.24,0.0,82786989749.81
RtS,CZ08,cDXGF,5034786915.33,0.0,105411618404.32,5034786915.33,0.0,106004258607.93
RtS,CZ08,cDXHP,0.0,1178038775.33,107019657594.12,0.0,1178038775.33,107069155179.61
RtS,CZ08,cPTAC,0.0,0.0,104659508975.58,0.0,0.0,105252149179.19
RtS,CZ08,cPVVG,0.0,0.0,7927079.65,5139309725.22,0.0,105066104521.88
RtS,CZ09,cDXGF,7487972875.41,0.0,106191835784.23,7487972875.41,0.0,106966315659.04
RtS,CZ09,cDXHP,0.0,1797098606.23,107296113180.08,0.0,1797098606.23,107584476612.42
RtS,CZ09,cPTAC,0.0,0.0,105288308261.83,0.0,0.0,106062788136.64
RtS,CZ09,cPVVG,0.0,0.0,35947487.31,7647611514.25,0.0,106008855929.62
RtS,CZ10,cDXGF,10250994452.09,0.0,112687466646.33,10250994452.09,0.0,113372474949.72
RtS,CZ10,cDXHP,0.0,2458263399.91,113100111183.18,0.0,2465150044.89,113545610920.64
RtS,CZ10,cPTAC,0.0,0.0,111595420623.19,0.0,0.0,112280428926.57
RtS,CZ10,cPVVG,10103694.63,0.0,40741548.48,10464574294.56,0.0,112378683100.55
RtS,CZ11,cDXGF,28767686008.64,0.0,108632875085.88,28767686008.64,0.0,109307175027.99
RtS,CZ11,cDXHP,0.0,7270016235.95,109423921157.02,0.0,7466760317.24,109495680710.63
RtS,CZ11,cPTAC,0.0,0.0,106608050938.6,0.0,0.0,107282350879.2
RtS,CZ11,cPVVG,679390651.06,0.0,310678707.4,29282229122.32,0.0,108463926004.0
RtS,CZ12,cDXGF,28403425920.04,0.0,89594169216.26,28403425920.04,0.0,89825225318.29
RtS,CZ12,cDXHP,0.0,7117262797.6,91110854547.23,0.0,7278083693.82,91110854547.23
RtS,CZ12,cPTAC,0.0,0.0,87481486493.39,0.0,0.0,87712542595.42
RtS,CZ12,cPVVG,468500098.61,0.0,43294096.3,28785356031.31,0.0,89083895329.22
RtS,CZ13,cDXGF,22543755203.98,0.0,116824445051.13,22543755203.98,0.0,117401288214.82
RtS,CZ13,cDXHP,0.0,5647822712.51,117630150833.64,0.0,5712878088.91,117722507038.55
RtS,CZ13,cPTAC,0.0,0.0,115134181477.39,0.0,0.0,115711024641.08
RtS,CZ13,cPVVG,239775380.9,0.0,392124902.21,22990826490.76,0.0,116508844601.84
RtS,CZ14,cDXGF,16270179226.25,0.0,106275279612.26,16270179226.25,0.0,107302617642.84
RtS,CZ14,cDXHP,0.0,4310303157.06,107209019575.82,0.0,4587582392.63,107422908274.72
RtS,CZ14,cPTAC,0.0,0.0,104151520397.99,0.0,0.0,105178858428.57
RtS,CZ14,cPVVG,138616846.06,0.0,83790518.42,16480671128.2,0.0,106431347380.54
RtS,CZ15,cDXGF,1546825762.12,0.0,178537737825.31,1546825762.12,0.0,180581607417.33
RtS,CZ15,cDXHP,0.0,378531855.41,178538267522.33,0.0,378531855.41,180582137114.35
RtS,CZ15,cPTAC,0.0,0.0,178138709977.63,0.0,0.0,180182579569.65
RtS,CZ15,cPVVG,0.0,0.0,2081745778.21,1589018662.45,0.0,179300272250.55
RtS,CZ16,cDXGF,49810515576.66,0.0,56197260176.24,49810515576.66,0.0,56197260176.24
RtS,CZ16,cDXHP,0.0,13546119439.13,57002247674.22,0.0,15699416962.46,57002247674.22
RtS,CZ16,cPTAC,0.0,0.0,53270056053.5,0.0,0.0,53270056053.5
RtS,CZ16,cPVVG,2507061200.5,0.0,2142744.79,50269787681.11,0.0,55519502704.54
