Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
SCn,CZ01,cDXGF,20108841208.45,0.0,0.0,1500003758944.49,0.0,334141806396.66
SCn,CZ01,cDXHP,0.0,4594054927.01,0.0,0.0,358327168704.99,324741941300.68
SCn,CZ01,cPTAC,0.0,0.0,0.0,0.0,0.0,326426504602.02
SCn,CZ01,cPVVG,21748200286.4,0.0,0.0,1914691899131.42,0.0,232168980301.41
SCn,CZ02,cDXGF,28254330113.67,0.0,0.0,930263711192.54,0.0,1022403325101.9
SCn,CZ02,cDXHP,0.0,6559103193.75,0.0,0.0,227671981866.16,1022123270284.29
SCn,CZ02,cPTAC,0.0,0.0,0.0,0.0,0.0,1008400736261.05
SCn,CZ02,cPVVG,30578248973.02,0.0,0.0,1222646961273.25,0.0,851102800376.93
SCn,CZ03,cDXGF,19203797719.48,0.0,0.0,598571282880.57,0.0,755411454057.31
SCn,CZ03,cDXHP,0.0,4252389335.06,0.0,0.0,137298377118.62,752949721176.65
SCn,CZ03,cPTAC,0.0,0.0,0.0,0.0,0.0,747830280096.66
SCn,CZ03,cPVVG,20135479487.59,0.0,0.0,713032549787.21,0.0,670887840981.8
SCn,CZ04,cDXGF,27212038875.53,0.0,0.0,665697126204.74,0.0,1471108884087.43
SCn,CZ04,cDXHP,0.0,6271353547.72,0.0,0.0,166135880702.66,1470801241362.97
SCn,CZ04,cPTAC,0.0,0.0,0.0,0.0,0.0,1456352252441.74
SCn,CZ04,cPVVG,30337411043.68,0.0,0.0,983842222112.89,0.0,1273773926604.26
SCn,CZ05,cDXGF,17915501568.84,0.0,0.0,414885374386.23,0.0,744501094314.99
SCn,CZ05,cDXHP,0.0,3947544364.29,0.0,0.0,96266546615.6,742210823950.48
SCn,CZ05,cPTAC,0.0,0.0,0.0,0.0,0.0,729824401801.8
SCn,CZ05,cPVVG,19230876178.11,0.0,0.0,542881933106.33,0.0,614552087463.4
SCn,CZ06,cDXGF,3561779468.75,0.0,0.0,140381081972.54,0.0,1213319147426.23
SCn,CZ06,cDXHP,0.0,781733412.92,0.0,0.0,30807332089.61,1216840180452.48
SCn,CZ06,cPTAC,0.0,0.0,0.0,0.0,0.0,1207045476029.04
SCn,CZ06,cPVVG,3590135908.04,0.0,0.0,147820538732.27,0.0,1185665880836.73
SCn,CZ07,cDXGF,1301076215.3,0.0,0.0,105045410665.12,0.0,1253367042516.62
SCn,CZ07,cDXHP,0.0,285365550.46,0.0,0.0,22654973070.65,1257193413418.7
SCn,CZ07,cPTAC,0.0,0.0,0.0,0.0,0.0,1247349769068.89
SCn,CZ07,cPVVG,1311154818.79,0.0,0.0,113775102470.66,0.0,1217805736320.03
SCn,CZ08,cDXGF,5391487472.52,0.0,0.0,171559831731.0,0.0,1757575989172.01
SCn,CZ08,cDXHP,0.0,1226608429.48,0.0,0.0,38469859664.18,1757519538598.14
SCn,CZ08,cPTAC,0.0,0.0,0.0,0.0,0.0,1748044759806.2
SCn,CZ08,cPVVG,5856529432.85,0.0,0.0,228116250229.76,0.0,1633254528126.92
SCn,CZ09,cDXGF,14686916972.73,0.0,0.0,261074888796.25,0.0,1771320330624.92
SCn,CZ09,cDXHP,0.0,2834409780.02,0.0,0.0,59182032629.52,1771211137217.88
SCn,CZ09,cPTAC,0.0,0.0,0.0,0.0,0.0,1757674001824.31
SCn,CZ09,cPVVG,16030757035.97,0.0,0.0,345904358451.46,0.0,1631386712321.66
SCn,CZ10,cDXGF,13323006273.2,0.0,0.0,234485569923.33,0.0,1788566357497.95
SCn,CZ10,cDXHP,0.0,3152043695.86,0.0,0.0,53889330583.02,1788436530548.1
SCn,CZ10,cPTAC,0.0,0.0,0.0,0.0,0.0,1776486846656.56
SCn,CZ10,cPVVG,14220347855.69,0.0,0.0,294349284396.41,0.0,1690088269695.51
SCn,CZ11,cDXGF,36781504138.01,0.0,411075211.15,969417164947.32,0.0,1868805438776.05
SCn,CZ11,cDXHP,0.0,8935305719.56,411075520.71,0.0,237727138527.62,1868690737282.81
SCn,CZ11,cPTAC,0.0,0.0,411075211.07,0.0,0.0,1857021884675.89
SCn,CZ11,cPVVG,39435340830.56,0.0,371128647.66,1292072725602.11,0.0,1749108459916.62
SCn,CZ12,cDXGF,30419904883.14,0.0,0.0,993256008726.92,0.0,1515553961377.12
SCn,CZ12,cDXHP,0.0,5993887984.06,0.0,0.0,237770634452.51,1515408877992.06
SCn,CZ12,cPTAC,0.0,0.0,0.0,0.0,0.0,1507259322819.46
SCn,CZ12,cPVVG,32504752516.1,0.0,0.0,1242109687895.09,0.0,1409401958459.42
SCn,CZ13,cDXGF,23761134785.94,0.0,0.0,814648636937.82,0.0,2148672470214.82
SCn,CZ13,cDXHP,0.0,5409138974.01,0.0,0.0,196853639240.65,2148593053016.26
SCn,CZ13,cPTAC,0.0,0.0,0.0,0.0,0.0,2140637201531.04
SCn,CZ13,cPVVG,22965150736.54,0.0,0.0,1087059219040.8,0.0,2024606703826.14
SCn,CZ14,cDXGF,25969845188.97,0.0,240395932.66,712304945900.11,0.0,1897058855986.12
SCn,CZ14,cDXHP,0.0,7322259008.23,240395932.66,0.0,186621403373.23,1896624069888.69
SCn,CZ14,cPTAC,0.0,0.0,240395932.66,0.0,0.0,1880614665871.01
SCn,CZ14,cPVVG,28853237402.53,0.0,214018930.51,1025300046475.32,0.0,1689463362741.2
SCn,CZ15,cDXGF,14903077923.75,0.0,922787895.56,117093192040.91,0.0,3287769383669.17
SCn,CZ15,cDXHP,0.0,3641980979.19,922788391.32,0.0,27471533913.88,3287716642496.69
SCn,CZ15,cPTAC,0.0,0.0,922787927.44,0.0,0.0,3281809089553.0
SCn,CZ15,cPVVG,16769192137.8,0.0,832087107.87,151995771904.15,0.0,3112569523838.08
SCn,CZ16,cDXGF,41155982047.62,0.0,0.0,1707866361076.16,0.0,1020747562846.0
SCn,CZ16,cDXHP,0.0,11980096109.4,0.0,0.0,480929623282.11,1028624937291.25
SCn,CZ16,cPTAC,0.0,0.0,0.0,0.0,0.0,997770795480.21
SCn,CZ16,cPVVG,46558344323.31,0.0,0.0,2434067397881.92,0.0,786190427069.04
