Filename,Measure,BldgType,BldgLoc,BldgHVAC,Run Type,Cooling Capacity,Heating Capacity,Conditioned Area,Electricity Heating,Natural Gas Heating,Electricity Cooling,Electricity Fans,Unmet Hours Heating,Unmet Hours Cooling
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ01\Asm\M1-cDXGF-Base\instance0601200850\eplustbl.csv,M1,Asm,CZ01,cDXGF,Base,328817.37,684222.43,3159.02,0.0,603234.86,1870.49,305531.06,4.5,0.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ02\Asm\M1-cDXGF-Base\instance0601211705\eplustbl.csv,M1,Asm,CZ02,cDXGF,Base,474977.91000000003,730086.17,3159.02,0.0,456843.28,71269.81,330467.27,2.17,0.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ03\Asm\M1-cDXGF-Base\instance0601224134\eplustbl.csv,M1,Asm,CZ03,cDXGF,Base,399069.62,651241.7000000001,3159.02,0.0,281644.09,29171.05,316503.41,0.67,0.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ04\Asm\M1-cDXGF-Base\instance0602000211\eplustbl.csv,M1,Asm,CZ04,cDXGF,Base,534659.39,753041.17,3159.02,0.0,394378.02,130295.89,349484.08,0.0,1.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ05\Asm\M1-cDXGF-Base\instance0602014252\eplustbl.csv,M1,Asm,CZ05,cDXGF,Base,403942.15,680161.6799999999,3159.02,0.0,300573.25,36867.0,322424.88,0.33,0.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ06\Asm\M1-cDXGF-Base\instance0602031608\eplustbl.csv,M1,Asm,CZ06,cDXGF,Base,410725.44,589398.65,3159.02,0.0,75909.02,74418.79,329967.01,0.0,6.17
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ07\Asm\M1-cDXGF-Base\instance0602044607\eplustbl.csv,M1,Asm,CZ07,cDXGF,Base,425590.33999999997,591696.95,3159.02,0.0,67448.36,82175.51,330469.01,0.0,4.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ08\Asm\M1-cDXGF-Base\instance0602061742\eplustbl.csv,M1,Asm,CZ08,cDXGF,Base,509578.79000000004,641038.01,3159.02,0.0,104532.57,138855.21,340938.18,0.0,7.67
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ09\Asm\M1-cDXGF-Base\instance0602075530\eplustbl.csv,M1,Asm,CZ09,cDXGF,Base,535859.49,651632.43,3159.02,0.0,131389.33,145626.05,351910.93,0.0,9.17
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ10\Asm\M1-cDXGF-Base\instance0602093920\eplustbl.csv,M1,Asm,CZ10,cDXGF,Base,535406.1,662729.13,3159.02,0.0,147795.66,170277.31,344799.9,0.0,11.83
