Filename,Measure,BldgType,BldgLoc,BldgHVAC,Run Type,Cooling Capacity,Heating Capacity,Conditioned Area,Electricity Heating,Natural Gas Heating,Electricity Cooling,Electricity Fans,Unmet Hours Heating,Unmet Hours Cooling
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Htl_Ex\runs\CZ01\Htl\M1-cDXGF-Base\instance0820224005\eplustbl.csv,M1,Htl,CZ01,cDXGF,Base,116292.4,203059.06,6369.28,0.0,229422.2,7221.34,132294.94,11.5,0.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Htl_Ex\runs\CZ02\Htl\M1-cDXGF-Base\instance0820230405\eplustbl.csv,M1,Htl,CZ02,cDXGF,Base,172239.47999999998,225245.37,6369.28,0.0,155761.6,52211.86,155265.93,5.5,43.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Htl_Ex\runs\CZ03\Htl\M1-cDXGF-Base\instance0820232435\eplustbl.csv,M1,Htl,CZ03,cDXGF,Base,152181.27,208523.97999999998,6369.28,0.0,90677.5,27176.46,156411.23,4.33,6.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Htl_Ex\runs\CZ04\Htl\M1-cDXGF-Base\instance0820234139\eplustbl.csv,M1,Htl,CZ04,cDXGF,Base,186335.94999999998,228880.41000000003,6369.28,0.0,124622.17,97103.8,158376.7,2.83,264.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Htl_Ex\runs\CZ05\Htl\M1-cDXGF-Base\instance0820235956\eplustbl.csv,M1,Htl,CZ05,cDXGF,Base,147338.71,213853.09999999998,6369.28,0.0,78352.14,30397.14,156471.45,3.67,28.5
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Htl_Ex\runs\CZ06\Htl\M1-cDXGF-Base\instance0821001554\eplustbl.csv,M1,Htl,CZ06,cDXGF,Base,143722.6,187211.64,6369.28,0.0,18466.9,61818.58,148692.06,0.67,27.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Htl_Ex\runs\CZ07\Htl\M1-cDXGF-Base\instance0821003120\eplustbl.csv,M1,Htl,CZ07,cDXGF,Base,148723.54,186200.48,6369.28,0.0,13803.32,61303.45,145964.31,0.17,22.67
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Htl_Ex\runs\CZ08\Htl\M1-cDXGF-Base\instance0821004742\eplustbl.csv,M1,Htl,CZ08,cDXGF,Base,181063.32000000004,205066.53999999998,6369.28,0.0,22959.98,109831.8,160103.53,0.33,104.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Htl_Ex\runs\CZ09\Htl\M1-cDXGF-Base\instance0821010321\eplustbl.csv,M1,Htl,CZ09,cDXGF,Base,188982.46,208585.22,6369.28,0.0,36009.07,114609.66,166075.45,1.0,114.67
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Htl_Ex\runs\CZ10\Htl\M1-cDXGF-Base\instance0821012153\eplustbl.csv,M1,Htl,CZ10,cDXGF,Base,193082.58,211367.04,6369.28,0.0,38510.71,131270.84,163022.31,1.33,185.67
