Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
ECC,CZ01,cDXGF,126914443642.13,0.0,87319666.57,780791617267.35,0.0,31025799563.65
ECC,CZ01,cDXHP,0.0,33587535870.29,88062280.6,0.0,195963550220.06,29818729996.55
ECC,CZ01,cPTAC,0.0,0.0,83850965.7,0.0,0.0,29977370807.57
ECC,CZ01,cPVVG,159705672307.49,0.0,56786116.64,1148762426992.12,0.0,48048703803.53
ECC,CZ02,cDXGF,166344857223.37,0.0,17093004903.19,602208501026.34,0.0,577994653768.93
ECC,CZ02,cDXHP,0.0,44560538922.42,17286290417.0,0.0,156137256056.48,578291204871.6
ECC,CZ02,cPTAC,0.0,0.0,17007212263.18,0.0,0.0,573723126887.92
ECC,CZ02,cPVVG,220213026262.26,0.0,13196998834.08,891147155174.8,0.0,553672024255.97
ECC,CZ03,cDXGF,75599903308.27,0.0,4799109713.58,311849032902.84,0.0,250009811498.47
ECC,CZ03,cDXHP,0.0,19091579855.85,4858399885.36,0.0,76499205247.18,249047822277.25
ECC,CZ03,cPTAC,0.0,0.0,4793451192.4,0.0,0.0,249070917840.22
ECC,CZ03,cPVVG,103513832593.47,0.0,3635291318.83,496140490490.17,0.0,272310728982.71
ECC,CZ04,cDXGF,140823034361.14,0.0,50152353193.04,495150323508.75,0.0,956687133639.4
ECC,CZ04,cDXHP,0.0,38664252753.77,50700744839.35,0.0,132228148609.26,965592368277.83
ECC,CZ04,cPTAC,0.0,0.0,50075997041.1,0.0,0.0,951089886873.01
ECC,CZ04,cPVVG,192779655294.59,0.0,40895810388.43,739706672756.74,0.0,915755136610.38
ECC,CZ05,cDXGF,50782966850.97,0.0,6055305929.49,289950917116.01,0.0,352472337403.35
ECC,CZ05,cDXHP,0.0,12966231488.82,6184563842.37,0.0,72488589681.21,353179477294.21
ECC,CZ05,cPTAC,0.0,0.0,6032955631.56,0.0,0.0,348726484124.78
ECC,CZ05,cPVVG,72946983463.96,0.0,5044834146.06,478277266411.53,0.0,357390566611.87
ECC,CZ06,cDXGF,1408737176.92,0.0,12292646285.75,52566599191.85,0.0,714155881562.1
ECC,CZ06,cDXHP,0.0,347325701.76,12449477026.93,0.0,12491998890.24,694311150461.7
ECC,CZ06,cPTAC,0.0,0.0,12286251560.87,0.0,0.0,713524182759.14
ECC,CZ06,cPVVG,2103882191.25,0.0,9515853682.43,104763622190.64,0.0,714193358808.37
ECC,CZ07,cDXGF,0.0,0.0,12534853786.83,47219034112.32,0.0,760993806860.15
ECC,CZ07,cDXHP,0.0,0.0,12668796197.53,0.0,11210510032.99,745286442738.95
ECC,CZ07,cPTAC,0.0,0.0,12530380511.78,0.0,0.0,760420278731.29
ECC,CZ07,cPVVG,0.0,0.0,9265394582.22,97169088610.55,0.0,736206752496.29
ECC,CZ08,cDXGF,2540122238.38,0.0,35717137855.67,72737593859.08,0.0,1189934629213.76
ECC,CZ08,cDXHP,0.0,632907281.79,35883040369.11,0.0,17802979422.52,1185710637637.68
ECC,CZ08,cPTAC,0.0,0.0,35694621744.94,0.0,0.0,1188383704990.75
ECC,CZ08,cPVVG,3881764009.9,0.0,26296420981.3,133298323701.36,0.0,1137006176790.26
ECC,CZ09,cDXGF,16663556729.66,0.0,47522980145.38,110699259428.15,0.0,1183649320699.67
ECC,CZ09,cDXHP,0.0,4295262951.07,47654222581.99,0.0,27537742914.58,1182823643633.56
ECC,CZ09,cPTAC,0.0,0.0,47505462451.8,0.0,0.0,1181756568173.25
ECC,CZ09,cPVVG,25469723579.9,0.0,34961211883.31,195752022686.74,0.0,1124399276214.44
ECC,CZ10,cDXGF,16825117513.29,0.0,56676487142.67,140433669572.28,0.0,1325485314283.24
ECC,CZ10,cDXHP,0.0,4294773245.02,56734125461.93,0.0,35143740422.9,1325498500760.97
ECC,CZ10,cPTAC,0.0,0.0,56640974074.63,0.0,0.0,1322983787063.94
ECC,CZ10,cPVVG,28059580697.39,0.0,43210973041.2,243634901432.0,0.0,1258991018610.85
ECC,CZ11,cDXGF,200211095744.15,0.0,118491236432.85,563690057095.33,0.0,1374198489456.83
ECC,CZ11,cDXHP,0.0,55430002685.32,119266002487.57,0.0,147620495746.18,1382329033511.08
ECC,CZ11,cPTAC,0.0,0.0,118459163139.19,0.0,0.0,1371383598384.37
ECC,CZ11,cPVVG,264613419625.21,0.0,95887444286.51,837572879245.24,0.0,1303639281963.12
ECC,CZ12,cDXGF,196704023840.03,0.0,49786931667.35,552700967110.27,0.0,943706771270.03
ECC,CZ12,cDXHP,0.0,52239876360.94,50148546260.63,0.0,142688746035.12,946143738073.88
ECC,CZ12,cPTAC,0.0,0.0,49758723166.86,0.0,0.0,941641212506.53
ECC,CZ12,cPVVG,263640505334.75,0.0,39963112172.28,818624785919.24,0.0,907590089198.38
ECC,CZ13,cDXGF,178188173597.99,0.0,124211412459.61,435445077946.11,0.0,1446934579056.26
ECC,CZ13,cDXHP,0.0,47173465042.58,124772022692.17,0.0,112496429170.95,1451968476866.2
ECC,CZ13,cPTAC,0.0,0.0,124203096194.9,0.0,0.0,1445823840032.01
ECC,CZ13,cPVVG,250347202935.56,0.0,98985471626.58,672248141604.69,0.0,1375031021907.14
ECC,CZ14,cDXGF,111711805507.66,0.0,93628579849.48,397415881539.5,0.0,1374142910912.01
ECC,CZ14,cDXHP,0.0,33018597483.77,94487477802.32,0.0,111343317439.06,1387839310351.47
ECC,CZ14,cPTAC,0.0,0.0,93588731912.61,0.0,0.0,1370542873750.42
ECC,CZ14,cPVVG,151455499174.25,0.0,72987051920.87,603957055271.44,0.0,1303323742805.1
ECC,CZ15,cDXGF,6870545014.39,0.0,293802451778.23,35122420457.93,0.0,2647543605955.57
ECC,CZ15,cDXHP,0.0,1809018373.24,293866695745.16,0.0,8816153796.19,2648000359288.78
ECC,CZ15,cPTAC,0.0,0.0,293791693251.91,0.0,0.0,2646743247044.61
ECC,CZ15,cPVVG,10795384313.19,0.0,237126790039.67,69183389940.46,0.0,2507353839405.69
ECC,CZ16,cDXGF,262292341116.23,0.0,11625200420.91,988957345409.17,0.0,441177672682.54
ECC,CZ16,cDXHP,0.0,81611954062.55,11728635988.04,0.0,295796500891.84,447659511697.83
ECC,CZ16,cPTAC,0.0,0.0,11618144843.11,0.0,0.0,438716576355.02
ECC,CZ16,cPVVG,345402358968.82,0.0,7392779102.64,1435963806497.12,0.0,422163107239.93
