Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
ERC,CZ01,cDXGF,7849042952.0,0.0,0.0,24698025875.01,0.0,72885618.08
ERC,CZ01,cDXHP,0.0,2030737797.31,0.0,0.0,6061008207.0,73902694.3
ERC,CZ01,cPTAC,0.0,0.0,0.0,0.0,0.0,66181687.54
ERC,CZ01,cPVVG,9509981375.81,0.0,0.0,30979671235.93,0.0,97246211.14
ERC,CZ02,cDXGF,5416465203.86,0.0,68927164.53,14670653358.73,0.0,3738993875.87
ERC,CZ02,cDXHP,0.0,1441226233.62,69775102.76,0.0,3746560974.48,3756922004.32
ERC,CZ02,cPTAC,0.0,0.0,66719384.11,0.0,0.0,3690598332.59
ERC,CZ02,cPVVG,6877954688.2,0.0,48761010.64,19531644462.33,0.0,3458938923.47
ERC,CZ03,cDXGF,2965822291.49,0.0,3762841.5,9294159827.64,0.0,1346726003.85
ERC,CZ03,cDXHP,0.0,745918443.3,3843094.25,0.0,2254112173.99,1353784622.0
ERC,CZ03,cPTAC,0.0,0.0,3739137.1,0.0,0.0,1336718904.65
ERC,CZ03,cPVVG,3903843200.12,0.0,2779058.71,12968208252.0,0.0,1383406180.84
ERC,CZ04,cDXGF,4365967004.57,0.0,482006567.2,11499616482.69,0.0,7129596249.05
ERC,CZ04,cDXHP,0.0,1205978255.93,489692655.51,0.0,3039356053.61,7233803342.13
ERC,CZ04,cPTAC,0.0,0.0,481715325.95,0.0,0.0,7081595673.68
ERC,CZ04,cPVVG,5719777150.78,0.0,387526135.69,15807401473.77,0.0,6644872009.99
ERC,CZ05,cDXGF,2083158161.66,0.0,5123332.77,8283893498.87,0.0,1799950360.49
ERC,CZ05,cDXHP,0.0,537880398.54,5222865.67,0.0,2043303807.36,1813672909.01
ERC,CZ05,cPTAC,0.0,0.0,5090519.75,0.0,0.0,1749446510.23
ERC,CZ05,cPVVG,2813663282.06,0.0,3257317.98,11796239881.96,0.0,1736509902.13
ERC,CZ06,cDXGF,244110462.54,0.0,29824099.13,1855889584.89,0.0,4410022154.95
ERC,CZ06,cDXHP,0.0,59890586.65,30230406.74,0.0,437515545.42,4212764690.66
ERC,CZ06,cPTAC,0.0,0.0,29824000.2,0.0,0.0,4399431378.33
ERC,CZ06,cPVVG,418069371.33,0.0,20707160.89,3249014967.96,0.0,4204303085.23
ERC,CZ07,cDXGF,15551072.5,0.0,24524063.27,1488699070.48,0.0,4793063244.0
ERC,CZ07,cDXHP,0.0,3812351.49,24826930.9,0.0,349017374.56,4631131728.51
ERC,CZ07,cPTAC,0.0,0.0,24524062.9,0.0,0.0,4783514880.96
ERC,CZ07,cPVVG,34483903.04,0.0,17790039.56,2663961599.69,0.0,4374197086.57
ERC,CZ08,cDXGF,382842207.44,0.0,238369254.28,2250446113.38,0.0,8461525900.28
ERC,CZ08,cDXHP,0.0,95221862.31,239440682.86,0.0,544613157.37,8382466278.46
ERC,CZ08,cPTAC,0.0,0.0,238346229.74,0.0,0.0,8437181479.73
ERC,CZ08,cPVVG,663348995.97,0.0,155988284.12,3782094619.05,0.0,7760664455.59
ERC,CZ09,cDXGF,859698810.22,0.0,356897067.89,3138020882.61,0.0,8576054794.37
ERC,CZ09,cDXHP,0.0,218209641.03,358052202.49,0.0,772287936.09,8552028488.49
ERC,CZ09,cPTAC,0.0,0.0,356851959.63,0.0,0.0,8549610673.45
ERC,CZ09,cPVVG,1386568232.34,0.0,246892020.79,5124446645.12,0.0,7852543799.27
ERC,CZ10,cDXGF,782048608.05,0.0,434370236.79,3260188676.9,0.0,9566450643.59
