Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Epr,CZ01,cDXGF,2619474956.78,0.0,5273615.39,5297250194.89,0.0,198648109372.25
Epr,CZ01,cDXHP,0.0,719804829.53,5259960.82,0.0,1389646318.56,197812398073.65
Epr,CZ01,cPTAC,0.0,0.0,5273615.34,0.0,0.0,198212511508.06
Epr,CZ01,cPVVG,8881978690.55,0.0,3026861.02,14747418837.9,0.0,174928741195.41
Epr,CZ02,cDXGF,2079819504.65,0.0,2095317823.15,3580747767.37,0.0,259814348249.02
Epr,CZ02,cDXHP,0.0,571212527.49,2083548986.46,0.0,953413963.67,259731441572.07
Epr,CZ02,cPTAC,0.0,0.0,2095309262.84,0.0,0.0,259538370091.89
Epr,CZ02,cPVVG,9019290481.83,0.0,1385785542.66,12398675475.3,0.0,232729639741.08
Epr,CZ03,cDXGF,769897605.16,0.0,907991696.96,1629192454.23,0.0,249103644443.11
Epr,CZ03,cDXHP,0.0,198068381.2,901584846.39,0.0,401964908.91,248545562929.88
Epr,CZ03,cPTAC,0.0,0.0,907508361.72,0.0,0.0,248955342543.45
Epr,CZ03,cPVVG,4016387140.33,0.0,573171439.4,5845131784.43,0.0,223700575389.73
Epr,CZ04,cDXGF,941865422.8,0.0,5738317577.7,1767274807.44,0.0,297541644982.14
Epr,CZ04,cDXHP,0.0,259609347.97,5724489531.34,0.0,477219918.29,297052232168.5
Epr,CZ04,cPTAC,0.0,0.0,5738386131.76,0.0,0.0,297415019858.63
Epr,CZ04,cPVVG,6132938657.22,0.0,3919487774.34,8004755025.32,0.0,268023998290.62
Epr,CZ05,cDXGF,373796146.03,0.0,893872907.75,900856847.83,0.0,253515953370.93
Epr,CZ05,cDXHP,0.0,95670234.86,886448135.32,0.0,225734487.67,253265634918.27
Epr,CZ05,cPTAC,0.0,0.0,893781692.33,0.0,0.0,253438665968.12
Epr,CZ05,cPVVG,2384739275.31,0.0,563456509.37,3463730107.59,0.0,228216828688.74
Epr,CZ06,cDXGF,1540659.86,0.0,2834025996.26,144905845.7,0.0,287652337785.54
Epr,CZ06,cDXHP,0.0,386317.33,2822912752.31,0.0,32537494.01,288129565042.11
Epr,CZ06,cPTAC,0.0,0.0,2833996808.51,0.0,0.0,287629118919.56
Epr,CZ06,cPVVG,8021860.84,0.0,1872849329.42,284146383.64,0.0,262992781430.97
Epr,CZ07,cDXGF,0.0,0.0,2642194093.91,90343326.25,0.0,287683307032.36
Epr,CZ07,cDXHP,0.0,0.0,2634078966.68,0.0,20295094.65,287536841933.89
Epr,CZ07,cPTAC,0.0,0.0,2642186901.68,0.0,0.0,287669143569.8
Epr,CZ07,cPVVG,0.0,0.0,1717914664.16,187721970.95,0.0,261584323338.9
Epr,CZ08,cDXGF,11235362.73,0.0,6473726848.62,228436580.53,0.0,320789324816.75
Epr,CZ08,cDXHP,0.0,2831010.57,6464810802.85,0.0,55026752.39,320896581803.43
Epr,CZ08,cPTAC,0.0,0.0,6474499415.66,0.0,0.0,320753878671.5
Epr,CZ08,cPVVG,50827089.03,0.0,4327612134.96,479066331.99,0.0,292248163925.38
Epr,CZ09,cDXGF,77473845.78,0.0,7890900724.99,395827136.2,0.0,324304820364.71
Epr,CZ09,cDXHP,0.0,20223481.69,7882599745.1,0.0,98413312.51,324368857634.8
