Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Ese,CZ01,cDXGF,5823362078.21,0.0,150914138115.54,5823362078.21,0.0,151122641684.49
Ese,CZ01,cDXHP,0.0,1548236850.22,151001327995.97,0.0,1548236850.22,151001327995.97
Ese,CZ01,cPTAC,0.0,0.0,150657250995.82,0.0,0.0,150865752883.33
Ese,CZ01,cPVVG,3585679297.59,0.0,707328709.88,129904575204.67,0.0,179510542908.7
Ese,CZ02,cDXGF,7659963485.75,0.0,197373977446.54,7659963485.75,0.0,197373977446.54
Ese,CZ02,cDXHP,0.0,2098507313.8,197675747861.32,0.0,2098507313.8,197675747861.32
Ese,CZ02,cPTAC,0.0,0.0,197103952079.87,0.0,0.0,197103952079.87
Ese,CZ02,cPVVG,11894074097.14,0.0,3526118682.7,132041526248.18,0.0,418054854938.58
Ese,CZ03,cDXGF,2853889993.28,0.0,189483605219.8,2853889993.28,0.0,189483605219.8
Ese,CZ03,cDXHP,0.0,726082079.05,189831079437.39,0.0,726082079.05,189831079437.39
Ese,CZ03,cPTAC,0.0,0.0,189351006380.53,0.0,0.0,189351006380.53
Ese,CZ03,cPVVG,1906058899.34,0.0,2545605848.94,76773113299.73,0.0,341579010469.84
Ese,CZ04,cDXGF,5925877017.01,0.0,228542375381.67,5925877017.01,0.0,228542375381.67
Ese,CZ04,cDXHP,0.0,1645066584.31,229201672170.0,0.0,1645066584.31,229201672170.0
Ese,CZ04,cPTAC,0.0,0.0,228356103075.83,0.0,0.0,228356103075.83
Ese,CZ04,cPVVG,9275934195.28,0.0,6231145061.76,113602732386.37,0.0,544736004590.53
Ese,CZ05,cDXGF,2409827730.42,0.0,194473948354.44,2409827730.42,0.0,194473948354.44
Ese,CZ05,cDXHP,0.0,633970104.42,194626477020.11,0.0,633970104.42,194626477020.11
Ese,CZ05,cPTAC,0.0,0.0,194378376731.88,0.0,0.0,194378376731.88
Ese,CZ05,cPVVG,1828006581.39,0.0,3046393443.87,77633569657.03,0.0,372051718137.49
Ese,CZ06,cDXGF,358909848.82,0.0,220448205213.72,358909848.82,0.0,222326609215.28
Ese,CZ06,cDXHP,0.0,89231717.67,222941426360.93,0.0,89231717.67,222941426360.93
Ese,CZ06,cPTAC,0.0,0.0,220430605047.2,0.0,0.0,222309008575.6
Ese,CZ06,cPVVG,0.0,0.0,4290743637.54,24968899435.4,0.0,534165227988.08
Ese,CZ07,cDXGF,298480172.23,0.0,220821508504.45,298480172.23,0.0,221138879056.66
Ese,CZ07,cDXHP,0.0,74038008.85,221640387766.88,0.0,74038008.85,221640387766.88
Ese,CZ07,cPTAC,0.0,0.0,220805341131.22,0.0,0.0,221122711683.38
Ese,CZ07,cPVVG,0.0,0.0,4016817867.86,25182550740.78,0.0,536134525412.82
Ese,CZ08,cDXGF,580017221.48,0.0,250729645976.51,580017221.48,0.0,250729645976.51
Ese,CZ08,cDXHP,0.0,147477607.79,251137242213.38,0.0,147477607.79,251137242213.38
Ese,CZ08,cPTAC,0.0,0.0,250700294732.76,0.0,0.0,250700294732.76
Ese,CZ08,cPVVG,51382333.62,0.0,6698688697.69,32369638094.94,0.0,641448884331.12
Ese,CZ09,cDXGF,1174531611.62,0.0,253331088557.55,1174531611.62,0.0,253331088557.55
Ese,CZ09,cDXHP,0.0,303874486.0,253573017863.29,0.0,303874486.0,253573017863.29
Ese,CZ09,cPTAC,0.0,0.0,253290095689.88,0.0,0.0,253290095689.88
Ese,CZ09,cPVVG,848670121.51,0.0,7633654696.38,39439031600.55,0.0,634747986688.62
Ese,CZ10,cDXGF,1443379886.0,0.0,252380146821.63,1443379886.0,0.0,252380146821.63
Ese,CZ10,cDXHP,0.0,379166121.73,252488209282.74,0.0,379166121.73,252488209282.74
Ese,CZ10,cPTAC,0.0,0.0,252321225380.26,0.0,0.0,252321225380.26
Ese,CZ10,cPVVG,2072138237.38,0.0,6966582661.15,51896717209.9,0.0,677439372037.8
Ese,CZ11,cDXGF,8997879359.6,0.0,248890164677.87,8997879359.6,0.0,248890164677.87
Ese,CZ11,cDXHP,0.0,2481558762.91,249701055348.53,0.0,2481558762.91,249701055348.53
Ese,CZ11,cPTAC,0.0,0.0,248666252872.2,0.0,0.0,248666252872.2
Ese,CZ11,cPVVG,13128319123.52,0.0,10929522505.75,113736840347.86,0.0,640998594585.79
Ese,CZ12,cDXGF,6545485368.11,0.0,224383247497.41,6545485368.11,0.0,224383247497.41
Ese,CZ12,cDXHP,0.0,1781215407.23,225004349490.66,0.0,1781215407.23,225004349490.66
Ese,CZ12,cPTAC,0.0,0.0,224172012475.77,0.0,0.0,224172012475.77
Ese,CZ12,cPVVG,9847521840.69,0.0,6281209242.85,105932748440.61,0.0,538650787976.85
Ese,CZ13,cDXGF,4804238679.88,0.0,261207354439.91,4804238679.88,0.0,261207354439.91
Ese,CZ13,cDXHP,0.0,1298893079.77,261795512092.74,0.0,1298893079.77,261795512092.74
Ese,CZ13,cPTAC,0.0,0.0,261058278649.28,0.0,0.0,261058278649.28
Ese,CZ13,cPVVG,7287659397.64,0.0,11525041066.44,83018854877.01,0.0,683102188458.51
Ese,CZ14,cDXGF,3425107787.56,0.0,255062284377.76,3425107787.56,0.0,255062284377.76
Ese,CZ14,cDXHP,0.0,1036248186.64,256110799720.35,0.0,1036248186.64,256110799720.35
Ese,CZ14,cPTAC,0.0,0.0,254944227152.26,0.0,0.0,254944227152.26
Ese,CZ14,cPVVG,5380404276.51,0.0,8642154714.69,73531974389.6,0.0,636819538942.27
Ese,CZ15,cDXGF,88351715.45,0.0,341652888798.89,88351715.45,0.0,341652888798.89
Ese,CZ15,cDXHP,0.0,23421012.6,341710544505.93,0.0,23421012.6,341710544505.93
Ese,CZ15,cPTAC,0.0,0.0,341646491652.47,0.0,0.0,341646491652.47
Ese,CZ15,cPVVG,116151594.47,0.0,21911433169.8,11855887103.25,0.0,1000299054187.45
Ese,CZ16,cDXGF,17622218007.34,0.0,189027715811.77,17622218007.34,0.0,189027715811.77
Ese,CZ16,cDXHP,0.0,5461188931.37,187927996617.28,0.0,5461188931.37,187927996617.28
Ese,CZ16,cPTAC,0.0,0.0,188640149882.79,0.0,0.0,188640149882.79
Ese,CZ16,cPVVG,33027226873.06,0.0,3866666420.8,177291708419.05,0.0,363305352680.89
