Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Eun,CZ01,cDXGF,8181856620.08,0.0,917469586.9,1531086064599.24,0.0,122789152202.26
Eun,CZ01,cDXHP,0.0,2242789297.48,955371780.92,0.0,389902351567.76,118572083282.67
Eun,CZ01,cPTAC,0.0,0.0,898679813.2,0.0,0.0,123025979722.75
Eun,CZ01,cPVVG,11141233560.07,0.0,371700937.75,2494269484443.46,0.0,97874762316.01
Eun,CZ02,cDXGF,18875928817.58,0.0,33502349754.76,1092620229244.11,0.0,1708403780972.28
Eun,CZ02,cDXHP,0.0,5095596741.4,33971777722.46,0.0,287233762941.58,1711871407588.29
Eun,CZ02,cPTAC,0.0,0.0,33393308023.54,0.0,0.0,1703587639079.75
Eun,CZ02,cPVVG,26303494912.4,0.0,10490912343.16,1846279461572.37,0.0,766528137377.29
Eun,CZ03,cDXGF,2020432846.21,0.0,10491738255.3,583726321094.86,0.0,827854186564.12
Eun,CZ03,cDXHP,0.0,498354504.79,10682352212.27,0.0,144309438473.44,821219289707.79
Eun,CZ03,cPTAC,0.0,0.0,10471746940.99,0.0,0.0,835742818848.59
Eun,CZ03,cPVVG,3468892451.25,0.0,3510603810.4,1076707916207.09,0.0,436389867685.99
Eun,CZ04,cDXGF,16348053878.42,0.0,75681325944.74,969221285909.0,0.0,2680988671403.68
Eun,CZ04,cDXHP,0.0,4331627484.16,76573484463.3,0.0,262092071064.23,2707434017058.16
Eun,CZ04,cPTAC,0.0,0.0,75519077657.79,0.0,0.0,2673556326561.38
Eun,CZ04,cPVVG,25177537351.25,0.0,25653212393.21,1609414486719.45,0.0,1186190837327.64
Eun,CZ05,cDXGF,3199191635.5,0.0,11768389576.3,627514160141.77,0.0,1146291132910.67
Eun,CZ05,cDXHP,0.0,821361502.94,12096249826.18,0.0,159114892680.37,1143740669265.56
Eun,CZ05,cPTAC,0.0,0.0,11722913112.96,0.0,0.0,1146240626831.98
Eun,CZ05,cPVVG,2713958517.66,0.0,4315491428.16,1169054107274.32,0.0,562054571968.94
Eun,CZ06,cDXGF,0.0,0.0,22915447426.63,137677729740.82,0.0,2102365063174.13
Eun,CZ06,cDXHP,0.0,0.0,23250389580.61,0.0,32970322822.73,2051789296849.44
Eun,CZ06,cPTAC,0.0,0.0,22905234081.32,0.0,0.0,2112878244676.57
Eun,CZ06,cPVVG,0.0,0.0,7349323361.54,312529748819.41,0.0,1002498116994.98
Eun,CZ07,cDXGF,0.0,0.0,20625906778.67,104515897711.01,0.0,2277009926694.1
Eun,CZ07,cDXHP,0.0,0.0,20841931846.02,0.0,25001242719.51,2237355750225.43
Eun,CZ07,cPTAC,0.0,0.0,20626743315.1,0.0,0.0,2286436415593.09
Eun,CZ07,cPVVG,0.0,0.0,6040800948.31,253972407737.32,0.0,1039858110577.56
Eun,CZ08,cDXGF,0.0,0.0,52310888596.08,203803902093.18,0.0,3306132504364.2
Eun,CZ08,cDXHP,0.0,0.0,52606441446.21,0.0,50255418713.55,3295375868621.14
Eun,CZ08,cPTAC,0.0,0.0,52282155606.2,0.0,0.0,3310460225394.85
Eun,CZ08,cPVVG,0.0,0.0,15750058800.31,422112663778.79,0.0,1460171649857.13
Eun,CZ09,cDXGF,175206038.67,0.0,63977171942.59,259152491897.83,0.0,3309810119556.69
Eun,CZ09,cDXHP,0.0,47384975.48,64203021519.25,0.0,64769163528.59,3308938071254.27
Eun,CZ09,cPTAC,0.0,0.0,63939423566.15,0.0,0.0,3314747119064.73
Eun,CZ09,cPVVG,238733122.44,0.0,19684166430.61,520623692307.32,0.0,1447443939783.91
Eun,CZ10,cDXGF,165665671.04,0.0,64172155541.6,283113495805.0,0.0,3578575898322.68
Eun,CZ10,cDXHP,0.0,44439658.29,64295927283.98,0.0,71479089391.0,3579726634404.04
Eun,CZ10,cPTAC,0.0,0.0,64144443115.91,0.0,0.0,3580334085083.24
Eun,CZ10,cPVVG,213084171.79,0.0,20238285209.39,560130684699.89,0.0,1574769531694.64
Eun,CZ11,cDXGF,41434109580.39,0.0,136299371565.13,981107733706.48,0.0,3649727448559.27
Eun,CZ11,cDXHP,0.0,11516842514.1,137300414014.3,0.0,258200900423.8,3669983836151.1
Eun,CZ11,cPTAC,0.0,0.0,136270064978.45,0.0,0.0,3646921726676.24
Eun,CZ11,cPVVG,54564754732.81,0.0,48865450195.16,1622065364254.07,0.0,1590198006280.55
Eun,CZ12,cDXGF,11474919868.2,0.0,69099598089.54,937030669879.72,0.0,2585503170608.22
Eun,CZ12,cDXHP,0.0,3047193884.82,69789083785.35,0.0,244207377175.84,2594959589119.67
