Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Gro,CZ01,cDXGF,342522926122.08,0.0,27629328587.66,345859700197.7,0.0,27629328587.66
Gro,CZ01,cDXHP,0.0,81809825523.84,27182386555.32,0.0,83466060281.39,27182386555.32
Gro,CZ01,cPTAC,0.0,0.0,24162892553.28,0.0,0.0,24162892553.28
Gro,CZ01,cPVVG,2625086017.31,0.0,0.0,347086690236.58,0.0,27089052286.59
Gro,CZ02,cDXGF,232953389083.74,0.0,91962703306.94,234875293625.46,0.0,91962703306.94
Gro,CZ02,cDXHP,0.0,57038886478.69,91641015405.44,0.0,58152440122.22,91641015405.44
Gro,CZ02,cPTAC,0.0,0.0,88103316659.39,0.0,0.0,88103316659.39
Gro,CZ02,cPVVG,1728422436.57,0.0,0.0,239585429126.06,0.0,90912965906.94
Gro,CZ03,cDXGF,180263353541.03,0.0,67333817655.53,181594535801.68,0.0,67333817655.53
Gro,CZ03,cDXHP,0.0,42528587512.53,66605557365.23,0.0,42957339312.43,66605557365.23
Gro,CZ03,cPTAC,0.0,0.0,64052031814.64,0.0,0.0,64052031814.64
Gro,CZ03,cPVVG,427997142.55,0.0,0.0,184456318639.84,0.0,66465948556.62
Gro,CZ04,cDXGF,191722995640.85,0.0,138937628024.28,192847878162.92,0.0,138937628024.28
Gro,CZ04,cDXHP,0.0,47921497665.02,138932257426.5,0.0,48711445888.64,138932257426.5
Gro,CZ04,cPTAC,0.0,0.0,135412844638.13,0.0,0.0,135412844638.13
Gro,CZ04,cPVVG,1656334362.45,0.0,0.0,197436287094.7,0.0,137471537047.01
Gro,CZ05,cDXGF,170074995408.6,0.0,67934895418.24,170911628939.41,0.0,67934895418.24
Gro,CZ05,cDXHP,0.0,40137633331.92,67187513492.49,0.0,40604425965.05,67187513492.49
Gro,CZ05,cPTAC,0.0,0.0,63426282313.45,0.0,0.0,63426282313.45
Gro,CZ05,cPVVG,362719195.66,0.0,0.0,173524492533.07,0.0,67042921954.16
Gro,CZ06,cDXGF,82700623661.1,0.0,112155310993.01,83040626722.82,0.0,112155310993.01
Gro,CZ06,cDXHP,0.0,18951831480.22,110839209779.07,0.0,19007356735.22,110839209779.07
Gro,CZ06,cPTAC,0.0,0.0,109317875339.59,0.0,0.0,109317875339.59
Gro,CZ06,cPVVG,7614025.88,0.0,0.0,84866750654.73,0.0,110779389804.41
Gro,CZ07,cDXGF,78493736370.18,0.0,113895454233.03,78763490719.06,0.0,113895454233.03
Gro,CZ07,cDXHP,0.0,17900951259.49,112650227179.82,0.0,17940429662.17,112650227179.82
Gro,CZ07,cPTAC,0.0,0.0,111125414493.84,0.0,0.0,111125414493.84
Gro,CZ07,cPVVG,0.0,0.0,0.0,80448006974.5,0.0,112512518491.46
Gro,CZ08,cDXGF,87493996058.18,0.0,162845618546.45,87833599962.46,0.0,162856160729.51
Gro,CZ08,cDXHP,0.0,20347557702.49,162260085964.26,0.0,20424721969.17,162267138922.24
Gro,CZ08,cPTAC,0.0,0.0,159870274976.27,0.0,0.0,159877319416.58
Gro,CZ08,cPVVG,39077074.91,0.0,0.0,89901937868.97,0.0,161108264380.38
Gro,CZ09,cDXGF,98826668105.5,0.0,166888397887.19,99423634094.68,0.0,166902895490.69
Gro,CZ09,cDXHP,0.0,23474613428.06,166340637970.5,0.0,23635283988.52,166355135570.48
Gro,CZ09,cPTAC,0.0,0.0,163898952663.09,0.0,0.0,163909852857.29
Gro,CZ09,cPVVG,204117363.97,0.0,0.0,101933683012.99,0.0,165102100317.27
Gro,CZ10,cDXGF,95022317319.1,0.0,171027908187.57,95543544322.97,0.0,171045514673.28
Gro,CZ10,cDXHP,0.0,22532886651.32,170799094879.5,0.0,22693919392.93,170816701365.26
Gro,CZ10,cPTAC,0.0,0.0,168201784744.7,0.0,0.0,168219386957.93
Gro,CZ10,cPVVG,127926983.36,0.0,0.0,97874617706.08,0.0,169269796820.24
Gro,CZ11,cDXGF,209943155169.11,0.0,184814761352.96,212096233845.47,0.0,184814761352.96
Gro,CZ11,cDXHP,0.0,52213901374.51,184818205832.12,0.0,53001394164.08,184818205832.12
Gro,CZ11,cPTAC,0.0,0.0,182572771826.16,0.0,0.0,182572771826.16
Gro,CZ11,cPVVG,2225279619.79,0.0,2544938.47,218117779839.68,0.0,183005501141.34
Gro,CZ12,cDXGF,205594962047.94,0.0,143068857857.95,207737787554.37,0.0,143068857857.95
Gro,CZ12,cDXHP,0.0,50602692639.7,142994465236.95,0.0,51459624778.79,142994465236.95
Gro,CZ12,cPTAC,0.0,0.0,140594953793.65,0.0,0.0,140594953793.65
Gro,CZ12,cPVVG,1439894265.01,0.0,0.0,213218415645.83,0.0,141587794500.33
Gro,CZ13,cDXGF,174784784434.03,0.0,206714217587.43,176695005196.06,0.0,206714217587.43
Gro,CZ13,cDXHP,0.0,43185329896.23,206734355232.43,0.0,43809326011.17,206734355232.43
Gro,CZ13,cPTAC,0.0,0.0,204722702698.02,0.0,0.0,204722702698.02
Gro,CZ13,cPVVG,929168922.68,0.0,3402217.64,181687231067.18,0.0,204714267955.58
Gro,CZ14,cDXGF,172144407266.8,0.0,184236582739.44,173570270284.41,0.0,184254382814.02
Gro,CZ14,cDXHP,0.0,44124103345.06,183904620462.61,0.0,45071984613.25,183922420536.75
Gro,CZ14,cPTAC,0.0,0.0,181674386424.7,0.0,0.0,181692185278.72
Gro,CZ14,cPVVG,2675791102.49,0.0,0.0,177958435121.45,0.0,182330101315.55
Gro,CZ15,cDXGF,50058269502.03,0.0,327845086342.88,50409761120.76,0.0,327863005388.09
Gro,CZ15,cDXHP,0.0,11845549154.38,327846263729.95,0.0,11911125449.61,327864182775.11
Gro,CZ15,cPTAC,0.0,0.0,326029885838.52,0.0,0.0,326047804514.6
Gro,CZ15,cPVVG,141333226.5,0.0,4556713.14,51580408473.26,0.0,324863761623.38
Gro,CZ16,cDXGF,331405341712.13,0.0,86965323798.47,334460642091.78,0.0,86965323798.47
Gro,CZ16,cDXHP,0.0,88825868675.59,85424615774.89,0.0,91788350178.69,85424615774.89
Gro,CZ16,cPTAC,0.0,0.0,84426143834.46,0.0,0.0,84426143834.46
Gro,CZ16,cPVVG,9127774260.26,0.0,0.0,339748482637.99,0.0,85770645705.01
