Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Htl,CZ01,cDXGF,0.0,0.0,0.0,259561340299.19,0.0,36546353898.61
Htl,CZ01,cDXHP,0.0,0.0,0.0,0.0,62941748126.54,36462886123.72
Htl,CZ01,cPTAC,0.0,0.0,0.0,0.0,0.0,34702124906.19
Htl,CZ01,cPVVG,0.0,0.0,0.0,324371899797.71,0.0,25834674948.12
Htl,CZ02,cDXGF,0.0,0.0,0.0,168456210903.91,0.0,140047809236.34
Htl,CZ02,cDXHP,0.0,0.0,0.0,0.0,41883472819.73,140543347900.86
Htl,CZ02,cPTAC,0.0,0.0,0.0,0.0,0.0,137509820199.24
Htl,CZ02,cPVVG,0.0,0.0,0.0,221306354495.1,0.0,121226068013.58
Htl,CZ03,cDXGF,0.0,0.0,0.0,95598463644.33,0.0,111207242256.2
Htl,CZ03,cDXHP,0.0,0.0,0.0,0.0,23021056576.58,111264917075.55
Htl,CZ03,cPTAC,0.0,0.0,0.0,0.0,0.0,110033202393.83
Htl,CZ03,cPVVG,0.0,0.0,0.0,135577818680.35,0.0,90860763949.21
Htl,CZ04,cDXGF,0.0,0.0,0.0,130033516546.42,0.0,210909311970.31
Htl,CZ04,cDXHP,0.0,0.0,0.0,0.0,32835205772.91,211554647895.88
Htl,CZ04,cPTAC,0.0,0.0,0.0,0.0,0.0,208375930986.72
Htl,CZ04,cPVVG,0.0,0.0,0.0,172471251067.61,0.0,190234088651.35
Htl,CZ05,cDXGF,0.0,0.0,0.0,84909338391.78,0.0,115772555205.92
Htl,CZ05,cDXHP,0.0,0.0,0.0,0.0,20628834088.08,116080507042.21
Htl,CZ05,cPTAC,0.0,0.0,0.0,0.0,0.0,113805443649.22
Htl,CZ05,cPVVG,0.0,0.0,0.0,124268803440.13,0.0,95110956717.06
Htl,CZ06,cDXGF,0.0,0.0,0.0,16773717232.04,0.0,192870223677.06
Htl,CZ06,cDXHP,0.0,0.0,0.0,0.0,3955010733.69,188627527005.68
Htl,CZ06,cPTAC,0.0,0.0,0.0,0.0,0.0,192472776659.97
